          date  data
0   2021-02-01    65
1   2021-02-02   239
2   2021-02-03    97
3   2021-02-04    70
4   2021-02-05    42
5   2021-02-06     2
6   2021-02-07     4
7   2021-02-08     4
8   2021-02-09    44
9   2021-02-10   117
10  2021-02-11   212
11  2021-02-12   157
12  2021-02-13    55
13  2021-02-14     4
14  2021-02-15     9
15  2021-02-16     7
16  2021-02-17    57
17  2021-02-18   112
18  2021-02-19    79
19  2021-02-20   122
20  2021-02-21   124
21  2021-02-22   159
22  2021-02-23    55
23  2021-02-24    30
24  2021-02-25    37
25  2021-02-26    30
26  2021-02-27    57
27  2021-02-28    37
28  2021-03-01    52
29  2021-03-02    49
30  2021-03-03    30
31  2021-03-04    47
32  2021-03-05    22
33  2021-03-06    20
34  2021-03-07    77
35  2021-03-08    60
36  2021-03-09   157
37  2021-03-10   334
38  2021-03-11   177
39  2021-03-12   145
40  2021-03-13    70
41  2021-03-14   182
42  2021-03-15    87
43  2021-03-16    95
44  2021-03-17   237
45  2021-03-18   287
46  2021-03-19   189
47  2021-03-20   285
48  2021-03-21   217
49  2021-03-22   180
50  2021-03-23   239
51  2021-03-24   100
52  2021-03-25   340
53  2021-03-26   204
54  2021-03-27   184
55  2021-03-28    92
56  2021-03-29   532
57  2021-03-30   255
58  2021-03-31   317
59  2021-04-01   194
60  2021-04-02   130
61  2021-04-03    97
62  2021-04-04    85
63  2021-04-05   149
64  2021-04-06   165
65  2021-04-07    47
66  2021-04-08    74
67  2021-04-09   192
68  2021-04-10   162
69  2021-04-11   187
70  2021-04-12   207
71  2021-04-13    87
72  2021-04-14    47
73  2021-04-15    47
74  2021-04-16    70
75  2021-04-17    77
76  2021-04-18   100
77  2021-04-19   105
78  2021-04-20    65
79  2021-04-21    30
80  2021-04-22    55
81  2021-04-23     9
82  2021-04-24     2
83  2021-04-25     2
84  2021-04-26    55
85  2021-04-27   232
86  2021-04-28   292
87  2021-04-29   252
88  2021-04-30   505
89  2021-05-01   194
90  2021-05-02   182
91  2021-05-03   280
92  2021-05-04   594
93  2021-05-05    20
94  2021-05-06     4
95  2021-05-07    20
96  2021-05-08    37
97  2021-05-09    49
98  2021-05-10    20
99  2021-05-11     9
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14   140
103 2021-05-15  3250
104 2021-05-16    55
105 2021-05-17    20
106 2021-05-18    30
107 2021-05-19    27
108 2021-05-20  1125
109 2021-05-21   275
110 2021-05-22   317
111 2021-05-23   787
112 2021-05-24   662
113 2021-05-25   392
114 2021-05-26   217
115 2021-05-27   290
116 2021-05-28   242
117 2021-05-29   362
118 2021-05-30   177
119 2021-05-31   152
120 2021-06-01    44
121 2021-06-02    89
122 2021-06-03    89
123 2021-06-04   105
124 2021-06-05   224
125 2021-06-06   207
126 2021-06-07  1499
127 2021-06-08  4722
128 2021-06-09  1892
129 2021-06-10   772
130 2021-06-11  9864
131 2021-06-12  1119
132 2021-06-13   739
133 2021-06-14   707
134 2021-06-15   592
135 2021-06-16   752
136 2021-06-17   392
137 2021-06-18   482
138 2021-06-19   847
139 2021-06-20   734
140 2021-06-21   502
141 2021-06-22   307
142 2021-06-23   400
143 2021-06-24  1219
144 2021-06-25   462
145 2021-06-26   239
146 2021-06-27   145
147 2021-06-28    97
148 2021-06-29    92
149 2021-06-30   219
150 2021-07-01   477
151 2021-07-02  1150
152 2021-07-03  1622
153 2021-07-04  1654
154 2021-07-05   994
155 2021-07-06   755
156 2021-07-07   377
157 2021-07-08   367
158 2021-07-09   470
159 2021-07-10   327
160 2021-07-11   397
161 2021-07-12   275
162 2021-07-13   282
163 2021-07-14   170
164 2021-07-15   142
