          date  data
0   2021-02-01    42
1   2021-02-02    49
2   2021-02-03    30
3   2021-02-04    30
4   2021-02-05     7
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    25
9   2021-02-10    17
10  2021-02-11    67
11  2021-02-12    42
12  2021-02-13     4
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    20
17  2021-02-18    27
18  2021-02-19    25
19  2021-02-20    47
20  2021-02-21    67
21  2021-02-22    39
22  2021-02-23    22
23  2021-02-24    22
24  2021-02-25     2
25  2021-02-26     0
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02     9
30  2021-03-03    25
31  2021-03-04     9
32  2021-03-05    12
33  2021-03-06     9
34  2021-03-07    12
35  2021-03-08    27
36  2021-03-09    42
37  2021-03-10    39
38  2021-03-11    47
39  2021-03-12    42
40  2021-03-13     0
41  2021-03-14    35
42  2021-03-15    42
43  2021-03-16    22
44  2021-03-17    72
45  2021-03-18    49
46  2021-03-19    70
47  2021-03-20    65
48  2021-03-21    49
49  2021-03-22    44
50  2021-03-23    74
51  2021-03-24    35
52  2021-03-25   110
53  2021-03-26    62
54  2021-03-27    67
55  2021-03-28    35
56  2021-03-29   222
57  2021-03-30   100
58  2021-03-31   112
59  2021-04-01    52
60  2021-04-02    44
61  2021-04-03    27
62  2021-04-04    30
63  2021-04-05    30
64  2021-04-06    44
65  2021-04-07    20
66  2021-04-08    25
67  2021-04-09    74
68  2021-04-10    37
69  2021-04-11    74
70  2021-04-12    32
71  2021-04-13    47
72  2021-04-14    15
73  2021-04-15    20
74  2021-04-16    17
75  2021-04-17    35
76  2021-04-18    42
77  2021-04-19    22
78  2021-04-20    39
79  2021-04-21     4
80  2021-04-22    12
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    55
85  2021-04-27   127
86  2021-04-28   140
87  2021-04-29   107
88  2021-04-30   189
89  2021-05-01    87
90  2021-05-02    87
91  2021-05-03    74
92  2021-05-04   224
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     9
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    39
103 2021-05-15   992
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     7
107 2021-05-19    15
108 2021-05-20   302
109 2021-05-21    67
110 2021-05-22   112
111 2021-05-23   227
112 2021-05-24   249
113 2021-05-25   109
114 2021-05-26    89
115 2021-05-27   100
116 2021-05-28   147
117 2021-05-29   127
118 2021-05-30    79
119 2021-05-31    42
120 2021-06-01    20
121 2021-06-02    32
122 2021-06-03    32
123 2021-06-04    35
124 2021-06-05   119
125 2021-06-06   127
126 2021-06-07   762
127 2021-06-08  2344
128 2021-06-09   942
129 2021-06-10   362
130 2021-06-11  3079
131 2021-06-12   482
132 2021-06-13   382
133 2021-06-14   312
134 2021-06-15   259
135 2021-06-16   350
136 2021-06-17   194
137 2021-06-18   237
138 2021-06-19   322
139 2021-06-20   275
140 2021-06-21   252
141 2021-06-22   149
142 2021-06-23   175
143 2021-06-24   449
144 2021-06-25   132
145 2021-06-26    74
146 2021-06-27    57
147 2021-06-28    44
148 2021-06-29    17
149 2021-06-30    67
150 2021-07-01   149
151 2021-07-02   452
152 2021-07-03   565
153 2021-07-04   717
154 2021-07-05   409
155 2021-07-06   252
156 2021-07-07   147
157 2021-07-08   162
158 2021-07-09   159
159 2021-07-10   149
160 2021-07-11    95
161 2021-07-12   119
162 2021-07-13    89
163 2021-07-14    89
164 2021-07-15    57
