          date  data
0   2021-02-01    22
1   2021-02-02    60
2   2021-02-03    17
3   2021-02-04     4
4   2021-02-05    12
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    17
9   2021-02-10    27
10  2021-02-11    74
11  2021-02-12    32
12  2021-02-13     9
13  2021-02-14     7
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    15
17  2021-02-18    32
18  2021-02-19    20
19  2021-02-20    25
20  2021-02-21    47
21  2021-02-22    35
22  2021-02-23     4
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26    12
26  2021-02-27    17
27  2021-02-28    17
28  2021-03-01    15
29  2021-03-02    15
30  2021-03-03     7
31  2021-03-04     7
32  2021-03-05     4
33  2021-03-06    22
34  2021-03-07     7
35  2021-03-08     7
36  2021-03-09    37
37  2021-03-10    82
38  2021-03-11    44
39  2021-03-12    30
40  2021-03-13    22
41  2021-03-14    37
42  2021-03-15    30
43  2021-03-16    32
44  2021-03-17    67
45  2021-03-18    82
46  2021-03-19    55
47  2021-03-20    52
48  2021-03-21    47
49  2021-03-22    65
50  2021-03-23    62
51  2021-03-24    39
52  2021-03-25    50
53  2021-03-26    87
54  2021-03-27    67
55  2021-03-28    49
56  2021-03-29   167
57  2021-03-30    67
58  2021-03-31    97
59  2021-04-01    39
60  2021-04-02    37
61  2021-04-03    22
62  2021-04-04    32
63  2021-04-05    32
64  2021-04-06    37
65  2021-04-07    15
66  2021-04-08    17
67  2021-04-09    60
68  2021-04-10    32
69  2021-04-11    42
70  2021-04-12    39
71  2021-04-13    30
72  2021-04-14     4
73  2021-04-15     7
74  2021-04-16    20
75  2021-04-17    17
76  2021-04-18    35
77  2021-04-19    37
78  2021-04-20    12
79  2021-04-21     9
80  2021-04-22    15
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    37
85  2021-04-27    95
86  2021-04-28   107
87  2021-04-29   105
88  2021-04-30   147
89  2021-05-01   130
90  2021-05-02    72
91  2021-05-03    97
92  2021-05-04   219
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     4
96  2021-05-08    12
97  2021-05-09     9
98  2021-05-10     9
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    55
103 2021-05-15   755
104 2021-05-16     2
105 2021-05-17    12
106 2021-05-18    15
107 2021-05-19    32
108 2021-05-20   262
109 2021-05-21    49
110 2021-05-22    72
111 2021-05-23   192
112 2021-05-24   219
113 2021-05-25   130
114 2021-05-26    89
115 2021-05-27    85
116 2021-05-28   107
117 2021-05-29   162
118 2021-05-30    89
119 2021-05-31    55
120 2021-06-01    27
121 2021-06-02    30
122 2021-06-03    39
123 2021-06-04    60
124 2021-06-05   105
125 2021-06-06    87
126 2021-06-07   629
127 2021-06-08  1910
128 2021-06-09   709
129 2021-06-10   310
130 2021-06-11  2484
131 2021-06-12   382
132 2021-06-13   182
133 2021-06-14   357
134 2021-06-15   227
135 2021-06-16   267
136 2021-06-17   159
137 2021-06-18   162
138 2021-06-19   269
139 2021-06-20   259
140 2021-06-21   249
141 2021-06-22   145
142 2021-06-23   127
143 2021-06-24   377
144 2021-06-25   172
145 2021-06-26    79
146 2021-06-27    37
147 2021-06-28    39
148 2021-06-29    27
149 2021-06-30    72
150 2021-07-01   180
151 2021-07-02   352
152 2021-07-03   507
153 2021-07-04   629
154 2021-07-05   357
155 2021-07-06   199
156 2021-07-07   112
157 2021-07-08   130
158 2021-07-09   180
159 2021-07-10   172
160 2021-07-11   100
161 2021-07-12   124
162 2021-07-13   112
163 2021-07-14    39
164 2021-07-15    57
