          date  data
0   2021-02-01    67
1   2021-02-02    72
2   2021-02-03    74
3   2021-02-04    24
4   2021-02-05     4
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    35
10  2021-02-11   102
11  2021-02-12    82
12  2021-02-13    39
13  2021-02-14     7
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    25
17  2021-02-18    49
18  2021-02-19    60
19  2021-02-20    30
20  2021-02-21    72
21  2021-02-22    65
22  2021-02-23    47
23  2021-02-24    17
24  2021-02-25    12
25  2021-02-26    15
26  2021-02-27    15
27  2021-02-28    20
28  2021-03-01    39
29  2021-03-02    52
30  2021-03-03    25
31  2021-03-04    30
32  2021-03-05    17
33  2021-03-06     7
34  2021-03-07    47
35  2021-03-08    20
36  2021-03-09    65
37  2021-03-10   124
38  2021-03-11    87
39  2021-03-12    79
40  2021-03-13    37
41  2021-03-14    72
42  2021-03-15    39
43  2021-03-16    70
44  2021-03-17   105
45  2021-03-18   142
46  2021-03-19   100
47  2021-03-20    97
48  2021-03-21    95
49  2021-03-22    70
50  2021-03-23   102
51  2021-03-24    49
52  2021-03-25    88
53  2021-03-26   105
54  2021-03-27    65
55  2021-03-28    55
56  2021-03-29   357
57  2021-03-30   152
58  2021-03-31   124
59  2021-04-01    70
60  2021-04-02    62
61  2021-04-03    30
62  2021-04-04    39
63  2021-04-05    65
64  2021-04-06    47
65  2021-04-07    25
66  2021-04-08    17
67  2021-04-09   107
68  2021-04-10    55
69  2021-04-11    72
70  2021-04-12    47
71  2021-04-13    35
72  2021-04-14     9
73  2021-04-15    25
74  2021-04-16    30
75  2021-04-17    39
76  2021-04-18    52
77  2021-04-19    52
78  2021-04-20    49
79  2021-04-21    25
80  2021-04-22    12
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    74
85  2021-04-27   189
86  2021-04-28   187
87  2021-04-29   182
88  2021-04-30   307
89  2021-05-01   192
90  2021-05-02   107
91  2021-05-03    92
92  2021-05-04   317
93  2021-05-05     7
94  2021-05-06     0
95  2021-05-07    15
96  2021-05-08    15
97  2021-05-09     9
98  2021-05-10    15
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    82
103 2021-05-15  1442
104 2021-05-16     9
105 2021-05-17     9
106 2021-05-18     9
107 2021-05-19    17
108 2021-05-20   435
109 2021-05-21   117
110 2021-05-22   149
111 2021-05-23   315
112 2021-05-24   372
113 2021-05-25   187
114 2021-05-26   100
115 2021-05-27   140
116 2021-05-28   154
117 2021-05-29   187
118 2021-05-30   149
119 2021-05-31    52
120 2021-06-01    35
121 2021-06-02    44
122 2021-06-03    72
123 2021-06-04    39
124 2021-06-05   157
125 2021-06-06   109
126 2021-06-07  1029
127 2021-06-08  3242
128 2021-06-09  1375
129 2021-06-10   477
130 2021-06-11  4045
131 2021-06-12   559
132 2021-06-13   477
133 2021-06-14   417
134 2021-06-15   404
135 2021-06-16   357
136 2021-06-17   325
137 2021-06-18   307
138 2021-06-19   390
139 2021-06-20   417
140 2021-06-21   292
141 2021-06-22   204
142 2021-06-23   257
143 2021-06-24   592
144 2021-06-25   224
145 2021-06-26   149
146 2021-06-27    39
147 2021-06-28    60
148 2021-06-29    49
149 2021-06-30   132
150 2021-07-01   255
151 2021-07-02   567
152 2021-07-03   835
153 2021-07-04   870
154 2021-07-05   527
155 2021-07-06   322
156 2021-07-07   147
157 2021-07-08   212
158 2021-07-09   257
159 2021-07-10   162
160 2021-07-11   135
161 2021-07-12   210
162 2021-07-13   112
163 2021-07-14    85
164 2021-07-15    74
