          date   data
0   2021-02-01    177
1   2021-02-02    382
2   2021-02-03    249
3   2021-02-04     84
4   2021-02-05     65
5   2021-02-06     17
6   2021-02-07     15
7   2021-02-08     15
8   2021-02-09    124
9   2021-02-10    242
10  2021-02-11    437
11  2021-02-12    212
12  2021-02-13     95
13  2021-02-14     49
14  2021-02-15     27
15  2021-02-16     25
16  2021-02-17    112
17  2021-02-18    219
18  2021-02-19    182
19  2021-02-20    247
20  2021-02-21    294
21  2021-02-22    280
22  2021-02-23    149
23  2021-02-24     74
24  2021-02-25     47
25  2021-02-26     42
26  2021-02-27     77
27  2021-02-28     82
28  2021-03-01    100
29  2021-03-02    130
30  2021-03-03     79
31  2021-03-04     55
32  2021-03-05     57
33  2021-03-06     85
34  2021-03-07    154
35  2021-03-08    119
36  2021-03-09    345
37  2021-03-10    447
38  2021-03-11    312
39  2021-03-12    255
40  2021-03-13    210
41  2021-03-14    342
42  2021-03-15    177
43  2021-03-16    210
44  2021-03-17    432
45  2021-03-18    484
46  2021-03-19    395
47  2021-03-20    527
48  2021-03-21    554
49  2021-03-22    415
50  2021-03-23    537
51  2021-03-24    242
52  2021-03-25    690
53  2021-03-26    467
54  2021-03-27    489
55  2021-03-28    287
56  2021-03-29   1249
57  2021-03-30    567
58  2021-03-31    704
59  2021-04-01    347
60  2021-04-02    237
61  2021-04-03    204
62  2021-04-04    127
63  2021-04-05    264
64  2021-04-06    327
65  2021-04-07    122
66  2021-04-08    145
67  2021-04-09    472
68  2021-04-10    304
69  2021-04-11    350
70  2021-04-12    360
71  2021-04-13    235
72  2021-04-14    122
73  2021-04-15     85
74  2021-04-16    165
75  2021-04-17    202
76  2021-04-18    204
77  2021-04-19    237
78  2021-04-20    177
79  2021-04-21     74
80  2021-04-22    105
81  2021-04-23     47
82  2021-04-24      9
83  2021-04-25      0
84  2021-04-26    102
85  2021-04-27    565
86  2021-04-28    637
87  2021-04-29    702
88  2021-04-30   1040
89  2021-05-01    447
90  2021-05-02    299
91  2021-05-03    610
92  2021-05-04   1214
93  2021-05-05     37
94  2021-05-06     30
95  2021-05-07     25
96  2021-05-08     82
97  2021-05-09    112
98  2021-05-10     44
99  2021-05-11     30
100 2021-05-12      9
101 2021-05-13     30
102 2021-05-14    302
103 2021-05-15   6244
104 2021-05-16     79
105 2021-05-17     49
106 2021-05-18     95
107 2021-05-19     72
108 2021-05-20   2327
109 2021-05-21    640
110 2021-05-22    685
111 2021-05-23   1757
112 2021-05-24   1664
113 2021-05-25    870
114 2021-05-26    562
115 2021-05-27    674
116 2021-05-28    760
117 2021-05-29    712
118 2021-05-30    492
119 2021-05-31    310
120 2021-06-01    119
121 2021-06-02    187
122 2021-06-03    219
123 2021-06-04    172
124 2021-06-05    532
125 2021-06-06    449
126 2021-06-07   3062
127 2021-06-08   9567
128 2021-06-09   3992
129 2021-06-10   1967
130 2021-06-11  22694
131 2021-06-12   2459
132 2021-06-13   1515
133 2021-06-14   1359
134 2021-06-15   1139
135 2021-06-16   1560
136 2021-06-17    707
137 2021-06-18   1270
138 2021-06-19   1807
139 2021-06-20   1525
140 2021-06-21   1265
141 2021-06-22    842
142 2021-06-23   1005
143 2021-06-24   2695
144 2021-06-25    969
145 2021-06-26    497
146 2021-06-27    245
147 2021-06-28    267
148 2021-06-29    180
149 2021-06-30    552
150 2021-07-01   1132
151 2021-07-02   2824
152 2021-07-03   3457
153 2021-07-04   3247
154 2021-07-05   2322
155 2021-07-06   1510
156 2021-07-07    872
157 2021-07-08    637
158 2021-07-09    924
159 2021-07-10    565
160 2021-07-11    699
161 2021-07-12    699
162 2021-07-13    427
163 2021-07-14    320
164 2021-07-15    272
