          date  data
0   2021-02-01    39
1   2021-02-02   102
2   2021-02-03    27
3   2021-02-04    18
4   2021-02-05    12
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    37
10  2021-02-11    70
11  2021-02-12    49
12  2021-02-13    42
13  2021-02-14     4
14  2021-02-15    12
15  2021-02-16     2
16  2021-02-17    32
17  2021-02-18    52
18  2021-02-19    37
19  2021-02-20    44
20  2021-02-21    62
21  2021-02-22    60
22  2021-02-23    20
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26     7
26  2021-02-27    12
27  2021-02-28     9
28  2021-03-01    17
29  2021-03-02    35
30  2021-03-03    15
31  2021-03-04    12
32  2021-03-05    20
33  2021-03-06    22
34  2021-03-07    42
35  2021-03-08    17
36  2021-03-09    70
37  2021-03-10    89
38  2021-03-11    42
39  2021-03-12    30
40  2021-03-13    25
41  2021-03-14    52
42  2021-03-15    42
43  2021-03-16    39
44  2021-03-17   102
45  2021-03-18   147
46  2021-03-19   114
47  2021-03-20    87
48  2021-03-21    49
49  2021-03-22    42
50  2021-03-23    95
51  2021-03-24    32
52  2021-03-25   130
53  2021-03-26    60
54  2021-03-27    57
55  2021-03-28    57
56  2021-03-29   269
57  2021-03-30   107
58  2021-03-31   100
59  2021-04-01    79
60  2021-04-02    44
61  2021-04-03    55
62  2021-04-04    35
63  2021-04-05    42
64  2021-04-06    37
65  2021-04-07    25
66  2021-04-08    35
67  2021-04-09    82
68  2021-04-10    32
69  2021-04-11    72
70  2021-04-12    42
71  2021-04-13    32
72  2021-04-14    27
73  2021-04-15    17
74  2021-04-16     9
75  2021-04-17    15
76  2021-04-18    47
77  2021-04-19    42
78  2021-04-20    55
79  2021-04-21    15
80  2021-04-22    12
81  2021-04-23     7
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    27
85  2021-04-27   109
86  2021-04-28   159
87  2021-04-29   102
88  2021-04-30   215
89  2021-05-01    70
90  2021-05-02    67
91  2021-05-03    95
92  2021-05-04   255
93  2021-05-05     9
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08    27
97  2021-05-09    22
98  2021-05-10    15
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    62
103 2021-05-15  1232
104 2021-05-16     9
105 2021-05-17     7
106 2021-05-18    12
107 2021-05-19     7
108 2021-05-20   317
109 2021-05-21   132
110 2021-05-22   127
111 2021-05-23   275
112 2021-05-24   259
113 2021-05-25   107
114 2021-05-26    89
115 2021-05-27    95
116 2021-05-28    85
117 2021-05-29   127
118 2021-05-30    44
119 2021-05-31    37
120 2021-06-01    30
121 2021-06-02    44
122 2021-06-03    67
123 2021-06-04    35
124 2021-06-05   132
125 2021-06-06    49
126 2021-06-07   572
127 2021-06-08  1745
128 2021-06-09   722
129 2021-06-10   287
130 2021-06-11  3312
131 2021-06-12   412
132 2021-06-13   239
133 2021-06-14   259
134 2021-06-15   232
135 2021-06-16   275
136 2021-06-17   154
137 2021-06-18   202
138 2021-06-19   304
139 2021-06-20   317
140 2021-06-21   204
141 2021-06-22   137
142 2021-06-23   184
143 2021-06-24   435
144 2021-06-25   177
145 2021-06-26   100
146 2021-06-27    25
147 2021-06-28    35
148 2021-06-29    35
149 2021-06-30    65
150 2021-07-01   170
151 2021-07-02   387
152 2021-07-03   570
153 2021-07-04   570
154 2021-07-05   417
155 2021-07-06   257
156 2021-07-07   124
157 2021-07-08   147
158 2021-07-09   189
159 2021-07-10   112
160 2021-07-11   159
161 2021-07-12   117
162 2021-07-13    65
163 2021-07-14    77
164 2021-07-15    67
