          date   data
0   2021-02-01    842
1   2021-02-02   2307
2   2021-02-03   1279
3   2021-02-04    620
4   2021-02-05    302
5   2021-02-06     97
6   2021-02-07     37
7   2021-02-08     42
8   2021-02-09    470
9   2021-02-10   1174
10  2021-02-11   2097
11  2021-02-12   1272
12  2021-02-13    507
13  2021-02-14    162
14  2021-02-15    135
15  2021-02-16     77
16  2021-02-17    484
17  2021-02-18   1045
18  2021-02-19    964
19  2021-02-20   1235
20  2021-02-21   1609
21  2021-02-22   1499
22  2021-02-23    790
23  2021-02-24    374
24  2021-02-25    219
25  2021-02-26    235
26  2021-02-27    530
27  2021-02-28    304
28  2021-03-01    549
29  2021-03-02    559
30  2021-03-03    432
31  2021-03-04    369
32  2021-03-05    327
33  2021-03-06    395
34  2021-03-07    822
35  2021-03-08    634
36  2021-03-09   1477
37  2021-03-10   2787
38  2021-03-11   1649
39  2021-03-12   1367
40  2021-03-13    912
41  2021-03-14   1769
42  2021-03-15   1139
43  2021-03-16   1067
44  2021-03-17   2272
45  2021-03-18   3147
46  2021-03-19   2162
47  2021-03-20   2355
48  2021-03-21   2267
49  2021-03-22   1820
50  2021-03-23   2357
51  2021-03-24   1289
52  2021-03-25   2954
53  2021-03-26   1922
54  2021-03-27   1955
55  2021-03-28   1362
56  2021-03-29   5150
57  2021-03-30   2564
58  2021-03-31   2870
59  2021-04-01   1692
60  2021-04-02   1310
61  2021-04-03   1027
62  2021-04-04    879
63  2021-04-05   1404
64  2021-04-06   1415
65  2021-04-07    589
66  2021-04-08    709
67  2021-04-09   2225
68  2021-04-10   1452
69  2021-04-11   1947
70  2021-04-12   1804
71  2021-04-13   1272
72  2021-04-14    657
73  2021-04-15    500
74  2021-04-16    772
75  2021-04-17    972
76  2021-04-18   1012
77  2021-04-19   1342
78  2021-04-20   1040
79  2021-04-21    474
80  2021-04-22    535
81  2021-04-23    192
82  2021-04-24     37
83  2021-04-25     22
84  2021-04-26    765
85  2021-04-27   2899
86  2021-04-28   3392
87  2021-04-29   3047
88  2021-04-30   5269
89  2021-05-01   2405
90  2021-05-02   1867
91  2021-05-03   2860
92  2021-05-04   6232
93  2021-05-05    149
94  2021-05-06     92
95  2021-05-07    119
96  2021-05-08    297
97  2021-05-09    447
98  2021-05-10    199
99  2021-05-11    109
100 2021-05-12     42
101 2021-05-13    142
102 2021-05-14   1482
103 2021-05-15  33007
104 2021-05-16    299
105 2021-05-17    237
106 2021-05-18    390
107 2021-05-19    374
108 2021-05-20  11017
109 2021-05-21   2962
110 2021-05-22   3375
111 2021-05-23   7724
112 2021-05-24   7819
113 2021-05-25   4042
114 2021-05-26   2569
115 2021-05-27   3420
116 2021-05-28   3250
117 2021-05-29   3704
118 2021-05-30   2237
119 2021-05-31   1654
120 2021-06-01    667
121 2021-06-02    924
122 2021-06-03   1037
123 2021-06-04   1064
124 2021-06-05   2854
125 2021-06-06   2247
126 2021-06-07  16384
127 2021-06-08  50829
128 2021-06-09  21082
129 2021-06-10   9019
130 2021-06-11  99112
131 2021-06-12  12374
132 2021-06-13   8047
133 2021-06-14   7559
134 2021-06-15   6072
135 2021-06-16   7469
136 2021-06-17   4670
137 2021-06-18   6087
138 2021-06-19   8422
139 2021-06-20   8017
140 2021-06-21   6109
141 2021-06-22   4012
142 2021-06-23   4752
143 2021-06-24  11982
144 2021-06-25   4392
145 2021-06-26   2445
146 2021-06-27   1237
147 2021-06-28   1150
148 2021-06-29    987
149 2021-06-30   2470
150 2021-07-01   5124
151 2021-07-02  12874
152 2021-07-03  17079
153 2021-07-04  17584
154 2021-07-05  11289
155 2021-07-06   7654
156 2021-07-07   3929
157 2021-07-08   3787
158 2021-07-09   4885
159 2021-07-10   3317
160 2021-07-11   3530
161 2021-07-12   3522
162 2021-07-13   2372
163 2021-07-14   1719
164 2021-07-15   1605
