          date  data
0   2021-02-01    37
1   2021-02-02    62
2   2021-02-03    49
3   2021-02-04    14
4   2021-02-05    17
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    32
10  2021-02-11    60
11  2021-02-12    25
12  2021-02-13     7
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17    12
17  2021-02-18    25
18  2021-02-19    22
19  2021-02-20    30
20  2021-02-21    55
21  2021-02-22    44
22  2021-02-23    22
23  2021-02-24    25
24  2021-02-25     2
25  2021-02-26     9
26  2021-02-27    22
27  2021-02-28     4
28  2021-03-01     4
29  2021-03-02     2
30  2021-03-03     9
31  2021-03-04     9
32  2021-03-05     7
33  2021-03-06     2
34  2021-03-07    15
35  2021-03-08    15
36  2021-03-09    55
37  2021-03-10    85
38  2021-03-11    52
39  2021-03-12    27
40  2021-03-13    15
41  2021-03-14    35
42  2021-03-15    27
43  2021-03-16    22
44  2021-03-17    52
45  2021-03-18    79
46  2021-03-19    37
47  2021-03-20    79
48  2021-03-21    57
49  2021-03-22    72
50  2021-03-23    60
51  2021-03-24    30
52  2021-03-25    60
53  2021-03-26    44
54  2021-03-27    32
55  2021-03-28    25
56  2021-03-29   142
57  2021-03-30   117
58  2021-03-31    87
59  2021-04-01    55
60  2021-04-02    30
61  2021-04-03    27
62  2021-04-04    17
63  2021-04-05    37
64  2021-04-06    17
65  2021-04-07    12
66  2021-04-08    27
67  2021-04-09    35
68  2021-04-10    30
69  2021-04-11    32
70  2021-04-12    27
71  2021-04-13    44
72  2021-04-14    12
73  2021-04-15     9
74  2021-04-16     4
75  2021-04-17    17
76  2021-04-18    15
77  2021-04-19    44
78  2021-04-20    22
79  2021-04-21     7
80  2021-04-22    17
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    17
85  2021-04-27   100
86  2021-04-28    82
87  2021-04-29    82
88  2021-04-30   149
89  2021-05-01    70
90  2021-05-02    62
91  2021-05-03    82
92  2021-05-04   149
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     4
96  2021-05-08     4
97  2021-05-09     9
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     4
101 2021-05-13     4
102 2021-05-14    17
103 2021-05-15   807
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18    12
107 2021-05-19     4
108 2021-05-20   227
109 2021-05-21    55
110 2021-05-22   102
111 2021-05-23   229
112 2021-05-24   232
113 2021-05-25   135
114 2021-05-26   114
115 2021-05-27   100
116 2021-05-28   109
117 2021-05-29   142
118 2021-05-30    89
119 2021-05-31    32
120 2021-06-01    35
121 2021-06-02    32
122 2021-06-03    22
123 2021-06-04    20
124 2021-06-05   109
125 2021-06-06    55
126 2021-06-07   572
127 2021-06-08  1922
128 2021-06-09   854
129 2021-06-10   242
130 2021-06-11  2502
131 2021-06-12   392
132 2021-06-13   294
133 2021-06-14   262
134 2021-06-15   172
135 2021-06-16   262
136 2021-06-17   197
137 2021-06-18   292
138 2021-06-19   202
139 2021-06-20   249
140 2021-06-21   232
141 2021-06-22   159
142 2021-06-23   124
143 2021-06-24   242
144 2021-06-25   107
145 2021-06-26    97
146 2021-06-27    30
147 2021-06-28    32
148 2021-06-29    32
149 2021-06-30    67
150 2021-07-01   142
151 2021-07-02   285
152 2021-07-03   452
153 2021-07-04   409
154 2021-07-05   327
155 2021-07-06   227
156 2021-07-07    67
157 2021-07-08   124
158 2021-07-09   109
159 2021-07-10    92
160 2021-07-11   107
161 2021-07-12    95
162 2021-07-13    85
163 2021-07-14    60
164 2021-07-15    49
