          date  data
0   2021-02-01    87
1   2021-02-02   232
2   2021-02-03   165
3   2021-02-04    64
4   2021-02-05    17
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     9
8   2021-02-09    44
9   2021-02-10   184
10  2021-02-11   202
11  2021-02-12   175
12  2021-02-13    35
13  2021-02-14    20
14  2021-02-15    15
15  2021-02-16     2
16  2021-02-17    27
17  2021-02-18   124
18  2021-02-19   109
19  2021-02-20   112
20  2021-02-21   154
21  2021-02-22   135
22  2021-02-23    70
23  2021-02-24    32
24  2021-02-25    32
25  2021-02-26    15
26  2021-02-27    52
27  2021-02-28    22
28  2021-03-01    62
29  2021-03-02    60
30  2021-03-03    55
31  2021-03-04    55
32  2021-03-05    77
33  2021-03-06    37
34  2021-03-07   127
35  2021-03-08    49
36  2021-03-09   145
37  2021-03-10   365
38  2021-03-11   249
39  2021-03-12   152
40  2021-03-13   114
41  2021-03-14   197
42  2021-03-15    89
43  2021-03-16   102
44  2021-03-17   302
45  2021-03-18   337
46  2021-03-19   277
47  2021-03-20   227
48  2021-03-21   262
49  2021-03-22   159
50  2021-03-23   229
51  2021-03-24   114
52  2021-03-25   378
53  2021-03-26   264
54  2021-03-27   235
55  2021-03-28   162
56  2021-03-29   165
57  2021-03-30   165
58  2021-03-31   182
59  2021-04-01   207
60  2021-04-02   127
61  2021-04-03   157
62  2021-04-04   135
63  2021-04-05   142
64  2021-04-06   137
65  2021-04-07    72
66  2021-04-08    77
67  2021-04-09   212
68  2021-04-10   184
69  2021-04-11   184
70  2021-04-12   197
71  2021-04-13   132
72  2021-04-14    92
73  2021-04-15    72
74  2021-04-16    62
75  2021-04-17   142
76  2021-04-18    87
77  2021-04-19   119
78  2021-04-20   119
79  2021-04-21    70
80  2021-04-22    74
81  2021-04-23    25
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    92
85  2021-04-27   374
86  2021-04-28   427
87  2021-04-29   312
88  2021-04-30   599
89  2021-05-01   235
90  2021-05-02   237
91  2021-05-03   342
92  2021-05-04   704
93  2021-05-05    17
94  2021-05-06     4
95  2021-05-07    12
96  2021-05-08    22
97  2021-05-09    57
98  2021-05-10    12
99  2021-05-11    25
100 2021-05-12     7
101 2021-05-13    17
102 2021-05-14   159
103 2021-05-15  3367
104 2021-05-16    27
105 2021-05-17    49
106 2021-05-18    35
107 2021-05-19    65
108 2021-05-20  1184
109 2021-05-21   329
110 2021-05-22   412
111 2021-05-23  1064
112 2021-05-24  1160
113 2021-05-25   575
114 2021-05-26   402
115 2021-05-27   460
116 2021-05-28   417
117 2021-05-29   422
118 2021-05-30   287
119 2021-05-31   267
120 2021-06-01    77
121 2021-06-02   100
122 2021-06-03    87
123 2021-06-04   132
124 2021-06-05   350
125 2021-06-06   287
126 2021-06-07  2067
127 2021-06-08  5712
128 2021-06-09  2217
129 2021-06-10   797
130 2021-06-11  9834
131 2021-06-12  1242
132 2021-06-13   835
133 2021-06-14   784
134 2021-06-15   624
135 2021-06-16   897
136 2021-06-17   542
137 2021-06-18   712
138 2021-06-19   967
139 2021-06-20   992
140 2021-06-21   905
141 2021-06-22   554
142 2021-06-23   589
143 2021-06-24  1029
144 2021-06-25   419
145 2021-06-26   267
146 2021-06-27   124
147 2021-06-28    92
148 2021-06-29    95
149 2021-06-30   217
150 2021-07-01   462
151 2021-07-02  1249
152 2021-07-03  1492
153 2021-07-04  1682
154 2021-07-05  1157
155 2021-07-06   659
156 2021-07-07   365
157 2021-07-08   355
158 2021-07-09   460
159 2021-07-10   320
160 2021-07-11   285
161 2021-07-12   292
162 2021-07-13   212
163 2021-07-14   107
164 2021-07-15   127
