          date  data
0   2021-02-01    35
1   2021-02-02    62
2   2021-02-03    27
3   2021-02-04     0
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     9
9   2021-02-10    30
10  2021-02-11    35
11  2021-02-12    22
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17     4
17  2021-02-18    17
18  2021-02-19    12
19  2021-02-20    15
20  2021-02-21    25
21  2021-02-22    17
22  2021-02-23     7
23  2021-02-24     9
24  2021-02-25     4
25  2021-02-26    12
26  2021-02-27    12
27  2021-02-28    15
28  2021-03-01     9
29  2021-03-02    22
30  2021-03-03     9
31  2021-03-04     9
32  2021-03-05    12
33  2021-03-06    12
34  2021-03-07    12
35  2021-03-08    12
36  2021-03-09    22
37  2021-03-10    55
38  2021-03-11    32
39  2021-03-12    20
40  2021-03-13    20
41  2021-03-14    20
42  2021-03-15    17
43  2021-03-16    15
44  2021-03-17    27
45  2021-03-18    39
46  2021-03-19    27
47  2021-03-20    30
48  2021-03-21    25
49  2021-03-22    44
50  2021-03-23    22
51  2021-03-24    15
52  2021-03-25    44
53  2021-03-26    32
54  2021-03-27    20
55  2021-03-28    15
56  2021-03-29    72
57  2021-03-30    60
58  2021-03-31    62
59  2021-04-01    20
60  2021-04-02    32
61  2021-04-03    17
62  2021-04-04    22
63  2021-04-05    20
64  2021-04-06    22
65  2021-04-07    17
66  2021-04-08     9
67  2021-04-09    27
68  2021-04-10    20
69  2021-04-11    22
70  2021-04-12    22
71  2021-04-13    17
72  2021-04-14     7
73  2021-04-15    12
74  2021-04-16    15
75  2021-04-17    17
76  2021-04-18    25
77  2021-04-19     4
78  2021-04-20     9
79  2021-04-21    15
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    62
86  2021-04-28    82
87  2021-04-29    55
88  2021-04-30   112
89  2021-05-01    62
90  2021-05-02    35
91  2021-05-03    47
92  2021-05-04   105
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    30
103 2021-05-15   417
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18     0
107 2021-05-19     2
108 2021-05-20   140
109 2021-05-21    37
110 2021-05-22    65
111 2021-05-23   145
112 2021-05-24   135
113 2021-05-25    92
114 2021-05-26    47
115 2021-05-27    65
116 2021-05-28    72
117 2021-05-29    49
118 2021-05-30    22
119 2021-05-31     9
120 2021-06-01     9
121 2021-06-02     2
122 2021-06-03     9
123 2021-06-04    20
124 2021-06-05    37
125 2021-06-06    25
126 2021-06-07   374
127 2021-06-08  1224
128 2021-06-09   470
129 2021-06-10   162
130 2021-06-11  1354
131 2021-06-12   269
132 2021-06-13   152
133 2021-06-14   199
134 2021-06-15    97
135 2021-06-16   124
136 2021-06-17    85
137 2021-06-18   114
138 2021-06-19   154
139 2021-06-20   162
140 2021-06-21    79
141 2021-06-22    97
142 2021-06-23    65
143 2021-06-24   162
144 2021-06-25    87
145 2021-06-26    39
146 2021-06-27    12
147 2021-06-28    20
148 2021-06-29    12
149 2021-06-30    55
150 2021-07-01   107
151 2021-07-02   207
152 2021-07-03   320
153 2021-07-04   297
154 2021-07-05   222
155 2021-07-06   107
156 2021-07-07    57
157 2021-07-08    52
158 2021-07-09    85
159 2021-07-10    65
160 2021-07-11    32
161 2021-07-12    72
162 2021-07-13    67
163 2021-07-14    20
164 2021-07-15    35
