          date data
0   2021-02-01   12
1   2021-02-02   25
2   2021-02-03   15
3   2021-02-04   14
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    0
9   2021-02-10   17
10  2021-02-11   49
11  2021-02-12   17
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18    7
18  2021-02-19    9
19  2021-02-20    7
20  2021-02-21   15
21  2021-02-22   15
22  2021-02-23    9
23  2021-02-24   15
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    9
27  2021-02-28    9
28  2021-03-01    2
29  2021-03-02    9
30  2021-03-03   17
31  2021-03-04    4
32  2021-03-05    7
33  2021-03-06    4
34  2021-03-07    7
35  2021-03-08    2
36  2021-03-09   15
37  2021-03-10   42
38  2021-03-11   39
39  2021-03-12   17
40  2021-03-13   17
41  2021-03-14   25
42  2021-03-15   12
43  2021-03-16   12
44  2021-03-17   37
45  2021-03-18   39
46  2021-03-19   22
47  2021-03-20   25
48  2021-03-21   47
49  2021-03-22   22
50  2021-03-23   20
51  2021-03-24    4
52  2021-03-25   24
53  2021-03-26   30
54  2021-03-27    9
55  2021-03-28   17
56  2021-03-29   60
57  2021-03-30   44
58  2021-03-31   44
59  2021-04-01   15
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04    7
63  2021-04-05    9
64  2021-04-06    7
65  2021-04-07   17
66  2021-04-08   15
67  2021-04-09   32
68  2021-04-10   20
69  2021-04-11   15
70  2021-04-12   15
71  2021-04-13   20
72  2021-04-14    7
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18   12
77  2021-04-19    9
78  2021-04-20    2
79  2021-04-21    7
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   27
86  2021-04-28   44
87  2021-04-29   17
88  2021-04-30   57
89  2021-05-01   52
90  2021-05-02   27
91  2021-05-03   32
92  2021-05-04   49
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14   12
103 2021-05-15  290
104 2021-05-16    4
105 2021-05-17    2
106 2021-05-18    4
107 2021-05-19    4
108 2021-05-20   89
109 2021-05-21   12
110 2021-05-22   22
111 2021-05-23   85
112 2021-05-24   89
113 2021-05-25   35
114 2021-05-26   37
115 2021-05-27   37
116 2021-05-28   60
117 2021-05-29   82
118 2021-05-30   20
119 2021-05-31   22
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03   17
123 2021-06-04   17
124 2021-06-05   37
125 2021-06-06   25
126 2021-06-07  229
127 2021-06-08  612
128 2021-06-09  290
129 2021-06-10   95
130 2021-06-11  837
131 2021-06-12  114
132 2021-06-13   82
133 2021-06-14  102
134 2021-06-15   85
135 2021-06-16  100
136 2021-06-17   42
137 2021-06-18   70
138 2021-06-19   92
139 2021-06-20  102
140 2021-06-21   85
141 2021-06-22   49
142 2021-06-23   62
143 2021-06-24   82
144 2021-06-25   42
145 2021-06-26   32
146 2021-06-27    9
147 2021-06-28   27
148 2021-06-29    4
149 2021-06-30   17
150 2021-07-01   49
151 2021-07-02  112
152 2021-07-03  137
153 2021-07-04  189
154 2021-07-05  105
155 2021-07-06   77
156 2021-07-07   52
157 2021-07-08   52
158 2021-07-09   49
159 2021-07-10   42
160 2021-07-11   37
161 2021-07-12   35
162 2021-07-13   35
163 2021-07-14   25
164 2021-07-15   17
