          date data
0   2021-02-01    0
1   2021-02-02    7
2   2021-02-03    9
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    9
10  2021-02-11    9
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    2
18  2021-02-19    4
19  2021-02-20    7
20  2021-02-21    7
21  2021-02-22    7
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    7
29  2021-03-02    0
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09   17
37  2021-03-10    0
38  2021-03-11    4
39  2021-03-12    2
40  2021-03-13    2
41  2021-03-14    4
42  2021-03-15    2
43  2021-03-16    4
44  2021-03-17   17
45  2021-03-18   12
46  2021-03-19   12
47  2021-03-20    7
48  2021-03-21   12
49  2021-03-22    4
50  2021-03-23    4
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26    4
54  2021-03-27    4
55  2021-03-28    4
56  2021-03-29   37
57  2021-03-30   17
58  2021-03-31   17
59  2021-04-01    7
60  2021-04-02    4
61  2021-04-03    7
62  2021-04-04    0
63  2021-04-05   15
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    9
67  2021-04-09    9
68  2021-04-10    9
69  2021-04-11   27
70  2021-04-12   15
71  2021-04-13    2
72  2021-04-14    7
73  2021-04-15    9
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18    7
77  2021-04-19    7
78  2021-04-20    9
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   32
86  2021-04-28    9
87  2021-04-29   25
88  2021-04-30   30
89  2021-05-01    9
90  2021-05-02   12
91  2021-05-03    7
92  2021-05-04   42
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    2
102 2021-05-14    4
103 2021-05-15  192
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   62
109 2021-05-21   17
110 2021-05-22   25
111 2021-05-23   85
112 2021-05-24   62
113 2021-05-25   25
114 2021-05-26   30
115 2021-05-27   20
116 2021-05-28   30
117 2021-05-29   12
118 2021-05-30   17
119 2021-05-31    4
120 2021-06-01   12
121 2021-06-02    2
122 2021-06-03    7
123 2021-06-04    4
124 2021-06-05   15
125 2021-06-06    9
126 2021-06-07   87
127 2021-06-08  345
128 2021-06-09  122
129 2021-06-10   79
130 2021-06-11  435
131 2021-06-12  107
132 2021-06-13   65
133 2021-06-14   49
134 2021-06-15   32
135 2021-06-16   70
136 2021-06-17   22
137 2021-06-18   25
138 2021-06-19   60
139 2021-06-20   39
140 2021-06-21   60
141 2021-06-22   27
142 2021-06-23   22
143 2021-06-24   82
144 2021-06-25    7
145 2021-06-26    7
146 2021-06-27    2
147 2021-06-28    7
148 2021-06-29    7
149 2021-06-30   17
150 2021-07-01   42
151 2021-07-02   72
152 2021-07-03   72
153 2021-07-04  114
154 2021-07-05   82
155 2021-07-06   47
156 2021-07-07   27
157 2021-07-08   12
158 2021-07-09   37
159 2021-07-10   15
160 2021-07-11    9
161 2021-07-12    2
162 2021-07-13    7
163 2021-07-14   15
164 2021-07-15    7
