          date   data
0   2021-02-01    310
1   2021-02-02    612
2   2021-02-03    427
3   2021-02-04    158
4   2021-02-05     70
5   2021-02-06     17
6   2021-02-07      2
7   2021-02-08     20
8   2021-02-09    142
9   2021-02-10    407
10  2021-02-11    587
11  2021-02-12    400
12  2021-02-13    112
13  2021-02-14     49
14  2021-02-15     30
15  2021-02-16     22
16  2021-02-17    114
17  2021-02-18    277
18  2021-02-19    252
19  2021-02-20    285
20  2021-02-21    402
21  2021-02-22    369
22  2021-02-23    202
23  2021-02-24    107
24  2021-02-25     67
25  2021-02-26     62
26  2021-02-27    157
27  2021-02-28     95
28  2021-03-01    124
29  2021-03-02    145
30  2021-03-03    152
31  2021-03-04    124
32  2021-03-05    154
33  2021-03-06    114
34  2021-03-07    264
35  2021-03-08    127
36  2021-03-09    415
37  2021-03-10    882
38  2021-03-11    572
39  2021-03-12    345
40  2021-03-13    249
41  2021-03-14    404
42  2021-03-15    252
43  2021-03-16    235
44  2021-03-17    685
45  2021-03-18    817
46  2021-03-19    535
47  2021-03-20    592
48  2021-03-21    672
49  2021-03-22    479
50  2021-03-23    554
51  2021-03-24    272
52  2021-03-25    834
53  2021-03-26    584
54  2021-03-27    482
55  2021-03-28    350
56  2021-03-29   1067
57  2021-03-30    800
58  2021-03-31    745
59  2021-04-01    457
60  2021-04-02    340
61  2021-04-03    320
62  2021-04-04    255
63  2021-04-05    340
64  2021-04-06    337
65  2021-04-07    182
66  2021-04-08    192
67  2021-04-09    514
68  2021-04-10    395
69  2021-04-11    474
70  2021-04-12    432
71  2021-04-13    310
72  2021-04-14    194
73  2021-04-15    165
74  2021-04-16    159
75  2021-04-17    325
76  2021-04-18    245
77  2021-04-19    315
78  2021-04-20    259
79  2021-04-21    142
80  2021-04-22    137
81  2021-04-23     37
82  2021-04-24      4
83  2021-04-25      2
84  2021-04-26    219
85  2021-04-27    972
86  2021-04-28   1017
87  2021-04-29    849
88  2021-04-30   1557
89  2021-05-01    734
90  2021-05-02    622
91  2021-05-03    794
92  2021-05-04   1735
93  2021-05-05     52
94  2021-05-06     17
95  2021-05-07     25
96  2021-05-08     70
97  2021-05-09    114
98  2021-05-10     37
99  2021-05-11     49
100 2021-05-12     32
101 2021-05-13     37
102 2021-05-14    342
103 2021-05-15   8132
104 2021-05-16     52
105 2021-05-17     85
106 2021-05-18     92
107 2021-05-19    127
108 2021-05-20   2642
109 2021-05-21    690
110 2021-05-22    949
111 2021-05-23   2602
112 2021-05-24   2634
113 2021-05-25   1417
114 2021-05-26   1045
115 2021-05-27   1055
116 2021-05-28   1119
117 2021-05-29   1249
118 2021-05-30    717
119 2021-05-31    492
120 2021-06-01    224
121 2021-06-02    255
122 2021-06-03    255
123 2021-06-04    340
124 2021-06-05    854
125 2021-06-06    725
126 2021-06-07   5904
127 2021-06-08  17534
128 2021-06-09   7214
129 2021-06-10   2377
130 2021-06-11  24704
131 2021-06-12   3752
132 2021-06-13   2660
133 2021-06-14   2477
134 2021-06-15   1662
135 2021-06-16   2457
136 2021-06-17   1429
137 2021-06-18   1987
138 2021-06-19   2545
139 2021-06-20   2615
140 2021-06-21   2167
141 2021-06-22   1480
142 2021-06-23   1442
143 2021-06-24   2619
144 2021-06-25   1125
145 2021-06-26    860
146 2021-06-27    329
147 2021-06-28    275
148 2021-06-29    237
149 2021-06-30    662
150 2021-07-01   1484
151 2021-07-02   3205
152 2021-07-03   4410
153 2021-07-04   4934
154 2021-07-05   3247
155 2021-07-06   1847
156 2021-07-07   1007
157 2021-07-08   1037
158 2021-07-09   1252
159 2021-07-10    932
160 2021-07-11    802
161 2021-07-12    947
162 2021-07-13    749
163 2021-07-14    470
164 2021-07-15    442
