          date  data
0   2021-02-01    85
1   2021-02-02   140
2   2021-02-03    62
3   2021-02-04    70
4   2021-02-05    49
5   2021-02-06    15
6   2021-02-07     0
7   2021-02-08    15
8   2021-02-09    47
9   2021-02-10    87
10  2021-02-11   165
11  2021-02-12    72
12  2021-02-13    39
13  2021-02-14     9
14  2021-02-15     9
15  2021-02-16     9
16  2021-02-17    30
17  2021-02-18    89
18  2021-02-19    95
19  2021-02-20    79
20  2021-02-21   119
21  2021-02-22    74
22  2021-02-23    52
23  2021-02-24    22
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    42
27  2021-02-28    15
28  2021-03-01    30
29  2021-03-02    37
30  2021-03-03    35
31  2021-03-04     9
32  2021-03-05    44
33  2021-03-06    15
34  2021-03-07    87
35  2021-03-08    27
36  2021-03-09    82
37  2021-03-10   184
38  2021-03-11    85
39  2021-03-12    67
40  2021-03-13    39
41  2021-03-14    79
42  2021-03-15    62
43  2021-03-16    42
44  2021-03-17   127
45  2021-03-18   187
46  2021-03-19   135
47  2021-03-20   142
48  2021-03-21   154
49  2021-03-22   112
50  2021-03-23   107
51  2021-03-24    65
52  2021-03-25   130
53  2021-03-26   114
54  2021-03-27   124
55  2021-03-28    82
56  2021-03-29   285
57  2021-03-30   202
58  2021-03-31   165
59  2021-04-01    79
60  2021-04-02    65
61  2021-04-03    39
62  2021-04-04    57
63  2021-04-05    77
64  2021-04-06    55
65  2021-04-07    15
66  2021-04-08    60
67  2021-04-09   122
68  2021-04-10    85
69  2021-04-11    89
70  2021-04-12   119
71  2021-04-13    74
72  2021-04-14    39
73  2021-04-15    55
74  2021-04-16    47
75  2021-04-17    37
76  2021-04-18    72
77  2021-04-19    44
78  2021-04-20    49
79  2021-04-21    15
80  2021-04-22    55
81  2021-04-23     4
82  2021-04-24     4
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27   124
86  2021-04-28   199
87  2021-04-29   170
88  2021-04-30   219
89  2021-05-01   114
90  2021-05-02   137
91  2021-05-03   135
92  2021-05-04   287
93  2021-05-05     9
94  2021-05-06    12
95  2021-05-07    20
96  2021-05-08     2
97  2021-05-09    27
98  2021-05-10     9
99  2021-05-11     7
100 2021-05-12     9
101 2021-05-13    17
102 2021-05-14    52
103 2021-05-15  1682
104 2021-05-16    17
105 2021-05-17     7
106 2021-05-18    17
107 2021-05-19    25
108 2021-05-20   522
109 2021-05-21   130
110 2021-05-22   184
111 2021-05-23   320
112 2021-05-24   345
113 2021-05-25   130
114 2021-05-26   122
115 2021-05-27   140
116 2021-05-28   142
117 2021-05-29   197
118 2021-05-30    52
119 2021-05-31    72
120 2021-06-01    42
121 2021-06-02    39
122 2021-06-03    47
123 2021-06-04    62
124 2021-06-05   137
125 2021-06-06   137
126 2021-06-07   817
127 2021-06-08  2852
128 2021-06-09  1385
129 2021-06-10   554
130 2021-06-11  4792
131 2021-06-12   742
132 2021-06-13   424
133 2021-06-14   334
134 2021-06-15   287
135 2021-06-16   437
136 2021-06-17   232
137 2021-06-18   285
138 2021-06-19   362
139 2021-06-20   355
140 2021-06-21   302
141 2021-06-22   215
142 2021-06-23   239
143 2021-06-24   365
144 2021-06-25   165
145 2021-06-26   154
146 2021-06-27    60
147 2021-06-28    49
148 2021-06-29    44
149 2021-06-30   100
150 2021-07-01   269
151 2021-07-02   664
152 2021-07-03   782
153 2021-07-04   692
154 2021-07-05   412
155 2021-07-06   342
156 2021-07-07   154
157 2021-07-08   130
158 2021-07-09   189
159 2021-07-10   135
160 2021-07-11   157
161 2021-07-12   162
162 2021-07-13   137
163 2021-07-14    85
164 2021-07-15    87
