          date  data
0   2021-02-01    42
1   2021-02-02    60
2   2021-02-03    27
3   2021-02-04    34
4   2021-02-05    15
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    22
9   2021-02-10    37
10  2021-02-11    95
11  2021-02-12    30
12  2021-02-13    12
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     9
16  2021-02-17    12
17  2021-02-18    44
18  2021-02-19    35
19  2021-02-20    35
20  2021-02-21    42
21  2021-02-22    62
22  2021-02-23    25
23  2021-02-24     9
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27    15
27  2021-02-28     4
28  2021-03-01     7
29  2021-03-02    22
30  2021-03-03    17
31  2021-03-04     4
32  2021-03-05    17
33  2021-03-06     9
34  2021-03-07    22
35  2021-03-08     9
36  2021-03-09    22
37  2021-03-10   102
38  2021-03-11    55
39  2021-03-12    35
40  2021-03-13    27
41  2021-03-14    57
42  2021-03-15    39
43  2021-03-16    22
44  2021-03-17    77
45  2021-03-18    89
46  2021-03-19    97
47  2021-03-20   135
48  2021-03-21    62
49  2021-03-22    37
50  2021-03-23    77
51  2021-03-24    27
52  2021-03-25   104
53  2021-03-26    49
54  2021-03-27    67
55  2021-03-28    42
56  2021-03-29   159
57  2021-03-30   117
58  2021-03-31    97
59  2021-04-01    39
60  2021-04-02    20
61  2021-04-03    35
62  2021-04-04    27
63  2021-04-05    72
64  2021-04-06    62
65  2021-04-07    12
66  2021-04-08    17
67  2021-04-09    67
68  2021-04-10    30
69  2021-04-11    72
70  2021-04-12    49
71  2021-04-13    32
72  2021-04-14     9
73  2021-04-15     4
74  2021-04-16    32
75  2021-04-17    25
76  2021-04-18    27
77  2021-04-19    20
78  2021-04-20    20
79  2021-04-21     7
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    60
86  2021-04-28    97
87  2021-04-29    77
88  2021-04-30   114
89  2021-05-01    37
90  2021-05-02    47
91  2021-05-03    89
92  2021-05-04   119
93  2021-05-05     2
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08    15
97  2021-05-09     7
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    32
103 2021-05-15   807
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18     4
107 2021-05-19     4
108 2021-05-20   227
109 2021-05-21    74
110 2021-05-22    92
111 2021-05-23   159
112 2021-05-24   127
113 2021-05-25    55
114 2021-05-26    57
115 2021-05-27    55
116 2021-05-28    67
117 2021-05-29    70
118 2021-05-30    27
119 2021-05-31    30
120 2021-06-01     4
121 2021-06-02    30
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    62
125 2021-06-06    49
126 2021-06-07   369
127 2021-06-08  1297
128 2021-06-09   532
129 2021-06-10   180
130 2021-06-11  1694
131 2021-06-12   275
132 2021-06-13   210
133 2021-06-14   145
134 2021-06-15   124
135 2021-06-16   162
136 2021-06-17    85
137 2021-06-18   117
138 2021-06-19   117
139 2021-06-20   152
140 2021-06-21   109
141 2021-06-22    77
142 2021-06-23   109
143 2021-06-24   189
144 2021-06-25    70
145 2021-06-26    47
146 2021-06-27    22
147 2021-06-28    27
148 2021-06-29     4
149 2021-06-30    57
150 2021-07-01    97
151 2021-07-02   287
152 2021-07-03   352
153 2021-07-04   355
154 2021-07-05   232
155 2021-07-06   105
156 2021-07-07    82
157 2021-07-08    42
158 2021-07-09    89
159 2021-07-10    60
160 2021-07-11    44
161 2021-07-12    79
162 2021-07-13    35
163 2021-07-14    27
164 2021-07-15    44
