          date  data
0   2021-02-01    62
1   2021-02-02    92
2   2021-02-03    65
3   2021-02-04    34
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    20
9   2021-02-10    52
10  2021-02-11    70
11  2021-02-12    32
12  2021-02-13     9
13  2021-02-14     4
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17    22
17  2021-02-18    17
18  2021-02-19    30
19  2021-02-20    42
20  2021-02-21    55
21  2021-02-22    44
22  2021-02-23    47
23  2021-02-24     9
24  2021-02-25     2
25  2021-02-26     0
26  2021-02-27    32
27  2021-02-28     7
28  2021-03-01    20
29  2021-03-02    15
30  2021-03-03    15
31  2021-03-04    12
32  2021-03-05     7
33  2021-03-06     2
34  2021-03-07    15
35  2021-03-08    20
36  2021-03-09    25
37  2021-03-10    57
38  2021-03-11    39
39  2021-03-12    25
40  2021-03-13    44
41  2021-03-14    52
42  2021-03-15    20
43  2021-03-16    37
44  2021-03-17    39
45  2021-03-18    65
46  2021-03-19    32
47  2021-03-20    47
48  2021-03-21    47
49  2021-03-22    47
50  2021-03-23    27
51  2021-03-24     7
52  2021-03-25    78
53  2021-03-26    47
54  2021-03-27    49
55  2021-03-28    32
56  2021-03-29   147
57  2021-03-30    85
58  2021-03-31    79
59  2021-04-01    25
60  2021-04-02    67
61  2021-04-03    25
62  2021-04-04    42
63  2021-04-05    65
64  2021-04-06    32
65  2021-04-07    17
66  2021-04-08     9
67  2021-04-09    55
68  2021-04-10    30
69  2021-04-11    44
70  2021-04-12    27
71  2021-04-13    25
72  2021-04-14    12
73  2021-04-15    17
74  2021-04-16     4
75  2021-04-17    17
76  2021-04-18    25
77  2021-04-19    12
78  2021-04-20    17
79  2021-04-21     7
80  2021-04-22    12
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     4
85  2021-04-27    35
86  2021-04-28    57
87  2021-04-29    74
88  2021-04-30    92
89  2021-05-01    74
90  2021-05-02    44
91  2021-05-03    57
92  2021-05-04   119
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     0
97  2021-05-09     4
98  2021-05-10     0
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    17
103 2021-05-15   800
104 2021-05-16     7
105 2021-05-17     0
106 2021-05-18    17
107 2021-05-19     0
108 2021-05-20   175
109 2021-05-21    57
110 2021-05-22    72
111 2021-05-23   154
112 2021-05-24   159
113 2021-05-25    77
114 2021-05-26    39
115 2021-05-27    57
116 2021-05-28    92
117 2021-05-29   100
118 2021-05-30    35
119 2021-05-31    25
120 2021-06-01     2
121 2021-06-02    12
122 2021-06-03    12
123 2021-06-04    22
124 2021-06-05    72
125 2021-06-06    67
126 2021-06-07   390
127 2021-06-08  1507
128 2021-06-09   709
129 2021-06-10   277
130 2021-06-11  2157
131 2021-06-12   365
132 2021-06-13   210
133 2021-06-14   167
134 2021-06-15    97
135 2021-06-16   149
136 2021-06-17   114
137 2021-06-18   119
138 2021-06-19   204
139 2021-06-20   149
140 2021-06-21   157
141 2021-06-22   109
142 2021-06-23   100
143 2021-06-24   204
144 2021-06-25    79
145 2021-06-26    55
146 2021-06-27    32
147 2021-06-28    20
148 2021-06-29    15
149 2021-06-30    55
150 2021-07-01   145
151 2021-07-02   402
152 2021-07-03   329
153 2021-07-04   345
154 2021-07-05   217
155 2021-07-06   132
156 2021-07-07    77
157 2021-07-08    87
158 2021-07-09   102
159 2021-07-10   102
160 2021-07-11    74
161 2021-07-12   112
162 2021-07-13   100
163 2021-07-14    37
164 2021-07-15    49
