          date   data
0   2021-02-01    772
1   2021-02-02   1565
2   2021-02-03    792
3   2021-02-04    598
4   2021-02-05    215
5   2021-02-06     82
6   2021-02-07     22
7   2021-02-08     39
8   2021-02-09    372
9   2021-02-10    947
10  2021-02-11   1300
11  2021-02-12    657
12  2021-02-13    249
13  2021-02-14    100
14  2021-02-15     67
15  2021-02-16     60
16  2021-02-17    242
17  2021-02-18    622
18  2021-02-19    655
19  2021-02-20    897
20  2021-02-21    905
21  2021-02-22    819
22  2021-02-23    474
23  2021-02-24    204
24  2021-02-25     97
25  2021-02-26    114
26  2021-02-27    312
27  2021-02-28    184
28  2021-03-01    302
29  2021-03-02    377
30  2021-03-03    285
31  2021-03-04    252
32  2021-03-05    232
33  2021-03-06    149
34  2021-03-07    467
35  2021-03-08    287
36  2021-03-09    587
37  2021-03-10   1507
38  2021-03-11    832
39  2021-03-12    687
40  2021-03-13    547
41  2021-03-14    942
42  2021-03-15    497
43  2021-03-16    484
44  2021-03-17   1017
45  2021-03-18   1512
46  2021-03-19   1157
47  2021-03-20   1295
48  2021-03-21   1247
49  2021-03-22    794
50  2021-03-23    960
51  2021-03-24    510
52  2021-03-25   1268
53  2021-03-26    937
54  2021-03-27    817
55  2021-03-28    679
56  2021-03-29   2247
57  2021-03-30   1277
58  2021-03-31   1345
59  2021-04-01    745
60  2021-04-02    612
61  2021-04-03    409
62  2021-04-04    407
63  2021-04-05    730
64  2021-04-06    584
65  2021-04-07    287
66  2021-04-08    282
67  2021-04-09   1099
68  2021-04-10    725
69  2021-04-11    962
70  2021-04-12    819
71  2021-04-13    620
72  2021-04-14    302
73  2021-04-15    224
74  2021-04-16    362
75  2021-04-17    472
76  2021-04-18    395
77  2021-04-19    507
78  2021-04-20    397
79  2021-04-21    197
80  2021-04-22    189
81  2021-04-23     62
82  2021-04-24     17
83  2021-04-25     12
84  2021-04-26    252
85  2021-04-27   1112
86  2021-04-28   1525
87  2021-04-29   1315
88  2021-04-30   2202
89  2021-05-01   1200
90  2021-05-02   1002
91  2021-05-03   1217
92  2021-05-04   2592
93  2021-05-05     74
94  2021-05-06     60
95  2021-05-07     72
96  2021-05-08    127
97  2021-05-09    187
98  2021-05-10     92
99  2021-05-11     62
100 2021-05-12     52
101 2021-05-13     79
102 2021-05-14    594
103 2021-05-15  17132
104 2021-05-16    147
105 2021-05-17     89
106 2021-05-18    145
107 2021-05-19    170
108 2021-05-20   5157
109 2021-05-21   1477
110 2021-05-22   1777
111 2021-05-23   2834
112 2021-05-24   2877
113 2021-05-25   1397
114 2021-05-26    957
115 2021-05-27   1275
116 2021-05-28   1410
117 2021-05-29   1450
118 2021-05-30    824
119 2021-05-31    604
120 2021-06-01    285
121 2021-06-02    415
122 2021-06-03    397
123 2021-06-04    467
124 2021-06-05   1277
125 2021-06-06   1055
126 2021-06-07   6892
127 2021-06-08  25439
128 2021-06-09  11982
129 2021-06-10   4597
130 2021-06-11  42424
131 2021-06-12   6032
132 2021-06-13   3632
133 2021-06-14   3109
134 2021-06-15   2407
135 2021-06-16   3352
136 2021-06-17   1837
137 2021-06-18   2429
138 2021-06-19   3240
139 2021-06-20   3375
140 2021-06-21   2619
141 2021-06-22   1829
142 2021-06-23   2042
143 2021-06-24   3492
144 2021-06-25   1657
145 2021-06-26   1157
146 2021-06-27    505
147 2021-06-28    432
148 2021-06-29    439
149 2021-06-30    929
150 2021-07-01   2267
151 2021-07-02   6422
152 2021-07-03   7154
153 2021-07-04   6364
154 2021-07-05   4122
155 2021-07-06   2892
156 2021-07-07   1622
157 2021-07-08   1302
158 2021-07-09   1907
159 2021-07-10   1462
160 2021-07-11   1382
161 2021-07-12   1684
162 2021-07-13   1192
163 2021-07-14    725
164 2021-07-15    762
