          date  data
0   2021-02-01    22
1   2021-02-02    27
2   2021-02-03    30
3   2021-02-04    30
4   2021-02-05     4
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    27
10  2021-02-11    44
11  2021-02-12    22
12  2021-02-13     2
13  2021-02-14     0
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17     4
17  2021-02-18    17
18  2021-02-19     4
19  2021-02-20     7
20  2021-02-21    27
21  2021-02-22    15
22  2021-02-23     9
23  2021-02-24     2
24  2021-02-25     0
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     0
28  2021-03-01    15
29  2021-03-02    15
30  2021-03-03    15
31  2021-03-04     4
32  2021-03-05    17
33  2021-03-06     0
34  2021-03-07     0
35  2021-03-08     2
36  2021-03-09    22
37  2021-03-10    22
38  2021-03-11    30
39  2021-03-12    12
40  2021-03-13    15
41  2021-03-14    20
42  2021-03-15    20
43  2021-03-16    12
44  2021-03-17    27
45  2021-03-18    27
46  2021-03-19    15
47  2021-03-20    32
48  2021-03-21    25
49  2021-03-22    15
50  2021-03-23    15
51  2021-03-24     9
52  2021-03-25    24
53  2021-03-26    20
54  2021-03-27    27
55  2021-03-28    22
56  2021-03-29    62
57  2021-03-30    42
58  2021-03-31    47
59  2021-04-01    42
60  2021-04-02     7
61  2021-04-03     7
62  2021-04-04    12
63  2021-04-05    15
64  2021-04-06    12
65  2021-04-07     2
66  2021-04-08    12
67  2021-04-09    12
68  2021-04-10    15
69  2021-04-11    20
70  2021-04-12    17
71  2021-04-13    22
72  2021-04-14     4
73  2021-04-15     9
74  2021-04-16     4
75  2021-04-17    17
76  2021-04-18    17
77  2021-04-19     9
78  2021-04-20     2
79  2021-04-21     4
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     4
85  2021-04-27    30
86  2021-04-28    22
87  2021-04-29    55
88  2021-04-30    52
89  2021-05-01    37
90  2021-05-02    39
91  2021-05-03    25
92  2021-05-04    62
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     7
98  2021-05-10    12
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    20
103 2021-05-15   452
104 2021-05-16     7
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19     4
108 2021-05-20   114
109 2021-05-21    42
110 2021-05-22    22
111 2021-05-23    92
112 2021-05-24   112
113 2021-05-25    65
114 2021-05-26    42
115 2021-05-27    32
116 2021-05-28    49
117 2021-05-29    55
118 2021-05-30     9
119 2021-05-31    22
120 2021-06-01    15
121 2021-06-02    12
122 2021-06-03     4
123 2021-06-04     7
124 2021-06-05    49
125 2021-06-06    32
126 2021-06-07   285
127 2021-06-08  1059
128 2021-06-09   524
129 2021-06-10   154
130 2021-06-11  1372
131 2021-06-12   204
132 2021-06-13   127
133 2021-06-14   107
134 2021-06-15    82
135 2021-06-16   154
136 2021-06-17    35
137 2021-06-18    79
138 2021-06-19   109
139 2021-06-20   180
140 2021-06-21    85
141 2021-06-22    67
142 2021-06-23   102
143 2021-06-24   180
144 2021-06-25    85
145 2021-06-26    72
146 2021-06-27    20
147 2021-06-28     9
148 2021-06-29    22
149 2021-06-30    37
150 2021-07-01    62
151 2021-07-02   224
152 2021-07-03   224
153 2021-07-04   257
154 2021-07-05   170
155 2021-07-06    72
156 2021-07-07    47
157 2021-07-08   130
158 2021-07-09    92
159 2021-07-10    39
160 2021-07-11    49
161 2021-07-12    52
162 2021-07-13    44
163 2021-07-14    47
164 2021-07-15    27
