          date  data
0   2021-02-01    30
1   2021-02-02    67
2   2021-02-03    30
3   2021-02-04    18
4   2021-02-05    12
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    15
9   2021-02-10    42
10  2021-02-11    89
11  2021-02-12    42
12  2021-02-13    12
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17    12
17  2021-02-18    42
18  2021-02-19    37
19  2021-02-20    42
20  2021-02-21    39
21  2021-02-22    39
22  2021-02-23    25
23  2021-02-24     7
24  2021-02-25     4
25  2021-02-26     7
26  2021-02-27    20
27  2021-02-28    12
28  2021-03-01     7
29  2021-03-02    17
30  2021-03-03    12
31  2021-03-04     9
32  2021-03-05     9
33  2021-03-06    20
34  2021-03-07    20
35  2021-03-08    22
36  2021-03-09    57
37  2021-03-10   109
38  2021-03-11    57
39  2021-03-12    47
40  2021-03-13    27
41  2021-03-14    42
42  2021-03-15    30
43  2021-03-16    27
44  2021-03-17    42
45  2021-03-18   112
46  2021-03-19    89
47  2021-03-20    92
48  2021-03-21    72
49  2021-03-22    67
50  2021-03-23    89
51  2021-03-24    20
52  2021-03-25    50
53  2021-03-26    74
54  2021-03-27    67
55  2021-03-28    52
56  2021-03-29   204
57  2021-03-30    70
58  2021-03-31   127
59  2021-04-01    52
60  2021-04-02    44
61  2021-04-03    30
62  2021-04-04    20
63  2021-04-05    37
64  2021-04-06    52
65  2021-04-07    17
66  2021-04-08    20
67  2021-04-09    62
68  2021-04-10    49
69  2021-04-11    79
70  2021-04-12    47
71  2021-04-13    30
72  2021-04-14    27
73  2021-04-15    12
74  2021-04-16    20
75  2021-04-17    22
76  2021-04-18    22
77  2021-04-19    47
78  2021-04-20    17
79  2021-04-21    12
80  2021-04-22     4
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    82
86  2021-04-28   105
87  2021-04-29    60
88  2021-04-30   124
89  2021-05-01    85
90  2021-05-02    49
91  2021-05-03    65
92  2021-05-04   149
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     0
97  2021-05-09     4
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    39
103 2021-05-15  1052
104 2021-05-16     4
105 2021-05-17    15
106 2021-05-18     4
107 2021-05-19    12
108 2021-05-20   239
109 2021-05-21    62
110 2021-05-22    82
111 2021-05-23   182
112 2021-05-24   175
113 2021-05-25   102
114 2021-05-26    65
115 2021-05-27    70
116 2021-05-28    82
117 2021-05-29    82
118 2021-05-30    49
119 2021-05-31    27
120 2021-06-01    12
121 2021-06-02    12
122 2021-06-03    12
123 2021-06-04    30
124 2021-06-05   124
125 2021-06-06    77
126 2021-06-07   442
127 2021-06-08  1772
128 2021-06-09   807
129 2021-06-10   302
130 2021-06-11  2382
131 2021-06-12   367
132 2021-06-13   262
133 2021-06-14   165
134 2021-06-15   182
135 2021-06-16   227
136 2021-06-17   119
137 2021-06-18   162
138 2021-06-19   187
139 2021-06-20   177
140 2021-06-21   152
141 2021-06-22   102
142 2021-06-23   117
143 2021-06-24   222
144 2021-06-25   149
145 2021-06-26    74
146 2021-06-27    35
147 2021-06-28    20
148 2021-06-29    39
149 2021-06-30    87
150 2021-07-01   199
151 2021-07-02   315
152 2021-07-03   497
153 2021-07-04   439
154 2021-07-05   269
155 2021-07-06   207
156 2021-07-07   149
157 2021-07-08   109
158 2021-07-09   137
159 2021-07-10   117
160 2021-07-11   114
161 2021-07-12   105
162 2021-07-13    74
163 2021-07-14    27
164 2021-07-15    70
