          date  data
0   2021-02-01    17
1   2021-02-02    22
2   2021-02-03    20
3   2021-02-04     8
4   2021-02-05     4
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09     9
9   2021-02-10    22
10  2021-02-11    39
11  2021-02-12    20
12  2021-02-13    12
13  2021-02-14     9
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    17
18  2021-02-19    17
19  2021-02-20    22
20  2021-02-21    39
21  2021-02-22    20
22  2021-02-23    15
23  2021-02-24     2
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     0
28  2021-03-01    12
29  2021-03-02     4
30  2021-03-03     4
31  2021-03-04     0
32  2021-03-05     2
33  2021-03-06     4
34  2021-03-07    20
35  2021-03-08     2
36  2021-03-09    15
37  2021-03-10    49
38  2021-03-11    30
39  2021-03-12     7
40  2021-03-13    15
41  2021-03-14    15
42  2021-03-15    25
43  2021-03-16    25
44  2021-03-17    35
45  2021-03-18    39
46  2021-03-19    44
47  2021-03-20    42
48  2021-03-21    17
49  2021-03-22    27
50  2021-03-23    37
51  2021-03-24    37
52  2021-03-25    34
53  2021-03-26    22
54  2021-03-27    20
55  2021-03-28    17
56  2021-03-29    72
57  2021-03-30    49
58  2021-03-31    52
59  2021-04-01    30
60  2021-04-02     9
61  2021-04-03    22
62  2021-04-04     9
63  2021-04-05     9
64  2021-04-06    20
65  2021-04-07     7
66  2021-04-08    15
67  2021-04-09    32
68  2021-04-10    12
69  2021-04-11    17
70  2021-04-12    30
71  2021-04-13    35
72  2021-04-14    20
73  2021-04-15     7
74  2021-04-16     7
75  2021-04-17    17
76  2021-04-18    22
77  2021-04-19    20
78  2021-04-20     9
79  2021-04-21     2
80  2021-04-22     0
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    39
86  2021-04-28    44
87  2021-04-29    49
88  2021-04-30    87
89  2021-05-01    62
90  2021-05-02    22
91  2021-05-03    57
92  2021-05-04    60
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     9
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    15
103 2021-05-15   484
104 2021-05-16     0
105 2021-05-17     4
106 2021-05-18     4
107 2021-05-19     2
108 2021-05-20   130
109 2021-05-21    32
110 2021-05-22    52
111 2021-05-23   130
112 2021-05-24    87
113 2021-05-25    65
114 2021-05-26    25
115 2021-05-27    55
116 2021-05-28    30
117 2021-05-29    52
118 2021-05-30    15
119 2021-05-31    37
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03    20
123 2021-06-04    17
124 2021-06-05    37
125 2021-06-06    27
126 2021-06-07   259
127 2021-06-08   884
128 2021-06-09   355
129 2021-06-10   119
130 2021-06-11  1364
131 2021-06-12   215
132 2021-06-13   142
133 2021-06-14   154
134 2021-06-15    74
135 2021-06-16   105
136 2021-06-17    47
137 2021-06-18   107
138 2021-06-19   130
139 2021-06-20   127
140 2021-06-21    89
141 2021-06-22    82
142 2021-06-23    82
143 2021-06-24   140
144 2021-06-25    60
145 2021-06-26    52
146 2021-06-27    15
147 2021-06-28    17
148 2021-06-29     9
149 2021-06-30    44
150 2021-07-01    95
151 2021-07-02   189
152 2021-07-03   275
153 2021-07-04   299
154 2021-07-05   180
155 2021-07-06    85
156 2021-07-07    70
157 2021-07-08    35
158 2021-07-09    52
159 2021-07-10    65
160 2021-07-11    39
161 2021-07-12    72
162 2021-07-13    49
163 2021-07-14    52
164 2021-07-15    27
