          date  data
0   2021-02-01    57
1   2021-02-02   145
2   2021-02-03    87
3   2021-02-04    60
4   2021-02-05    17
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     7
8   2021-02-09    20
9   2021-02-10    92
10  2021-02-11   157
11  2021-02-12    74
12  2021-02-13    32
13  2021-02-14    15
14  2021-02-15    17
15  2021-02-16     4
16  2021-02-17    39
17  2021-02-18    77
18  2021-02-19    52
19  2021-02-20    74
20  2021-02-21   102
21  2021-02-22    82
22  2021-02-23    65
23  2021-02-24    20
24  2021-02-25     9
25  2021-02-26    30
26  2021-02-27    47
27  2021-02-28    12
28  2021-03-01    25
29  2021-03-02    35
30  2021-03-03    42
31  2021-03-04    20
32  2021-03-05    22
33  2021-03-06    57
34  2021-03-07    47
35  2021-03-08    27
36  2021-03-09   112
37  2021-03-10   219
38  2021-03-11    82
39  2021-03-12    95
40  2021-03-13    57
41  2021-03-14    82
42  2021-03-15   109
43  2021-03-16    60
44  2021-03-17   135
45  2021-03-18   189
46  2021-03-19   112
47  2021-03-20   122
48  2021-03-21   140
49  2021-03-22   130
50  2021-03-23   112
51  2021-03-24    49
52  2021-03-25   244
53  2021-03-26    77
54  2021-03-27    77
55  2021-03-28   109
56  2021-03-29   412
57  2021-03-30   182
58  2021-03-31   187
59  2021-04-01   127
60  2021-04-02    57
61  2021-04-03    37
62  2021-04-04    44
63  2021-04-05    87
64  2021-04-06    55
65  2021-04-07    55
66  2021-04-08    44
67  2021-04-09   140
68  2021-04-10    82
69  2021-04-11    89
70  2021-04-12    89
71  2021-04-13    87
72  2021-04-14    42
73  2021-04-15    44
74  2021-04-16    47
75  2021-04-17    49
76  2021-04-18    72
77  2021-04-19    65
78  2021-04-20    49
79  2021-04-21    30
80  2021-04-22    15
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    27
85  2021-04-27   145
86  2021-04-28   245
87  2021-04-29   162
88  2021-04-30   315
89  2021-05-01   159
90  2021-05-02    95
91  2021-05-03   137
92  2021-05-04   367
93  2021-05-05    12
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08    17
97  2021-05-09    20
98  2021-05-10    17
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    52
103 2021-05-15  2092
104 2021-05-16    12
105 2021-05-17    22
106 2021-05-18    30
107 2021-05-19    32
108 2021-05-20   642
109 2021-05-21   159
110 2021-05-22   184
111 2021-05-23   430
112 2021-05-24   545
113 2021-05-25   255
114 2021-05-26   177
115 2021-05-27   217
116 2021-05-28   184
117 2021-05-29   215
118 2021-05-30   117
119 2021-05-31    89
120 2021-06-01    35
121 2021-06-02    60
122 2021-06-03    49
123 2021-06-04    72
124 2021-06-05   180
125 2021-06-06   172
126 2021-06-07   910
127 2021-06-08  3664
128 2021-06-09  1630
129 2021-06-10   599
130 2021-06-11  5515
131 2021-06-12   837
132 2021-06-13   439
133 2021-06-14   382
134 2021-06-15   357
135 2021-06-16   500
136 2021-06-17   307
137 2021-06-18   302
138 2021-06-19   517
139 2021-06-20   387
140 2021-06-21   404
141 2021-06-22   269
142 2021-06-23   282
143 2021-06-24   594
144 2021-06-25   210
145 2021-06-26   149
146 2021-06-27    74
147 2021-06-28    35
148 2021-06-29    60
149 2021-06-30   137
150 2021-07-01   315
151 2021-07-02   867
152 2021-07-03   910
153 2021-07-04   824
154 2021-07-05   624
155 2021-07-06   385
156 2021-07-07   257
157 2021-07-08   242
158 2021-07-09   355
159 2021-07-10   187
160 2021-07-11   177
161 2021-07-12   212
162 2021-07-13   135
163 2021-07-14    89
164 2021-07-15   114
