          date data
0   2021-02-01   15
1   2021-02-02   20
2   2021-02-03    4
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   12
10  2021-02-11   35
11  2021-02-12   15
12  2021-02-13    7
13  2021-02-14    4
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    7
17  2021-02-18    7
18  2021-02-19   12
19  2021-02-20   25
20  2021-02-21   30
21  2021-02-22    2
22  2021-02-23    4
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26   12
26  2021-02-27   15
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04   12
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    4
35  2021-03-08    9
36  2021-03-09   20
37  2021-03-10   27
38  2021-03-11   27
39  2021-03-12   20
40  2021-03-13    9
41  2021-03-14   35
42  2021-03-15   17
43  2021-03-16   17
44  2021-03-17   25
45  2021-03-18   35
46  2021-03-19   22
47  2021-03-20   70
48  2021-03-21   20
49  2021-03-22   17
50  2021-03-23   17
51  2021-03-24   22
52  2021-03-25   54
53  2021-03-26   20
54  2021-03-27   17
55  2021-03-28   25
56  2021-03-29   92
57  2021-03-30   37
58  2021-03-31   42
59  2021-04-01   32
60  2021-04-02   12
61  2021-04-03    9
62  2021-04-04   20
63  2021-04-05   32
64  2021-04-06   15
65  2021-04-07   15
66  2021-04-08   12
67  2021-04-09   17
68  2021-04-10   22
69  2021-04-11   30
70  2021-04-12   20
71  2021-04-13   25
72  2021-04-14    7
73  2021-04-15    9
74  2021-04-16    9
75  2021-04-17   15
76  2021-04-18   12
77  2021-04-19    7
78  2021-04-20    9
79  2021-04-21    7
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   22
86  2021-04-28   25
87  2021-04-29   37
88  2021-04-30   52
89  2021-05-01   39
90  2021-05-02   22
91  2021-05-03   30
92  2021-05-04   35
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    7
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  444
104 2021-05-16   20
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   89
109 2021-05-21    7
110 2021-05-22   47
111 2021-05-23   60
112 2021-05-24   44
113 2021-05-25   39
114 2021-05-26   20
115 2021-05-27   12
116 2021-05-28   37
117 2021-05-29   47
118 2021-05-30   39
119 2021-05-31    9
120 2021-06-01   12
121 2021-06-02   12
122 2021-06-03    7
123 2021-06-04   22
124 2021-06-05   35
125 2021-06-06   15
126 2021-06-07  212
127 2021-06-08  797
128 2021-06-09  294
129 2021-06-10   89
130 2021-06-11  865
131 2021-06-12  157
132 2021-06-13   95
133 2021-06-14   87
134 2021-06-15   49
135 2021-06-16   70
136 2021-06-17   37
137 2021-06-18   42
138 2021-06-19   67
139 2021-06-20   92
140 2021-06-21   60
141 2021-06-22   49
142 2021-06-23   55
143 2021-06-24   97
144 2021-06-25   49
145 2021-06-26   39
146 2021-06-27   17
147 2021-06-28   15
148 2021-06-29   12
149 2021-06-30   37
150 2021-07-01   77
151 2021-07-02  170
152 2021-07-03  165
153 2021-07-04  202
154 2021-07-05  107
155 2021-07-06   57
156 2021-07-07   30
157 2021-07-08   15
158 2021-07-09   37
159 2021-07-10   37
160 2021-07-11   60
161 2021-07-12   39
162 2021-07-13   32
163 2021-07-14   17
164 2021-07-15   15
