          date   data
0   2021-02-01    674
1   2021-02-02   1677
2   2021-02-03   1235
3   2021-02-04    624
4   2021-02-05    235
5   2021-02-06     82
6   2021-02-07     22
7   2021-02-08     44
8   2021-02-09    275
9   2021-02-10   1005
10  2021-02-11   1769
11  2021-02-12    902
12  2021-02-13    409
13  2021-02-14    165
14  2021-02-15    105
15  2021-02-16     57
16  2021-02-17    345
17  2021-02-18    762
18  2021-02-19    722
19  2021-02-20    924
20  2021-02-21   1187
21  2021-02-22    994
22  2021-02-23    612
23  2021-02-24    257
24  2021-02-25    132
25  2021-02-26    227
26  2021-02-27    382
27  2021-02-28    170
28  2021-03-01    412
29  2021-03-02    427
30  2021-03-03    310
31  2021-03-04    334
32  2021-03-05    315
33  2021-03-06    342
34  2021-03-07    542
35  2021-03-08    392
36  2021-03-09    992
37  2021-03-10   2202
38  2021-03-11   1399
39  2021-03-12    949
40  2021-03-13    767
41  2021-03-14   1197
42  2021-03-15    769
43  2021-03-16    732
44  2021-03-17   1452
45  2021-03-18   2140
46  2021-03-19   1515
47  2021-03-20   1764
48  2021-03-21   1584
49  2021-03-22   1125
50  2021-03-23   1224
51  2021-03-24    790
52  2021-03-25   1784
53  2021-03-26   1297
54  2021-03-27   1232
55  2021-03-28   1020
56  2021-03-29   3182
57  2021-03-30   1729
58  2021-03-31   1829
59  2021-04-01   1214
60  2021-04-02    747
61  2021-04-03    672
62  2021-04-04    530
63  2021-04-05    892
64  2021-04-06    865
65  2021-04-07    482
66  2021-04-08    417
67  2021-04-09   1462
68  2021-04-10   1020
69  2021-04-11   1214
70  2021-04-12   1085
71  2021-04-13    872
72  2021-04-14    417
73  2021-04-15    390
74  2021-04-16    390
75  2021-04-17    572
76  2021-04-18    615
77  2021-04-19    800
78  2021-04-20    687
79  2021-04-21    362
80  2021-04-22    264
81  2021-04-23     74
82  2021-04-24     12
83  2021-04-25     17
84  2021-04-26    397
85  2021-04-27   1555
86  2021-04-28   2175
87  2021-04-29   1759
88  2021-04-30   3364
89  2021-05-01   1612
90  2021-05-02   1219
91  2021-05-03   1820
92  2021-05-04   3432
93  2021-05-05    107
94  2021-05-06     70
95  2021-05-07     82
96  2021-05-08    149
97  2021-05-09    249
98  2021-05-10    145
99  2021-05-11    127
100 2021-05-12     35
101 2021-05-13    100
102 2021-05-14    852
103 2021-05-15  25137
104 2021-05-16    192
105 2021-05-17    167
106 2021-05-18    239
107 2021-05-19    327
108 2021-05-20   6830
109 2021-05-21   1902
110 2021-05-22   2339
111 2021-05-23   5044
112 2021-05-24   5355
113 2021-05-25   2772
114 2021-05-26   1855
115 2021-05-27   2212
116 2021-05-28   2412
117 2021-05-29   2577
118 2021-05-30   1254
119 2021-05-31    967
120 2021-06-01    437
121 2021-06-02    642
122 2021-06-03    512
123 2021-06-04    745
124 2021-06-05   1939
125 2021-06-06   1777
126 2021-06-07  10942
127 2021-06-08  40874
128 2021-06-09  16979
129 2021-06-10   6734
130 2021-06-11  62282
131 2021-06-12   9414
132 2021-06-13   5489
133 2021-06-14   5199
134 2021-06-15   3769
135 2021-06-16   5594
136 2021-06-17   3039
137 2021-06-18   4057
138 2021-06-19   5547
139 2021-06-20   5622
140 2021-06-21   4114
141 2021-06-22   3157
142 2021-06-23   3584
143 2021-06-24   6612
144 2021-06-25   2932
145 2021-06-26   1912
146 2021-06-27    817
147 2021-06-28    597
148 2021-06-29    687
149 2021-06-30   1694
150 2021-07-01   3885
151 2021-07-02   9899
152 2021-07-03  10787
153 2021-07-04  10894
154 2021-07-05   7199
155 2021-07-06   4762
156 2021-07-07   3062
157 2021-07-08   2542
158 2021-07-09   3375
159 2021-07-10   2300
160 2021-07-11   2277
161 2021-07-12   2639
162 2021-07-13   1994
163 2021-07-14   1300
164 2021-07-15   1397
