          date  data
0   2021-02-01    32
1   2021-02-02    37
2   2021-02-03    35
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    55
10  2021-02-11    77
11  2021-02-12    39
12  2021-02-13     9
13  2021-02-14     4
14  2021-02-15     4
15  2021-02-16     4
16  2021-02-17    17
17  2021-02-18    37
18  2021-02-19    25
19  2021-02-20    37
20  2021-02-21    62
21  2021-02-22    30
22  2021-02-23    32
23  2021-02-24     7
24  2021-02-25     4
25  2021-02-26     2
26  2021-02-27    20
27  2021-02-28     0
28  2021-03-01    20
29  2021-03-02    20
30  2021-03-03     4
31  2021-03-04     0
32  2021-03-05    25
33  2021-03-06     7
34  2021-03-07    22
35  2021-03-08     7
36  2021-03-09    20
37  2021-03-10    60
38  2021-03-11    85
39  2021-03-12    32
40  2021-03-13    22
41  2021-03-14    47
42  2021-03-15    20
43  2021-03-16    17
44  2021-03-17    49
45  2021-03-18    67
46  2021-03-19    55
47  2021-03-20    72
48  2021-03-21    92
49  2021-03-22    57
50  2021-03-23    77
51  2021-03-24    42
52  2021-03-25    64
53  2021-03-26   100
54  2021-03-27    42
55  2021-03-28    32
56  2021-03-29   159
57  2021-03-30    79
58  2021-03-31    67
59  2021-04-01    49
60  2021-04-02    39
61  2021-04-03    35
62  2021-04-04    39
63  2021-04-05    65
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08     2
67  2021-04-09    37
68  2021-04-10    27
69  2021-04-11    44
70  2021-04-12    32
71  2021-04-13    35
72  2021-04-14     9
73  2021-04-15     2
74  2021-04-16    17
75  2021-04-17    27
76  2021-04-18    15
77  2021-04-19    27
78  2021-04-20    20
79  2021-04-21     7
80  2021-04-22     2
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     7
84  2021-04-26    15
85  2021-04-27    72
86  2021-04-28    77
87  2021-04-29   109
88  2021-04-30   189
89  2021-05-01    79
90  2021-05-02    74
91  2021-05-03   100
92  2021-05-04   189
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     7
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     4
101 2021-05-13     0
102 2021-05-14    27
103 2021-05-15   807
104 2021-05-16     0
105 2021-05-17     7
106 2021-05-18     7
107 2021-05-19     2
108 2021-05-20   345
109 2021-05-21   107
110 2021-05-22   137
111 2021-05-23   197
112 2021-05-24   187
113 2021-05-25    92
114 2021-05-26    60
115 2021-05-27    87
116 2021-05-28    72
117 2021-05-29   117
118 2021-05-30    87
119 2021-05-31    20
120 2021-06-01    27
121 2021-06-02    32
122 2021-06-03    35
123 2021-06-04    37
124 2021-06-05    79
125 2021-06-06    70
126 2021-06-07   522
127 2021-06-08  1740
128 2021-06-09   720
129 2021-06-10   342
130 2021-06-11  3015
131 2021-06-12   457
132 2021-06-13   285
133 2021-06-14   222
134 2021-06-15   187
135 2021-06-16   204
136 2021-06-17   149
137 2021-06-18   199
138 2021-06-19   292
139 2021-06-20   294
140 2021-06-21   182
141 2021-06-22    89
142 2021-06-23   132
143 2021-06-24   347
144 2021-06-25   119
145 2021-06-26   112
146 2021-06-27    49
147 2021-06-28    27
148 2021-06-29    20
149 2021-06-30    85
150 2021-07-01   165
151 2021-07-02   427
152 2021-07-03   522
153 2021-07-04   594
154 2021-07-05   397
155 2021-07-06   184
156 2021-07-07   145
157 2021-07-08   102
158 2021-07-09   219
159 2021-07-10   124
160 2021-07-11   105
161 2021-07-12    82
162 2021-07-13   112
163 2021-07-14    67
164 2021-07-15    49
