          date  data
0   2021-02-01    32
1   2021-02-02    77
2   2021-02-03    52
3   2021-02-04    30
4   2021-02-05     9
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     9
9   2021-02-10    47
10  2021-02-11    97
11  2021-02-12    47
12  2021-02-13    15
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     4
16  2021-02-17    15
17  2021-02-18    35
18  2021-02-19    39
19  2021-02-20    44
20  2021-02-21    74
21  2021-02-22    65
22  2021-02-23    44
23  2021-02-24    12
24  2021-02-25     9
25  2021-02-26     4
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01    30
29  2021-03-02    15
30  2021-03-03    17
31  2021-03-04     9
32  2021-03-05    12
33  2021-03-06     9
34  2021-03-07    25
35  2021-03-08    12
36  2021-03-09    62
37  2021-03-10   100
38  2021-03-11    57
39  2021-03-12    49
40  2021-03-13    35
41  2021-03-14    77
42  2021-03-15    35
43  2021-03-16    39
44  2021-03-17    70
45  2021-03-18   114
46  2021-03-19    60
47  2021-03-20   100
48  2021-03-21    87
49  2021-03-22    65
50  2021-03-23    72
51  2021-03-24    52
52  2021-03-25    88
53  2021-03-26    62
54  2021-03-27    62
55  2021-03-28    70
56  2021-03-29   237
57  2021-03-30   100
58  2021-03-31   124
59  2021-04-01    70
60  2021-04-02    44
61  2021-04-03    30
62  2021-04-04    39
63  2021-04-05    60
64  2021-04-06    37
65  2021-04-07    22
66  2021-04-08    27
67  2021-04-09    70
68  2021-04-10    70
69  2021-04-11    60
70  2021-04-12    62
71  2021-04-13    37
72  2021-04-14    15
73  2021-04-15    15
74  2021-04-16    27
75  2021-04-17    32
76  2021-04-18    30
77  2021-04-19    49
78  2021-04-20    47
79  2021-04-21    12
80  2021-04-22    17
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    17
85  2021-04-27    79
86  2021-04-28    92
87  2021-04-29    95
88  2021-04-30   172
89  2021-05-01   105
90  2021-05-02    67
91  2021-05-03   114
92  2021-05-04   229
93  2021-05-05     4
94  2021-05-06     9
95  2021-05-07     2
96  2021-05-08     9
97  2021-05-09    25
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    47
103 2021-05-15  1152
104 2021-05-16     4
105 2021-05-17     4
106 2021-05-18     7
107 2021-05-19     4
108 2021-05-20   452
109 2021-05-21    60
110 2021-05-22   135
111 2021-05-23   290
112 2021-05-24   280
113 2021-05-25   149
114 2021-05-26   100
115 2021-05-27   122
116 2021-05-28    74
117 2021-05-29   184
118 2021-05-30    72
119 2021-05-31    27
120 2021-06-01    27
121 2021-06-02    52
122 2021-06-03    35
123 2021-06-04    42
124 2021-06-05    97
125 2021-06-06    44
126 2021-06-07   442
127 2021-06-08  1617
128 2021-06-09   694
129 2021-06-10   294
130 2021-06-11  3744
131 2021-06-12   580
132 2021-06-13   294
133 2021-06-14   312
134 2021-06-15   217
135 2021-06-16   252
136 2021-06-17   165
137 2021-06-18   212
138 2021-06-19   377
139 2021-06-20   337
140 2021-06-21   117
141 2021-06-22   112
142 2021-06-23   154
143 2021-06-24   477
144 2021-06-25   217
145 2021-06-26   152
146 2021-06-27    37
147 2021-06-28    37
148 2021-06-29    30
149 2021-06-30    74
150 2021-07-01   182
151 2021-07-02   535
152 2021-07-03   604
153 2021-07-04   634
154 2021-07-05   467
155 2021-07-06   304
156 2021-07-07   167
157 2021-07-08   124
158 2021-07-09   159
159 2021-07-10   135
160 2021-07-11   114
161 2021-07-12   117
162 2021-07-13    70
163 2021-07-14    67
164 2021-07-15    65
