          date   data
0   2021-02-01    145
1   2021-02-02    902
2   2021-02-03    567
3   2021-02-04    270
4   2021-02-05     87
5   2021-02-06     12
6   2021-02-07      0
7   2021-02-08      2
8   2021-02-09    142
9   2021-02-10    407
10  2021-02-11    664
11  2021-02-12    352
12  2021-02-13    102
13  2021-02-14     52
14  2021-02-15     32
15  2021-02-16      2
16  2021-02-17     55
17  2021-02-18    307
18  2021-02-19    382
19  2021-02-20    510
20  2021-02-21    575
21  2021-02-22    442
22  2021-02-23    282
23  2021-02-24    124
24  2021-02-25     87
25  2021-02-26    107
26  2021-02-27    202
27  2021-02-28     60
28  2021-03-01    197
29  2021-03-02    187
30  2021-03-03    142
31  2021-03-04    165
32  2021-03-05    159
33  2021-03-06    119
34  2021-03-07    294
35  2021-03-08    224
36  2021-03-09    400
37  2021-03-10    872
38  2021-03-11    602
39  2021-03-12    374
40  2021-03-13    407
41  2021-03-14    500
42  2021-03-15    409
43  2021-03-16    374
44  2021-03-17    774
45  2021-03-18   1112
46  2021-03-19    942
47  2021-03-20    792
48  2021-03-21    814
49  2021-03-22    592
50  2021-03-23    872
51  2021-03-24    397
52  2021-03-25    978
53  2021-03-26    512
54  2021-03-27    599
55  2021-03-28    365
56  2021-03-29    690
57  2021-03-30    462
58  2021-03-31    647
59  2021-04-01    519
60  2021-04-02    360
61  2021-04-03    345
62  2021-04-04    267
63  2021-04-05    527
64  2021-04-06    382
65  2021-04-07    170
66  2021-04-08    202
67  2021-04-09    617
68  2021-04-10    379
69  2021-04-11    592
70  2021-04-12    552
71  2021-04-13    352
72  2021-04-14    237
73  2021-04-15    194
74  2021-04-16    232
75  2021-04-17    290
76  2021-04-18    192
77  2021-04-19    422
78  2021-04-20    412
79  2021-04-21    207
80  2021-04-22    124
81  2021-04-23     62
82  2021-04-24     12
83  2021-04-25      7
84  2021-04-26    152
85  2021-04-27    830
86  2021-04-28    865
87  2021-04-29    685
88  2021-04-30   1397
89  2021-05-01    662
90  2021-05-02    449
91  2021-05-03    709
92  2021-05-04   1782
93  2021-05-05     27
94  2021-05-06     12
95  2021-05-07     15
96  2021-05-08     74
97  2021-05-09    107
98  2021-05-10     44
99  2021-05-11     32
100 2021-05-12     15
101 2021-05-13     74
102 2021-05-14    374
103 2021-05-15  11089
104 2021-05-16     62
105 2021-05-17     70
106 2021-05-18    109
107 2021-05-19    145
108 2021-05-20   4062
109 2021-05-21   1027
110 2021-05-22   1235
111 2021-05-23   2362
112 2021-05-24   2400
113 2021-05-25   1137
114 2021-05-26    670
115 2021-05-27    945
116 2021-05-28    877
117 2021-05-29   1024
118 2021-05-30    545
119 2021-05-31    447
120 2021-06-01    259
121 2021-06-02    262
122 2021-06-03    262
123 2021-06-04    310
124 2021-06-05    819
125 2021-06-06    577
126 2021-06-07   3287
127 2021-06-08  10827
128 2021-06-09   4632
129 2021-06-10   2057
130 2021-06-11  34044
131 2021-06-12   3354
132 2021-06-13   1834
133 2021-06-14   1705
134 2021-06-15   1527
135 2021-06-16   2069
136 2021-06-17   1184
137 2021-06-18   1670
138 2021-06-19   2472
139 2021-06-20   2175
140 2021-06-21   1570
141 2021-06-22   1007
142 2021-06-23   1192
143 2021-06-24   2309
144 2021-06-25   1130
145 2021-06-26    725
146 2021-06-27    297
147 2021-06-28    355
148 2021-06-29    307
149 2021-06-30    717
150 2021-07-01   1362
151 2021-07-02   4270
152 2021-07-03   4507
153 2021-07-04   4820
154 2021-07-05   3250
155 2021-07-06   2410
156 2021-07-07   1209
157 2021-07-08   1067
158 2021-07-09   1457
159 2021-07-10   1117
160 2021-07-11   1032
161 2021-07-12   1022
162 2021-07-13    584
163 2021-07-14    404
164 2021-07-15    545
