          date  data
0   2021-02-01    42
1   2021-02-02   137
2   2021-02-03   100
3   2021-02-04    70
4   2021-02-05    20
5   2021-02-06    12
6   2021-02-07     4
7   2021-02-08     7
8   2021-02-09    20
9   2021-02-10    89
10  2021-02-11   159
11  2021-02-12    77
12  2021-02-13    37
13  2021-02-14    17
14  2021-02-15    12
15  2021-02-16     9
16  2021-02-17    27
17  2021-02-18    72
18  2021-02-19    57
19  2021-02-20    57
20  2021-02-21   107
21  2021-02-22    82
22  2021-02-23    77
23  2021-02-24    20
24  2021-02-25    20
25  2021-02-26     9
26  2021-02-27    25
27  2021-02-28    17
28  2021-03-01    17
29  2021-03-02    27
30  2021-03-03    27
31  2021-03-04    17
32  2021-03-05    22
33  2021-03-06    25
34  2021-03-07    52
35  2021-03-08    15
36  2021-03-09    77
37  2021-03-10   130
38  2021-03-11    70
39  2021-03-12    55
40  2021-03-13    62
41  2021-03-14    87
42  2021-03-15    82
43  2021-03-16    30
44  2021-03-17   130
45  2021-03-18   145
46  2021-03-19    95
47  2021-03-20   142
48  2021-03-21   130
49  2021-03-22    82
50  2021-03-23   109
51  2021-03-24    70
52  2021-03-25   184
53  2021-03-26   127
54  2021-03-27   102
55  2021-03-28    82
56  2021-03-29   242
57  2021-03-30   204
58  2021-03-31   175
59  2021-04-01    65
60  2021-04-02    60
61  2021-04-03    47
62  2021-04-04    39
63  2021-04-05    87
64  2021-04-06    79
65  2021-04-07    37
66  2021-04-08    32
67  2021-04-09    92
68  2021-04-10    77
69  2021-04-11   114
70  2021-04-12    60
71  2021-04-13    89
72  2021-04-14    27
73  2021-04-15    32
74  2021-04-16    42
75  2021-04-17    65
76  2021-04-18    57
77  2021-04-19    65
78  2021-04-20    65
79  2021-04-21    20
80  2021-04-22    22
81  2021-04-23    12
82  2021-04-24     2
83  2021-04-25     4
84  2021-04-26    44
85  2021-04-27   140
86  2021-04-28   180
87  2021-04-29   212
88  2021-04-30   340
89  2021-05-01   180
90  2021-05-02   112
91  2021-05-03   167
92  2021-05-04   379
93  2021-05-05     7
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08    25
97  2021-05-09    39
98  2021-05-10    20
99  2021-05-11     9
100 2021-05-12    15
101 2021-05-13     9
102 2021-05-14    82
103 2021-05-15  1722
104 2021-05-16    12
105 2021-05-17     9
106 2021-05-18     2
107 2021-05-19    32
108 2021-05-20   597
109 2021-05-21   207
110 2021-05-22   259
111 2021-05-23   510
112 2021-05-24   535
113 2021-05-25   222
114 2021-05-26   124
115 2021-05-27   187
116 2021-05-28   187
117 2021-05-29   229
118 2021-05-30   165
119 2021-05-31    95
120 2021-06-01    27
121 2021-06-02    47
122 2021-06-03    62
123 2021-06-04    47
124 2021-06-05   145
125 2021-06-06   114
126 2021-06-07  1074
127 2021-06-08  3347
128 2021-06-09  1429
129 2021-06-10   739
130 2021-06-11  8429
131 2021-06-12  1172
132 2021-06-13   742
133 2021-06-14   554
134 2021-06-15   492
135 2021-06-16   497
136 2021-06-17   332
137 2021-06-18   367
138 2021-06-19   632
139 2021-06-20   510
140 2021-06-21   382
141 2021-06-22   297
142 2021-06-23   397
143 2021-06-24   847
144 2021-06-25   287
145 2021-06-26   249
146 2021-06-27   135
147 2021-06-28   119
148 2021-06-29   100
149 2021-06-30   427
150 2021-07-01   604
151 2021-07-02   994
152 2021-07-03  1547
153 2021-07-04  1242
154 2021-07-05  1127
155 2021-07-06   842
156 2021-07-07   827
157 2021-07-08   914
158 2021-07-09   800
159 2021-07-10   914
160 2021-07-11   905
161 2021-07-12   734
162 2021-07-13   587
163 2021-07-14   494
164 2021-07-15   452
