          date  data
0   2021-02-01    30
1   2021-02-02    55
2   2021-02-03    30
3   2021-02-04    14
4   2021-02-05     9
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    12
9   2021-02-10    39
10  2021-02-11    79
11  2021-02-12    25
12  2021-02-13    15
13  2021-02-14     2
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    30
18  2021-02-19    44
19  2021-02-20    39
20  2021-02-21    67
21  2021-02-22    35
22  2021-02-23    37
23  2021-02-24    20
24  2021-02-25    12
25  2021-02-26     7
26  2021-02-27    17
27  2021-02-28    22
28  2021-03-01    17
29  2021-03-02     9
30  2021-03-03    15
31  2021-03-04     2
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    22
35  2021-03-08    17
36  2021-03-09    57
37  2021-03-10    67
38  2021-03-11    30
39  2021-03-12    32
40  2021-03-13    37
41  2021-03-14    39
42  2021-03-15    42
43  2021-03-16    17
44  2021-03-17    72
45  2021-03-18    74
46  2021-03-19    67
47  2021-03-20   100
48  2021-03-21   109
49  2021-03-22    42
50  2021-03-23    62
51  2021-03-24    30
52  2021-03-25    78
53  2021-03-26    62
54  2021-03-27    55
55  2021-03-28    27
56  2021-03-29   165
57  2021-03-30   124
58  2021-03-31    89
59  2021-04-01    44
60  2021-04-02    22
61  2021-04-03    30
62  2021-04-04    32
63  2021-04-05    57
64  2021-04-06    60
65  2021-04-07    20
66  2021-04-08    17
67  2021-04-09    55
68  2021-04-10    52
69  2021-04-11    77
70  2021-04-12    74
71  2021-04-13    39
72  2021-04-14    25
73  2021-04-15     9
74  2021-04-16    12
75  2021-04-17    37
76  2021-04-18    35
77  2021-04-19    25
78  2021-04-20    30
79  2021-04-21     4
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    39
85  2021-04-27    89
86  2021-04-28    89
87  2021-04-29    92
88  2021-04-30   175
89  2021-05-01    92
90  2021-05-02    97
91  2021-05-03    79
92  2021-05-04   199
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08     7
97  2021-05-09    15
98  2021-05-10     7
99  2021-05-11     7
100 2021-05-12     0
101 2021-05-13     9
102 2021-05-14    44
103 2021-05-15   975
104 2021-05-16     9
105 2021-05-17     4
106 2021-05-18     2
107 2021-05-19    12
108 2021-05-20   345
109 2021-05-21    72
110 2021-05-22   124
111 2021-05-23   267
112 2021-05-24   262
113 2021-05-25   105
114 2021-05-26    70
115 2021-05-27   117
116 2021-05-28    87
117 2021-05-29   162
118 2021-05-30    97
119 2021-05-31    42
120 2021-06-01    22
121 2021-06-02    17
122 2021-06-03    30
123 2021-06-04    20
124 2021-06-05    87
125 2021-06-06    72
126 2021-06-07   637
127 2021-06-08  1925
128 2021-06-09   732
129 2021-06-10   282
130 2021-06-11  2902
131 2021-06-12   357
132 2021-06-13   327
133 2021-06-14   332
134 2021-06-15   199
135 2021-06-16   267
136 2021-06-17   145
137 2021-06-18   189
138 2021-06-19   259
139 2021-06-20   272
140 2021-06-21   180
141 2021-06-22    89
142 2021-06-23   172
143 2021-06-24   409
144 2021-06-25   184
145 2021-06-26   145
146 2021-06-27    47
147 2021-06-28    27
148 2021-06-29    22
149 2021-06-30    97
150 2021-07-01   167
151 2021-07-02   424
152 2021-07-03   547
153 2021-07-04   687
154 2021-07-05   377
155 2021-07-06   245
156 2021-07-07   117
157 2021-07-08   124
158 2021-07-09   229
159 2021-07-10   145
160 2021-07-11   132
161 2021-07-12   122
162 2021-07-13   140
163 2021-07-14    67
164 2021-07-15    57
