          date data
0   2021-02-01    7
1   2021-02-02   27
2   2021-02-03   22
3   2021-02-04    4
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   30
10  2021-02-11   44
11  2021-02-12   20
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17   15
17  2021-02-18    7
18  2021-02-19   20
19  2021-02-20   25
20  2021-02-21   32
21  2021-02-22   30
22  2021-02-23   12
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27   15
27  2021-02-28    2
28  2021-03-01   20
29  2021-03-02   15
30  2021-03-03    9
31  2021-03-04   15
32  2021-03-05    9
33  2021-03-06    2
34  2021-03-07   17
35  2021-03-08    2
36  2021-03-09    7
37  2021-03-10   52
38  2021-03-11   22
39  2021-03-12   17
40  2021-03-13   22
41  2021-03-14   35
42  2021-03-15   27
43  2021-03-16   12
44  2021-03-17   25
45  2021-03-18   32
46  2021-03-19   30
47  2021-03-20   22
48  2021-03-21   42
49  2021-03-22   32
50  2021-03-23   20
51  2021-03-24    2
52  2021-03-25   30
53  2021-03-26   27
54  2021-03-27   22
55  2021-03-28   17
56  2021-03-29   74
57  2021-03-30   20
58  2021-03-31   44
59  2021-04-01   27
60  2021-04-02   17
61  2021-04-03   22
62  2021-04-04    7
63  2021-04-05    7
64  2021-04-06    4
65  2021-04-07    0
66  2021-04-08   12
67  2021-04-09   27
68  2021-04-10   17
69  2021-04-11   27
70  2021-04-12   17
71  2021-04-13   20
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    7
75  2021-04-17   12
76  2021-04-18   20
77  2021-04-19    2
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    7
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27    4
86  2021-04-28   32
87  2021-04-29   22
88  2021-04-30   20
89  2021-05-01    9
90  2021-05-02   15
91  2021-05-03   15
92  2021-05-04   52
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    2
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    9
103 2021-05-15  272
104 2021-05-16    9
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   97
109 2021-05-21   15
110 2021-05-22   17
111 2021-05-23   44
112 2021-05-24   52
113 2021-05-25   12
114 2021-05-26   15
115 2021-05-27   25
116 2021-05-28   20
117 2021-05-29   25
118 2021-05-30   12
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    9
122 2021-06-03    4
123 2021-06-04    9
124 2021-06-05   30
125 2021-06-06    9
126 2021-06-07   55
127 2021-06-08  264
128 2021-06-09  117
129 2021-06-10   67
130 2021-06-11  734
131 2021-06-12   74
132 2021-06-13   57
133 2021-06-14   39
134 2021-06-15   39
135 2021-06-16   52
136 2021-06-17   22
137 2021-06-18   52
138 2021-06-19   49
139 2021-06-20   35
140 2021-06-21   49
141 2021-06-22   25
142 2021-06-23   25
143 2021-06-24   49
144 2021-06-25   35
145 2021-06-26   15
146 2021-06-27    4
147 2021-06-28   12
148 2021-06-29    0
149 2021-06-30    9
150 2021-07-01   37
151 2021-07-02   79
152 2021-07-03  100
153 2021-07-04   85
154 2021-07-05   74
155 2021-07-06   32
156 2021-07-07   27
157 2021-07-08   17
158 2021-07-09   25
159 2021-07-10   20
160 2021-07-11   22
161 2021-07-12    7
162 2021-07-13   17
163 2021-07-14    9
164 2021-07-15   15
