          date data
0   2021-02-01    2
1   2021-02-02   17
2   2021-02-03   20
3   2021-02-04   14
4   2021-02-05    2
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    4
8   2021-02-09    7
9   2021-02-10    7
10  2021-02-11   22
11  2021-02-12    7
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    4
17  2021-02-18    4
18  2021-02-19   12
19  2021-02-20    7
20  2021-02-21    9
21  2021-02-22   15
22  2021-02-23    7
23  2021-02-24    7
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01    7
29  2021-03-02   12
30  2021-03-03    4
31  2021-03-04    9
32  2021-03-05   15
33  2021-03-06    0
34  2021-03-07    9
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   27
38  2021-03-11   22
39  2021-03-12   22
40  2021-03-13   17
41  2021-03-14   17
42  2021-03-15   15
43  2021-03-16    4
44  2021-03-17   20
45  2021-03-18   15
46  2021-03-19   35
47  2021-03-20   30
48  2021-03-21   17
49  2021-03-22    7
50  2021-03-23   22
51  2021-03-24    2
52  2021-03-25    8
53  2021-03-26    9
54  2021-03-27   17
55  2021-03-28   12
56  2021-03-29   22
57  2021-03-30    7
58  2021-03-31    2
59  2021-04-01    7
60  2021-04-02    4
61  2021-04-03    7
62  2021-04-04    0
63  2021-04-05    7
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    2
68  2021-04-10    2
69  2021-04-11   15
70  2021-04-12   12
71  2021-04-13    4
72  2021-04-14    7
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18   15
77  2021-04-19   12
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   57
86  2021-04-28    7
87  2021-04-29   15
88  2021-04-30   32
89  2021-05-01   12
90  2021-05-02    9
91  2021-05-03   20
92  2021-05-04   20
93  2021-05-05    0
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  152
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   55
109 2021-05-21    9
110 2021-05-22   27
111 2021-05-23   37
112 2021-05-24   35
113 2021-05-25    9
114 2021-05-26   20
115 2021-05-27   12
116 2021-05-28   17
117 2021-05-29    2
118 2021-05-30   17
119 2021-05-31    2
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    4
125 2021-06-06   15
126 2021-06-07   52
127 2021-06-08  175
128 2021-06-09  119
129 2021-06-10   62
130 2021-06-11  510
131 2021-06-12   70
132 2021-06-13   35
133 2021-06-14    9
134 2021-06-15   17
135 2021-06-16   32
136 2021-06-17    0
137 2021-06-18   12
138 2021-06-19   35
139 2021-06-20   42
140 2021-06-21   20
141 2021-06-22   20
142 2021-06-23   15
143 2021-06-24   67
144 2021-06-25   15
145 2021-06-26   12
146 2021-06-27    0
147 2021-06-28    9
148 2021-06-29    7
149 2021-06-30    7
150 2021-07-01   17
151 2021-07-02   39
152 2021-07-03   55
153 2021-07-04   72
154 2021-07-05   44
155 2021-07-06   12
156 2021-07-07    4
157 2021-07-08   12
158 2021-07-09   12
159 2021-07-10   12
160 2021-07-11    4
161 2021-07-12   20
162 2021-07-13    4
163 2021-07-14    7
164 2021-07-15    4
