          date data
0   2021-02-01    7
1   2021-02-02   12
2   2021-02-03   20
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    7
10  2021-02-11    4
11  2021-02-12    2
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    7
18  2021-02-19   12
19  2021-02-20    9
20  2021-02-21    4
21  2021-02-22    0
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01    4
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    4
36  2021-03-09    0
37  2021-03-10    4
38  2021-03-11    0
39  2021-03-12    9
40  2021-03-13    4
41  2021-03-14   15
42  2021-03-15    2
43  2021-03-16    7
44  2021-03-17    9
45  2021-03-18   15
46  2021-03-19    9
47  2021-03-20    9
48  2021-03-21   20
49  2021-03-22    4
50  2021-03-23    2
51  2021-03-24    2
52  2021-03-25   24
53  2021-03-26    2
54  2021-03-27    7
55  2021-03-28    2
56  2021-03-29   12
57  2021-03-30    4
58  2021-03-31    7
59  2021-04-01    2
60  2021-04-02    0
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    7
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    4
70  2021-04-12    2
71  2021-04-13    9
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    2
77  2021-04-19    4
78  2021-04-20    9
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27    2
86  2021-04-28    4
87  2021-04-29    0
88  2021-04-30   25
89  2021-05-01    9
90  2021-05-02   12
91  2021-05-03    7
92  2021-05-04   17
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15  182
104 2021-05-16    0
105 2021-05-17    7
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   60
109 2021-05-21    7
110 2021-05-22   15
111 2021-05-23   17
112 2021-05-24   39
113 2021-05-25   12
114 2021-05-26    7
115 2021-05-27    4
116 2021-05-28   12
117 2021-05-29    9
118 2021-05-30    2
119 2021-05-31    2
120 2021-06-01    0
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05   20
125 2021-06-06    9
126 2021-06-07   79
127 2021-06-08  252
128 2021-06-09  119
129 2021-06-10   47
130 2021-06-11  340
131 2021-06-12   62
132 2021-06-13   22
133 2021-06-14   25
134 2021-06-15   12
135 2021-06-16   42
136 2021-06-17   17
137 2021-06-18   32
138 2021-06-19   37
139 2021-06-20   44
140 2021-06-21   25
141 2021-06-22   20
142 2021-06-23   22
143 2021-06-24   55
144 2021-06-25   15
145 2021-06-26   20
146 2021-06-27    2
147 2021-06-28    9
148 2021-06-29    9
149 2021-06-30    7
150 2021-07-01   20
151 2021-07-02   60
152 2021-07-03   52
153 2021-07-04   49
154 2021-07-05   39
155 2021-07-06   17
156 2021-07-07    7
157 2021-07-08    9
158 2021-07-09   25
159 2021-07-10    9
160 2021-07-11    7
161 2021-07-12    2
162 2021-07-13    0
163 2021-07-14    9
164 2021-07-15    9
