          date  data
0   2021-02-01    12
1   2021-02-02   100
2   2021-02-03    47
3   2021-02-04    18
4   2021-02-05     7
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    67
10  2021-02-11    57
11  2021-02-12    42
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     2
15  2021-02-16     4
16  2021-02-17    15
17  2021-02-18    22
18  2021-02-19    37
19  2021-02-20    52
20  2021-02-21    72
21  2021-02-22    72
22  2021-02-23    57
23  2021-02-24    30
24  2021-02-25     7
25  2021-02-26    12
26  2021-02-27     2
27  2021-02-28    20
28  2021-03-01     7
29  2021-03-02    17
30  2021-03-03     9
31  2021-03-04     4
32  2021-03-05    17
33  2021-03-06     7
34  2021-03-07    17
35  2021-03-08    15
36  2021-03-09    37
37  2021-03-10   127
38  2021-03-11    89
39  2021-03-12    72
40  2021-03-13    30
41  2021-03-14   100
42  2021-03-15    52
43  2021-03-16    30
44  2021-03-17    85
45  2021-03-18   112
46  2021-03-19    79
47  2021-03-20   102
48  2021-03-21    85
49  2021-03-22    57
50  2021-03-23    89
51  2021-03-24    72
52  2021-03-25   104
53  2021-03-26    95
54  2021-03-27    95
55  2021-03-28    55
56  2021-03-29   210
57  2021-03-30   149
58  2021-03-31   152
59  2021-04-01    62
60  2021-04-02    87
61  2021-04-03    67
62  2021-04-04    25
63  2021-04-05    77
64  2021-04-06    70
65  2021-04-07    17
66  2021-04-08    15
67  2021-04-09    85
68  2021-04-10    62
69  2021-04-11    55
70  2021-04-12    97
71  2021-04-13    39
72  2021-04-14    27
73  2021-04-15     9
74  2021-04-16    47
75  2021-04-17    35
76  2021-04-18    17
77  2021-04-19    65
78  2021-04-20    32
79  2021-04-21    20
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27    79
86  2021-04-28   117
87  2021-04-29    82
88  2021-04-30   145
89  2021-05-01    82
90  2021-05-02    95
91  2021-05-03   135
92  2021-05-04   197
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08    12
97  2021-05-09     4
98  2021-05-10     2
99  2021-05-11     9
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    35
103 2021-05-15  1329
104 2021-05-16     2
105 2021-05-17     7
106 2021-05-18    12
107 2021-05-19    12
108 2021-05-20   307
109 2021-05-21    85
110 2021-05-22   112
111 2021-05-23   290
112 2021-05-24   252
113 2021-05-25   109
114 2021-05-26    87
115 2021-05-27   127
116 2021-05-28    95
117 2021-05-29   119
118 2021-05-30    65
119 2021-05-31    42
120 2021-06-01    32
121 2021-06-02    49
122 2021-06-03    39
123 2021-06-04    52
124 2021-06-05    87
125 2021-06-06    79
126 2021-06-07   474
127 2021-06-08  1727
128 2021-06-09   679
129 2021-06-10   272
130 2021-06-11  3219
131 2021-06-12   439
132 2021-06-13   252
133 2021-06-14   255
134 2021-06-15   202
135 2021-06-16   210
136 2021-06-17   142
137 2021-06-18   199
138 2021-06-19   247
139 2021-06-20   275
140 2021-06-21   204
141 2021-06-22   149
142 2021-06-23   157
143 2021-06-24   385
144 2021-06-25   140
145 2021-06-26    55
146 2021-06-27    35
147 2021-06-28    30
148 2021-06-29    22
149 2021-06-30    85
150 2021-07-01   142
151 2021-07-02   427
152 2021-07-03   477
153 2021-07-04   514
154 2021-07-05   275
155 2021-07-06   310
156 2021-07-07   109
157 2021-07-08   142
158 2021-07-09   149
159 2021-07-10   102
160 2021-07-11   140
161 2021-07-12   137
162 2021-07-13    65
163 2021-07-14    57
164 2021-07-15    49
