          date   data
0   2021-02-01    222
1   2021-02-02    875
2   2021-02-03    632
3   2021-02-04    234
4   2021-02-05    124
5   2021-02-06     37
6   2021-02-07      9
7   2021-02-08     15
8   2021-02-09    162
9   2021-02-10    465
10  2021-02-11    747
11  2021-02-12    400
12  2021-02-13    170
13  2021-02-14     70
14  2021-02-15     39
15  2021-02-16      2
16  2021-02-17     62
17  2021-02-18    362
18  2021-02-19    412
19  2021-02-20    562
20  2021-02-21    547
21  2021-02-22    530
22  2021-02-23    360
23  2021-02-24    149
24  2021-02-25     79
25  2021-02-26    102
26  2021-02-27    167
27  2021-02-28    102
28  2021-03-01    189
29  2021-03-02    262
30  2021-03-03    217
31  2021-03-04    239
32  2021-03-05    224
33  2021-03-06    182
34  2021-03-07    307
35  2021-03-08    219
36  2021-03-09    362
37  2021-03-10   1050
38  2021-03-11    640
39  2021-03-12    439
40  2021-03-13    404
41  2021-03-14    687
42  2021-03-15    427
43  2021-03-16    357
44  2021-03-17    844
45  2021-03-18   1372
46  2021-03-19    935
47  2021-03-20    847
48  2021-03-21    784
49  2021-03-22    615
50  2021-03-23    792
51  2021-03-24    347
52  2021-03-25    894
53  2021-03-26    519
54  2021-03-27    527
55  2021-03-28    412
56  2021-03-29    477
57  2021-03-30    432
58  2021-03-31    549
59  2021-04-01    472
60  2021-04-02    362
61  2021-04-03    357
62  2021-04-04    264
63  2021-04-05    512
64  2021-04-06    395
65  2021-04-07    239
66  2021-04-08    135
67  2021-04-09    709
68  2021-04-10    385
69  2021-04-11    562
70  2021-04-12    559
71  2021-04-13    390
72  2021-04-14    232
73  2021-04-15    172
74  2021-04-16    187
75  2021-04-17    302
76  2021-04-18    227
77  2021-04-19    449
78  2021-04-20    395
79  2021-04-21    184
80  2021-04-22    135
81  2021-04-23     72
82  2021-04-24      7
83  2021-04-25     17
84  2021-04-26    165
85  2021-04-27    757
86  2021-04-28    964
87  2021-04-29    767
88  2021-04-30   1525
89  2021-05-01    647
90  2021-05-02    449
91  2021-05-03    804
92  2021-05-04   1767
93  2021-05-05     25
94  2021-05-06     44
95  2021-05-07     20
96  2021-05-08     87
97  2021-05-09    100
98  2021-05-10     39
99  2021-05-11     25
100 2021-05-12     22
101 2021-05-13     74
102 2021-05-14    465
103 2021-05-15  12227
104 2021-05-16     77
105 2021-05-17     92
106 2021-05-18    147
107 2021-05-19    119
108 2021-05-20   4079
109 2021-05-21    939
110 2021-05-22   1172
111 2021-05-23   2317
112 2021-05-24   2317
113 2021-05-25   1262
114 2021-05-26    757
115 2021-05-27   1037
116 2021-05-28    910
117 2021-05-29    879
118 2021-05-30    489
119 2021-05-31    505
120 2021-06-01    229
121 2021-06-02    304
122 2021-06-03    252
123 2021-06-04    292
124 2021-06-05    687
125 2021-06-06    677
126 2021-06-07   3329
127 2021-06-08  11617
128 2021-06-09   4872
129 2021-06-10   2040
130 2021-06-11  25879
131 2021-06-12   3382
132 2021-06-13   1677
133 2021-06-14   1450
134 2021-06-15   1252
135 2021-06-16   1850
136 2021-06-17   1137
137 2021-06-18   1609
138 2021-06-19   2279
139 2021-06-20   2342
140 2021-06-21   1635
141 2021-06-22   1190
142 2021-06-23   1235
143 2021-06-24   2255
144 2021-06-25    954
145 2021-06-26    664
146 2021-06-27    257
147 2021-06-28    327
148 2021-06-29    267
149 2021-06-30    580
150 2021-07-01   1085
151 2021-07-02   3835
152 2021-07-03   4289
153 2021-07-04   4235
154 2021-07-05   2920
155 2021-07-06   2167
156 2021-07-07   1177
157 2021-07-08    972
158 2021-07-09   1152
159 2021-07-10    884
160 2021-07-11    932
161 2021-07-12    922
162 2021-07-13    487
163 2021-07-14    345
164 2021-07-15    390
