          date data
0   2021-02-01    0
1   2021-02-02   27
2   2021-02-03   17
3   2021-02-04    4
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11   27
11  2021-02-12   22
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    0
18  2021-02-19    2
19  2021-02-20   20
20  2021-02-21   12
21  2021-02-22    2
22  2021-02-23   12
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    4
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04    0
32  2021-03-05    4
33  2021-03-06    4
34  2021-03-07    7
35  2021-03-08    7
36  2021-03-09   25
37  2021-03-10   22
38  2021-03-11   22
39  2021-03-12   20
40  2021-03-13    4
41  2021-03-14   12
42  2021-03-15   15
43  2021-03-16    7
44  2021-03-17   12
45  2021-03-18   15
46  2021-03-19   15
47  2021-03-20    9
48  2021-03-21   20
49  2021-03-22   37
50  2021-03-23    9
51  2021-03-24   15
52  2021-03-25   18
53  2021-03-26   17
54  2021-03-27   17
55  2021-03-28   25
56  2021-03-29   57
57  2021-03-30   25
58  2021-03-31   25
59  2021-04-01   17
60  2021-04-02   17
61  2021-04-03    7
62  2021-04-04    7
63  2021-04-05    0
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   20
68  2021-04-10   15
69  2021-04-11    9
70  2021-04-12    7
71  2021-04-13    9
72  2021-04-14    4
73  2021-04-15    4
74  2021-04-16    0
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19    0
78  2021-04-20   12
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    7
86  2021-04-28   20
87  2021-04-29   17
88  2021-04-30   35
89  2021-05-01   17
90  2021-05-02    9
91  2021-05-03   22
92  2021-05-04   49
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    7
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14   12
103 2021-05-15  237
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    4
107 2021-05-19    4
108 2021-05-20   77
109 2021-05-21   22
110 2021-05-22   44
111 2021-05-23   65
112 2021-05-24   72
113 2021-05-25   60
114 2021-05-26   25
115 2021-05-27   15
116 2021-05-28   17
117 2021-05-29   30
118 2021-05-30   15
119 2021-05-31   12
120 2021-06-01    7
121 2021-06-02    4
122 2021-06-03    7
123 2021-06-04    4
124 2021-06-05   12
125 2021-06-06   12
126 2021-06-07  140
127 2021-06-08  549
128 2021-06-09  267
129 2021-06-10   82
130 2021-06-11  842
131 2021-06-12  109
132 2021-06-13   65
133 2021-06-14   67
134 2021-06-15   44
135 2021-06-16   77
136 2021-06-17   30
137 2021-06-18   44
138 2021-06-19   72
139 2021-06-20   79
140 2021-06-21   44
141 2021-06-22   49
142 2021-06-23   42
143 2021-06-24   87
144 2021-06-25   15
145 2021-06-26   32
146 2021-06-27    7
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30   25
150 2021-07-01   44
151 2021-07-02  127
152 2021-07-03  170
153 2021-07-04  117
154 2021-07-05   70
155 2021-07-06   74
156 2021-07-07   32
157 2021-07-08   30
158 2021-07-09   35
159 2021-07-10   20
160 2021-07-11   22
161 2021-07-12   15
162 2021-07-13   17
163 2021-07-14    7
164 2021-07-15    9
