          date  data
0   2021-02-01    52
1   2021-02-02    97
2   2021-02-03    67
3   2021-02-04    74
4   2021-02-05    20
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    30
9   2021-02-10   114
10  2021-02-11   257
11  2021-02-12   105
12  2021-02-13    42
13  2021-02-14    15
14  2021-02-15    12
15  2021-02-16     9
16  2021-02-17    39
17  2021-02-18    57
18  2021-02-19    49
19  2021-02-20    57
20  2021-02-21   117
21  2021-02-22   124
22  2021-02-23    44
23  2021-02-24    30
24  2021-02-25     4
25  2021-02-26    15
26  2021-02-27     9
27  2021-02-28    27
28  2021-03-01    60
29  2021-03-02    35
30  2021-03-03    17
31  2021-03-04    17
32  2021-03-05     9
33  2021-03-06    42
34  2021-03-07    30
35  2021-03-08    27
36  2021-03-09    47
37  2021-03-10   197
38  2021-03-11   117
39  2021-03-12    77
40  2021-03-13    49
41  2021-03-14   135
42  2021-03-15    89
43  2021-03-16    42
44  2021-03-17   132
45  2021-03-18   105
46  2021-03-19   140
47  2021-03-20   172
48  2021-03-21   135
49  2021-03-22    77
50  2021-03-23    97
51  2021-03-24    44
52  2021-03-25   148
53  2021-03-26   117
54  2021-03-27   112
55  2021-03-28   107
56  2021-03-29   242
57  2021-03-30   159
58  2021-03-31   157
59  2021-04-01   124
60  2021-04-02    74
61  2021-04-03    62
62  2021-04-04    39
63  2021-04-05    97
64  2021-04-06    25
65  2021-04-07    30
66  2021-04-08    12
67  2021-04-09    60
68  2021-04-10    67
69  2021-04-11    65
70  2021-04-12    47
71  2021-04-13    39
72  2021-04-14    30
73  2021-04-15    35
74  2021-04-16    25
75  2021-04-17    39
76  2021-04-18    37
77  2021-04-19    32
78  2021-04-20    62
79  2021-04-21    20
80  2021-04-22     9
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     4
84  2021-04-26    30
85  2021-04-27   132
86  2021-04-28   117
87  2021-04-29   117
88  2021-04-30   232
89  2021-05-01   119
90  2021-05-02   109
91  2021-05-03   157
92  2021-05-04   282
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07    20
96  2021-05-08     0
97  2021-05-09    25
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    55
103 2021-05-15  1829
104 2021-05-16     2
105 2021-05-17     9
106 2021-05-18     7
107 2021-05-19    15
108 2021-05-20   565
109 2021-05-21   157
110 2021-05-22   122
111 2021-05-23   355
112 2021-05-24   347
113 2021-05-25   189
114 2021-05-26   119
115 2021-05-27   167
116 2021-05-28   112
117 2021-05-29   207
118 2021-05-30    95
119 2021-05-31    49
120 2021-06-01    32
121 2021-06-02    22
122 2021-06-03    35
123 2021-06-04    30
124 2021-06-05   102
125 2021-06-06   102
126 2021-06-07   697
127 2021-06-08  2337
128 2021-06-09  1130
129 2021-06-10   454
130 2021-06-11  3627
131 2021-06-12   709
132 2021-06-13   430
133 2021-06-14   379
134 2021-06-15   232
135 2021-06-16   322
136 2021-06-17   199
137 2021-06-18   297
138 2021-06-19   442
139 2021-06-20   465
140 2021-06-21   327
141 2021-06-22   204
142 2021-06-23   235
143 2021-06-24   427
144 2021-06-25   207
145 2021-06-26   119
146 2021-06-27    67
147 2021-06-28    49
148 2021-06-29    30
149 2021-06-30   127
150 2021-07-01   255
151 2021-07-02   637
152 2021-07-03   942
153 2021-07-04   924
154 2021-07-05   577
155 2021-07-06   332
156 2021-07-07   204
157 2021-07-08   162
158 2021-07-09   245
159 2021-07-10   202
160 2021-07-11   180
161 2021-07-12   140
162 2021-07-13   102
163 2021-07-14    67
164 2021-07-15    92
