          date data
0   2021-02-01    4
1   2021-02-02   27
2   2021-02-03    2
3   2021-02-04    4
4   2021-02-05   12
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10   22
10  2021-02-11   15
11  2021-02-12    9
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18   17
18  2021-02-19    7
19  2021-02-20   17
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    7
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    9
29  2021-03-02    9
30  2021-03-03    4
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    9
35  2021-03-08    2
36  2021-03-09   15
37  2021-03-10   32
38  2021-03-11   20
39  2021-03-12   20
40  2021-03-13   15
41  2021-03-14    9
42  2021-03-15   17
43  2021-03-16   27
44  2021-03-17   25
45  2021-03-18   39
46  2021-03-19   20
47  2021-03-20   30
48  2021-03-21   27
49  2021-03-22   22
50  2021-03-23   22
51  2021-03-24    9
52  2021-03-25    4
53  2021-03-26   17
54  2021-03-27   17
55  2021-03-28   12
56  2021-03-29   60
57  2021-03-30   65
58  2021-03-31   49
59  2021-04-01   32
60  2021-04-02    2
61  2021-04-03   15
62  2021-04-04    7
63  2021-04-05    9
64  2021-04-06   20
65  2021-04-07    7
66  2021-04-08    2
67  2021-04-09    4
68  2021-04-10   15
69  2021-04-11   20
70  2021-04-12    9
71  2021-04-13    9
72  2021-04-14    0
73  2021-04-15    4
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18    7
77  2021-04-19    9
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   25
86  2021-04-28   25
87  2021-04-29   35
88  2021-04-30   42
89  2021-05-01   39
90  2021-05-02   12
91  2021-05-03   25
92  2021-05-04   47
93  2021-05-05    4
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    2
102 2021-05-14   25
103 2021-05-15  360
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20  122
109 2021-05-21   20
110 2021-05-22   25
111 2021-05-23   85
112 2021-05-24   62
113 2021-05-25   49
114 2021-05-26   35
115 2021-05-27   42
116 2021-05-28   27
117 2021-05-29   30
118 2021-05-30    7
119 2021-05-31   12
120 2021-06-01    4
121 2021-06-02   12
122 2021-06-03   12
123 2021-06-04   12
124 2021-06-05   27
125 2021-06-06   17
126 2021-06-07  137
127 2021-06-08  530
128 2021-06-09  267
129 2021-06-10  124
130 2021-06-11  727
131 2021-06-12  149
132 2021-06-13   89
133 2021-06-14   77
134 2021-06-15   35
135 2021-06-16   65
136 2021-06-17   60
137 2021-06-18   52
138 2021-06-19   62
139 2021-06-20  105
140 2021-06-21   62
141 2021-06-22   30
142 2021-06-23   37
143 2021-06-24   89
144 2021-06-25   30
145 2021-06-26   20
146 2021-06-27    9
147 2021-06-28    7
148 2021-06-29    9
149 2021-06-30   27
150 2021-07-01   62
151 2021-07-02  142
152 2021-07-03  157
153 2021-07-04  197
154 2021-07-05  147
155 2021-07-06   92
156 2021-07-07   39
157 2021-07-08   49
158 2021-07-09   60
159 2021-07-10   42
160 2021-07-11   30
161 2021-07-12   32
162 2021-07-13   25
163 2021-07-14   22
164 2021-07-15   17
