          date   data
0   2021-02-01    484
1   2021-02-02   1460
2   2021-02-03   1032
3   2021-02-04    484
4   2021-02-05    212
5   2021-02-06     55
6   2021-02-07     17
7   2021-02-08     22
8   2021-02-09    310
9   2021-02-10    897
10  2021-02-11   1452
11  2021-02-12    784
12  2021-02-13    322
13  2021-02-14    122
14  2021-02-15     82
15  2021-02-16     44
16  2021-02-17    189
17  2021-02-18    659
18  2021-02-19    697
19  2021-02-20    922
20  2021-02-21   1012
21  2021-02-22    932
22  2021-02-23    620
23  2021-02-24    292
24  2021-02-25    117
25  2021-02-26    187
26  2021-02-27    252
27  2021-02-28    187
28  2021-03-01    355
29  2021-03-02    417
30  2021-03-03    307
31  2021-03-04    312
32  2021-03-05    322
33  2021-03-06    304
34  2021-03-07    457
35  2021-03-08    377
36  2021-03-09    667
37  2021-03-10   1844
38  2021-03-11   1160
39  2021-03-12    807
40  2021-03-13    602
41  2021-03-14   1219
42  2021-03-15    747
43  2021-03-16    612
44  2021-03-17   1402
45  2021-03-18   2129
46  2021-03-19   1532
47  2021-03-20   1489
48  2021-03-21   1394
49  2021-03-22   1040
50  2021-03-23   1329
51  2021-03-24    664
52  2021-03-25   1584
53  2021-03-26   1024
54  2021-03-27   1022
55  2021-03-28    794
56  2021-03-29   1754
57  2021-03-30   1272
58  2021-03-31   1367
59  2021-04-01    952
60  2021-04-02    690
61  2021-04-03    627
62  2021-04-04    492
63  2021-04-05    905
64  2021-04-06    704
65  2021-04-07    369
66  2021-04-08    239
67  2021-04-09   1132
68  2021-04-10    720
69  2021-04-11    912
70  2021-04-12    937
71  2021-04-13    627
72  2021-04-14    390
73  2021-04-15    292
74  2021-04-16    332
75  2021-04-17    519
76  2021-04-18    412
77  2021-04-19    694
78  2021-04-20    655
79  2021-04-21    302
80  2021-04-22    184
81  2021-04-23     89
82  2021-04-24     15
83  2021-04-25     27
84  2021-04-26    350
85  2021-04-27   1340
86  2021-04-28   1649
87  2021-04-29   1392
88  2021-04-30   2740
89  2021-05-01   1252
90  2021-05-02    954
91  2021-05-03   1542
92  2021-05-04   3079
93  2021-05-05     60
94  2021-05-06     92
95  2021-05-07     67
96  2021-05-08    132
97  2021-05-09    187
98  2021-05-10     65
99  2021-05-11     57
100 2021-05-12     35
101 2021-05-13    132
102 2021-05-14    767
103 2021-05-15  21714
104 2021-05-16    107
105 2021-05-17    159
106 2021-05-18    227
107 2021-05-19    210
108 2021-05-20   6762
109 2021-05-21   1582
110 2021-05-22   1994
111 2021-05-23   4187
112 2021-05-24   4077
113 2021-05-25   2225
114 2021-05-26   1385
115 2021-05-27   1780
116 2021-05-28   1557
117 2021-05-29   1780
118 2021-05-30    972
119 2021-05-31    747
120 2021-06-01    387
121 2021-06-02    479
122 2021-06-03    465
123 2021-06-04    547
124 2021-06-05   1325
125 2021-06-06   1197
126 2021-06-07   7037
127 2021-06-08  24937
128 2021-06-09  10704
129 2021-06-10   4277
130 2021-06-11  46162
131 2021-06-12   6682
132 2021-06-13   3629
133 2021-06-14   3232
134 2021-06-15   2559
135 2021-06-16   3739
136 2021-06-17   2265
137 2021-06-18   3107
138 2021-06-19   4382
139 2021-06-20   4402
140 2021-06-21   3279
141 2021-06-22   2237
142 2021-06-23   2335
143 2021-06-24   4675
144 2021-06-25   1955
145 2021-06-26   1312
146 2021-06-27    522
147 2021-06-28    554
148 2021-06-29    457
149 2021-06-30   1174
150 2021-07-01   2327
151 2021-07-02   6972
152 2021-07-03   8259
153 2021-07-04   8317
154 2021-07-05   5537
155 2021-07-06   4155
156 2021-07-07   2157
157 2021-07-08   1869
158 2021-07-09   2387
159 2021-07-10   1775
160 2021-07-11   1777
161 2021-07-12   1735
162 2021-07-13   1045
163 2021-07-14    720
164 2021-07-15    809
