          date  data
0   2021-02-01    17
1   2021-02-02    60
2   2021-02-03    42
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     4
8   2021-02-09    22
9   2021-02-10    47
10  2021-02-11    82
11  2021-02-12    42
12  2021-02-13    12
13  2021-02-14     7
14  2021-02-15     7
15  2021-02-16     0
16  2021-02-17    22
17  2021-02-18    52
18  2021-02-19    15
19  2021-02-20    20
20  2021-02-21    30
21  2021-02-22    27
22  2021-02-23    12
23  2021-02-24     0
24  2021-02-25     2
25  2021-02-26     0
26  2021-02-27     9
27  2021-02-28     9
28  2021-03-01     9
29  2021-03-02    17
30  2021-03-03     9
31  2021-03-04    17
32  2021-03-05     9
33  2021-03-06     4
34  2021-03-07    17
35  2021-03-08    12
36  2021-03-09    30
37  2021-03-10   112
38  2021-03-11    60
39  2021-03-12    42
40  2021-03-13    22
41  2021-03-14    37
42  2021-03-15    37
43  2021-03-16    47
44  2021-03-17    32
45  2021-03-18    62
46  2021-03-19    70
47  2021-03-20   117
48  2021-03-21    89
49  2021-03-22    39
50  2021-03-23    42
51  2021-03-24    25
52  2021-03-25    88
53  2021-03-26    57
54  2021-03-27    62
55  2021-03-28    35
56  2021-03-29   204
57  2021-03-30   105
58  2021-03-31   135
59  2021-04-01    42
60  2021-04-02    25
61  2021-04-03    25
62  2021-04-04    39
63  2021-04-05    55
64  2021-04-06    32
65  2021-04-07    17
66  2021-04-08    12
67  2021-04-09    72
68  2021-04-10    32
69  2021-04-11     9
70  2021-04-12    39
71  2021-04-13    20
72  2021-04-14    17
73  2021-04-15    15
74  2021-04-16    20
75  2021-04-17    20
76  2021-04-18    25
77  2021-04-19    20
78  2021-04-20    25
79  2021-04-21     2
80  2021-04-22    20
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     4
84  2021-04-26    20
85  2021-04-27    42
86  2021-04-28    60
87  2021-04-29    39
88  2021-04-30   102
89  2021-05-01    52
90  2021-05-02    32
91  2021-05-03    67
92  2021-05-04    97
93  2021-05-05     9
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08    12
97  2021-05-09     9
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    22
103 2021-05-15   664
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     9
107 2021-05-19     9
108 2021-05-20   207
109 2021-05-21    49
110 2021-05-22    95
111 2021-05-23   157
112 2021-05-24   140
113 2021-05-25    70
114 2021-05-26    52
115 2021-05-27    57
116 2021-05-28    47
117 2021-05-29    82
118 2021-05-30    25
119 2021-05-31     9
120 2021-06-01     7
121 2021-06-02    15
122 2021-06-03    17
123 2021-06-04    12
124 2021-06-05    49
125 2021-06-06    30
126 2021-06-07   385
127 2021-06-08  1492
128 2021-06-09   652
129 2021-06-10   282
130 2021-06-11  2052
131 2021-06-12   317
132 2021-06-13   210
133 2021-06-14   167
134 2021-06-15   130
135 2021-06-16   199
136 2021-06-17    89
137 2021-06-18   180
138 2021-06-19   127
139 2021-06-20   177
140 2021-06-21   127
141 2021-06-22   102
142 2021-06-23    74
143 2021-06-24   194
144 2021-06-25    85
145 2021-06-26    52
146 2021-06-27     9
147 2021-06-28    12
148 2021-06-29    32
149 2021-06-30    57
150 2021-07-01   112
151 2021-07-02   277
152 2021-07-03   322
153 2021-07-04   350
154 2021-07-05   232
155 2021-07-06   152
156 2021-07-07    89
157 2021-07-08    67
158 2021-07-09   132
159 2021-07-10    62
160 2021-07-11    65
161 2021-07-12    55
162 2021-07-13    57
163 2021-07-14    35
164 2021-07-15    17
