          date data
0   2021-02-01    2
1   2021-02-02    7
2   2021-02-03    9
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    2
10  2021-02-11   12
11  2021-02-12    2
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    2
18  2021-02-19    2
19  2021-02-20    9
20  2021-02-21   22
21  2021-02-22    0
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    7
30  2021-03-03    7
31  2021-03-04    7
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07   12
35  2021-03-08    4
36  2021-03-09    7
37  2021-03-10    7
38  2021-03-11    4
39  2021-03-12    4
40  2021-03-13    4
41  2021-03-14    0
42  2021-03-15    2
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18    4
46  2021-03-19    9
47  2021-03-20    2
48  2021-03-21   20
49  2021-03-22    4
50  2021-03-23   15
51  2021-03-24    0
52  2021-03-25    8
53  2021-03-26    9
54  2021-03-27    9
55  2021-03-28    0
56  2021-03-29   42
57  2021-03-30   20
58  2021-03-31    9
59  2021-04-01    4
60  2021-04-02    7
61  2021-04-03    2
62  2021-04-04    2
63  2021-04-05    0
64  2021-04-06    4
65  2021-04-07    4
66  2021-04-08    2
67  2021-04-09    7
68  2021-04-10    2
69  2021-04-11    7
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    0
77  2021-04-19    2
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27   20
86  2021-04-28    9
87  2021-04-29   25
88  2021-04-30    7
89  2021-05-01   12
90  2021-05-02   12
91  2021-05-03    7
92  2021-05-04   35
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  114
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   44
109 2021-05-21    7
110 2021-05-22    2
111 2021-05-23   39
112 2021-05-24   32
113 2021-05-25   20
114 2021-05-26   15
115 2021-05-27    7
116 2021-05-28    7
117 2021-05-29   17
118 2021-05-30   15
119 2021-05-31    2
120 2021-06-01    4
121 2021-06-02    4
122 2021-06-03    7
123 2021-06-04    2
124 2021-06-05   20
125 2021-06-06    7
126 2021-06-07   44
127 2021-06-08  237
128 2021-06-09  127
129 2021-06-10   55
130 2021-06-11  397
131 2021-06-12   70
132 2021-06-13   57
133 2021-06-14   42
134 2021-06-15   44
135 2021-06-16   47
136 2021-06-17   15
137 2021-06-18   32
138 2021-06-19   27
139 2021-06-20   37
140 2021-06-21   37
141 2021-06-22   17
142 2021-06-23   37
143 2021-06-24   37
144 2021-06-25   17
145 2021-06-26   17
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    7
149 2021-06-30   12
150 2021-07-01   20
151 2021-07-02   79
152 2021-07-03   55
153 2021-07-04   72
154 2021-07-05   60
155 2021-07-06   39
156 2021-07-07   12
157 2021-07-08    9
158 2021-07-09    9
159 2021-07-10    4
160 2021-07-11   15
161 2021-07-12   12
162 2021-07-13    7
163 2021-07-14    2
164 2021-07-15    9
