          date  data
0   2021-02-01    15
1   2021-02-02    49
2   2021-02-03    25
3   2021-02-04     4
4   2021-02-05     4
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    25
10  2021-02-11    52
11  2021-02-12    25
12  2021-02-13    12
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     2
17  2021-02-18    20
18  2021-02-19    20
19  2021-02-20    25
20  2021-02-21    32
21  2021-02-22    39
22  2021-02-23    15
23  2021-02-24     9
24  2021-02-25     7
25  2021-02-26     9
26  2021-02-27     9
27  2021-02-28     2
28  2021-03-01     7
29  2021-03-02    15
30  2021-03-03     4
31  2021-03-04    12
32  2021-03-05    12
33  2021-03-06     0
34  2021-03-07    17
35  2021-03-08    12
36  2021-03-09    30
37  2021-03-10    92
38  2021-03-11    67
39  2021-03-12    37
40  2021-03-13    22
41  2021-03-14    39
42  2021-03-15    30
43  2021-03-16    27
44  2021-03-17    47
45  2021-03-18    62
46  2021-03-19    42
47  2021-03-20    52
48  2021-03-21    35
49  2021-03-22    42
50  2021-03-23    49
51  2021-03-24    17
52  2021-03-25    78
53  2021-03-26    42
54  2021-03-27    35
55  2021-03-28    25
56  2021-03-29   149
57  2021-03-30    74
58  2021-03-31    85
59  2021-04-01    27
60  2021-04-02    15
61  2021-04-03    25
62  2021-04-04    12
63  2021-04-05    30
64  2021-04-06    17
65  2021-04-07    17
66  2021-04-08     7
67  2021-04-09    30
68  2021-04-10    17
69  2021-04-11    32
70  2021-04-12    22
71  2021-04-13    35
72  2021-04-14    20
73  2021-04-15     9
74  2021-04-16     9
75  2021-04-17     9
76  2021-04-18    22
77  2021-04-19     7
78  2021-04-20    15
79  2021-04-21    12
80  2021-04-22     2
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    30
86  2021-04-28    52
87  2021-04-29    49
88  2021-04-30    85
89  2021-05-01    55
90  2021-05-02    22
91  2021-05-03    32
92  2021-05-04   100
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     4
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    44
103 2021-05-15   620
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     0
107 2021-05-19    12
108 2021-05-20   222
109 2021-05-21    39
110 2021-05-22    47
111 2021-05-23   147
112 2021-05-24   135
113 2021-05-25    49
114 2021-05-26    27
115 2021-05-27    27
116 2021-05-28    39
117 2021-05-29    74
118 2021-05-30     9
119 2021-05-31    17
120 2021-06-01    12
121 2021-06-02    17
122 2021-06-03     7
123 2021-06-04    15
124 2021-06-05    37
125 2021-06-06    30
126 2021-06-07   229
127 2021-06-08   837
128 2021-06-09   474
129 2021-06-10   165
130 2021-06-11  1597
131 2021-06-12   222
132 2021-06-13   119
133 2021-06-14   147
134 2021-06-15   117
135 2021-06-16   237
136 2021-06-17    95
137 2021-06-18   130
138 2021-06-19   159
139 2021-06-20   140
140 2021-06-21    92
141 2021-06-22    82
142 2021-06-23    70
143 2021-06-24   189
144 2021-06-25    87
145 2021-06-26    35
146 2021-06-27    25
147 2021-06-28     2
148 2021-06-29     7
149 2021-06-30    47
150 2021-07-01   114
151 2021-07-02   255
152 2021-07-03   340
153 2021-07-04   292
154 2021-07-05   187
155 2021-07-06   102
156 2021-07-07    77
157 2021-07-08    95
158 2021-07-09    85
159 2021-07-10    57
160 2021-07-11    49
161 2021-07-12    60
162 2021-07-13    57
163 2021-07-14    55
164 2021-07-15    15
