          date  data
0   2021-02-01     9
1   2021-02-02    17
2   2021-02-03    15
3   2021-02-04     8
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    30
9   2021-02-10    37
10  2021-02-11    55
11  2021-02-12    15
12  2021-02-13     7
13  2021-02-14    12
14  2021-02-15     2
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    30
18  2021-02-19    12
19  2021-02-20     9
20  2021-02-21    37
21  2021-02-22    32
22  2021-02-23     9
23  2021-02-24     7
24  2021-02-25     2
25  2021-02-26     7
26  2021-02-27    20
27  2021-02-28     0
28  2021-03-01     9
29  2021-03-02     7
30  2021-03-03     7
31  2021-03-04     4
32  2021-03-05     9
33  2021-03-06     0
34  2021-03-07    17
35  2021-03-08    12
36  2021-03-09    55
37  2021-03-10    67
38  2021-03-11    25
39  2021-03-12    20
40  2021-03-13     7
41  2021-03-14    32
42  2021-03-15    32
43  2021-03-16    42
44  2021-03-17    47
45  2021-03-18    55
46  2021-03-19    42
47  2021-03-20    30
48  2021-03-21    25
49  2021-03-22    12
50  2021-03-23    37
51  2021-03-24    30
52  2021-03-25    60
53  2021-03-26    27
54  2021-03-27    20
55  2021-03-28    25
56  2021-03-29    97
57  2021-03-30    57
58  2021-03-31    62
59  2021-04-01    37
60  2021-04-02    17
61  2021-04-03     9
62  2021-04-04    22
63  2021-04-05    22
64  2021-04-06    20
65  2021-04-07     7
66  2021-04-08     9
67  2021-04-09    42
68  2021-04-10    22
69  2021-04-11    42
70  2021-04-12    22
71  2021-04-13    25
72  2021-04-14     2
73  2021-04-15    12
74  2021-04-16    37
75  2021-04-17     4
76  2021-04-18     4
77  2021-04-19    30
78  2021-04-20    15
79  2021-04-21     4
80  2021-04-22     0
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26     7
85  2021-04-27    25
86  2021-04-28    47
87  2021-04-29    27
88  2021-04-30    44
89  2021-05-01    30
90  2021-05-02    32
91  2021-05-03    22
92  2021-05-04    62
93  2021-05-05     2
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08     2
97  2021-05-09     0
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    15
103 2021-05-15   472
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18     7
107 2021-05-19     7
108 2021-05-20   132
109 2021-05-21    32
110 2021-05-22    55
111 2021-05-23   122
112 2021-05-24   109
113 2021-05-25    74
114 2021-05-26    27
115 2021-05-27    42
116 2021-05-28    42
117 2021-05-29    42
118 2021-05-30    35
119 2021-05-31    12
120 2021-06-01     0
121 2021-06-02     4
122 2021-06-03    15
123 2021-06-04    15
124 2021-06-05    25
125 2021-06-06    27
126 2021-06-07   175
127 2021-06-08   634
128 2021-06-09   229
129 2021-06-10   117
130 2021-06-11  1010
131 2021-06-12   165
132 2021-06-13   127
133 2021-06-14   127
134 2021-06-15    70
135 2021-06-16   122
136 2021-06-17    57
137 2021-06-18    65
138 2021-06-19   117
139 2021-06-20   100
140 2021-06-21   135
141 2021-06-22    62
142 2021-06-23    47
143 2021-06-24   152
144 2021-06-25    49
145 2021-06-26    35
146 2021-06-27    12
147 2021-06-28     7
148 2021-06-29    20
149 2021-06-30    39
150 2021-07-01    60
151 2021-07-02   177
152 2021-07-03   175
153 2021-07-04   197
154 2021-07-05   142
155 2021-07-06    97
156 2021-07-07    57
157 2021-07-08    39
158 2021-07-09    49
159 2021-07-10    65
160 2021-07-11    20
161 2021-07-12    39
162 2021-07-13    20
163 2021-07-14    17
164 2021-07-15    15
