          date data
0   2021-02-01   17
1   2021-02-02   20
2   2021-02-03   15
3   2021-02-04    8
4   2021-02-05    4
5   2021-02-06    4
6   2021-02-07    0
7   2021-02-08    7
8   2021-02-09   15
9   2021-02-10   15
10  2021-02-11   15
11  2021-02-12   25
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18   20
18  2021-02-19    9
19  2021-02-20   15
20  2021-02-21   20
21  2021-02-22   20
22  2021-02-23   27
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    4
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01   22
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04   12
32  2021-03-05    7
33  2021-03-06   12
34  2021-03-07   17
35  2021-03-08    4
36  2021-03-09   12
37  2021-03-10   44
38  2021-03-11   20
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    9
42  2021-03-15   12
43  2021-03-16   12
44  2021-03-17   37
45  2021-03-18   67
46  2021-03-19   12
47  2021-03-20   39
48  2021-03-21   42
49  2021-03-22    7
50  2021-03-23   17
51  2021-03-24   12
52  2021-03-25   24
53  2021-03-26   32
54  2021-03-27   22
55  2021-03-28   25
56  2021-03-29   79
57  2021-03-30   42
58  2021-03-31   65
59  2021-04-01   22
60  2021-04-02    4
61  2021-04-03   15
62  2021-04-04   22
63  2021-04-05   15
64  2021-04-06    9
65  2021-04-07   12
66  2021-04-08   15
67  2021-04-09   25
68  2021-04-10    7
69  2021-04-11   17
70  2021-04-12   12
71  2021-04-13   12
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16    7
75  2021-04-17    4
76  2021-04-18   17
77  2021-04-19    7
78  2021-04-20    4
79  2021-04-21    4
80  2021-04-22    7
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   25
86  2021-04-28   27
87  2021-04-29   27
88  2021-04-30   32
89  2021-05-01   27
90  2021-05-02   15
91  2021-05-03   47
92  2021-05-04   39
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    2
97  2021-05-09    7
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    7
103 2021-05-15  299
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20  140
109 2021-05-21    9
110 2021-05-22   30
111 2021-05-23   79
112 2021-05-24   70
113 2021-05-25   47
114 2021-05-26   17
115 2021-05-27   25
116 2021-05-28   35
117 2021-05-29   42
118 2021-05-30   30
119 2021-05-31   12
120 2021-06-01    4
121 2021-06-02    9
122 2021-06-03    9
123 2021-06-04   17
124 2021-06-05   20
125 2021-06-06   12
126 2021-06-07  202
127 2021-06-08  624
128 2021-06-09  317
129 2021-06-10  117
130 2021-06-11  767
131 2021-06-12  132
132 2021-06-13   74
133 2021-06-14   85
134 2021-06-15   60
135 2021-06-16  119
136 2021-06-17   74
137 2021-06-18   74
138 2021-06-19   74
139 2021-06-20   87
140 2021-06-21   70
141 2021-06-22   42
142 2021-06-23   65
143 2021-06-24   77
144 2021-06-25   44
145 2021-06-26   35
146 2021-06-27    7
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30   22
150 2021-07-01   55
151 2021-07-02  117
152 2021-07-03  182
153 2021-07-04  159
154 2021-07-05   97
155 2021-07-06   65
156 2021-07-07   42
157 2021-07-08   47
158 2021-07-09   57
159 2021-07-10   57
160 2021-07-11   20
161 2021-07-12   37
162 2021-07-13   30
163 2021-07-14    4
164 2021-07-15   20
