          date   data
0   2021-02-01    347
1   2021-02-02   1237
2   2021-02-03    790
3   2021-02-04    398
4   2021-02-05     95
5   2021-02-06     32
6   2021-02-07     27
7   2021-02-08     20
8   2021-02-09    369
9   2021-02-10    755
10  2021-02-11   1010
11  2021-02-12    664
12  2021-02-13    229
13  2021-02-14     65
14  2021-02-15     67
15  2021-02-16     37
16  2021-02-17    159
17  2021-02-18    467
18  2021-02-19    465
19  2021-02-20    672
20  2021-02-21    769
21  2021-02-22    659
22  2021-02-23    372
23  2021-02-24    212
24  2021-02-25     77
25  2021-02-26    122
26  2021-02-27    302
27  2021-02-28    114
28  2021-03-01    229
29  2021-03-02    334
30  2021-03-03    227
31  2021-03-04    329
32  2021-03-05    235
33  2021-03-06    210
34  2021-03-07    449
35  2021-03-08    337
36  2021-03-09    730
37  2021-03-10   1622
38  2021-03-11   1020
39  2021-03-12    774
40  2021-03-13    500
41  2021-03-14    802
42  2021-03-15    599
43  2021-03-16    510
44  2021-03-17   1119
45  2021-03-18   1737
46  2021-03-19   1144
47  2021-03-20   1240
48  2021-03-21   1104
49  2021-03-22    914
50  2021-03-23    994
51  2021-03-24    584
52  2021-03-25   1348
53  2021-03-26    867
54  2021-03-27    835
55  2021-03-28    662
56  2021-03-29   2107
57  2021-03-30   1254
58  2021-03-31   1412
59  2021-04-01    860
60  2021-04-02    522
61  2021-04-03    467
62  2021-04-04    382
63  2021-04-05    607
64  2021-04-06    640
65  2021-04-07    372
66  2021-04-08    277
67  2021-04-09    849
68  2021-04-10    620
69  2021-04-11    835
70  2021-04-12    642
71  2021-04-13    494
72  2021-04-14    315
73  2021-04-15    232
74  2021-04-16    322
75  2021-04-17    365
76  2021-04-18    397
77  2021-04-19    545
78  2021-04-20    519
79  2021-04-21    252
80  2021-04-22    232
81  2021-04-23    100
82  2021-04-24     20
83  2021-04-25     22
84  2021-04-26    307
85  2021-04-27    927
86  2021-04-28   1399
87  2021-04-29   1082
88  2021-04-30   2049
89  2021-05-01   1040
90  2021-05-02    769
91  2021-05-03   1209
92  2021-05-04   2279
93  2021-05-05     72
94  2021-05-06     49
95  2021-05-07     44
96  2021-05-08    114
97  2021-05-09    109
98  2021-05-10     62
99  2021-05-11     55
100 2021-05-12     22
101 2021-05-13    100
102 2021-05-14    537
103 2021-05-15  14569
104 2021-05-16    105
105 2021-05-17     97
106 2021-05-18    135
107 2021-05-19    217
108 2021-05-20   5094
109 2021-05-21   1087
110 2021-05-22   1375
111 2021-05-23   3430
112 2021-05-24   3629
113 2021-05-25   1855
114 2021-05-26   1205
115 2021-05-27   1287
116 2021-05-28   1445
117 2021-05-29   1570
118 2021-05-30    674
119 2021-05-31    537
120 2021-06-01    304
121 2021-06-02    367
122 2021-06-03    292
123 2021-06-04    417
124 2021-06-05   1082
125 2021-06-06    907
126 2021-06-07   6399
127 2021-06-08  23044
128 2021-06-09  10329
129 2021-06-10   3994
130 2021-06-11  39689
131 2021-06-12   5629
132 2021-06-13   3222
133 2021-06-14   3050
134 2021-06-15   2377
135 2021-06-16   4767
136 2021-06-17   2140
137 2021-06-18   2682
138 2021-06-19   3452
139 2021-06-20   3460
140 2021-06-21   2854
141 2021-06-22   1869
142 2021-06-23   1874
143 2021-06-24   3877
144 2021-06-25   1667
145 2021-06-26   1212
146 2021-06-27    419
147 2021-06-28    395
148 2021-06-29    390
149 2021-06-30   1034
150 2021-07-01   2027
151 2021-07-02   5237
152 2021-07-03   6167
153 2021-07-04   6559
154 2021-07-05   4165
155 2021-07-06   2932
156 2021-07-07   1737
157 2021-07-08   1434
158 2021-07-09   2084
159 2021-07-10   1462
160 2021-07-11   1147
161 2021-07-12   1317
162 2021-07-13    892
163 2021-07-14    567
164 2021-07-15    522
