          date  data
0   2021-02-01    74
1   2021-02-02   232
2   2021-02-03   194
3   2021-02-04   134
4   2021-02-05    37
5   2021-02-06    12
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    25
9   2021-02-10   184
10  2021-02-11   224
11  2021-02-12   149
12  2021-02-13    44
13  2021-02-14    15
14  2021-02-15    17
15  2021-02-16     0
16  2021-02-17    37
17  2021-02-18   105
18  2021-02-19    82
19  2021-02-20   159
20  2021-02-21   172
21  2021-02-22   152
22  2021-02-23   112
23  2021-02-24    37
24  2021-02-25    12
25  2021-02-26     4
26  2021-02-27    39
27  2021-02-28    20
28  2021-03-01    57
29  2021-03-02    97
30  2021-03-03    49
31  2021-03-04    17
32  2021-03-05    37
33  2021-03-06    57
34  2021-03-07    27
35  2021-03-08    57
36  2021-03-09   117
37  2021-03-10   350
38  2021-03-11   189
39  2021-03-12   135
40  2021-03-13    82
41  2021-03-14   189
42  2021-03-15    92
43  2021-03-16   127
44  2021-03-17   177
45  2021-03-18   290
46  2021-03-19   280
47  2021-03-20   237
48  2021-03-21   227
49  2021-03-22   117
50  2021-03-23   187
51  2021-03-24   109
52  2021-03-25   228
53  2021-03-26   122
54  2021-03-27    97
55  2021-03-28   107
56  2021-03-29   172
57  2021-03-30   157
58  2021-03-31   140
59  2021-04-01   122
60  2021-04-02    95
61  2021-04-03   117
62  2021-04-04    55
63  2021-04-05   114
64  2021-04-06    89
65  2021-04-07    55
66  2021-04-08    49
67  2021-04-09   227
68  2021-04-10   114
69  2021-04-11   187
70  2021-04-12   132
71  2021-04-13   132
72  2021-04-14    65
73  2021-04-15    35
74  2021-04-16    65
75  2021-04-17    97
76  2021-04-18    57
77  2021-04-19    87
78  2021-04-20   119
79  2021-04-21    39
80  2021-04-22    60
81  2021-04-23     9
82  2021-04-24     0
83  2021-04-25     4
84  2021-04-26    62
85  2021-04-27   210
86  2021-04-28   202
87  2021-04-29   194
88  2021-04-30   282
89  2021-05-01   162
90  2021-05-02    95
91  2021-05-03   177
92  2021-05-04   372
93  2021-05-05    12
94  2021-05-06     7
95  2021-05-07     4
96  2021-05-08    22
97  2021-05-09    25
98  2021-05-10    20
99  2021-05-11    12
100 2021-05-12    12
101 2021-05-13    30
102 2021-05-14    79
103 2021-05-15  2292
104 2021-05-16     9
105 2021-05-17    15
106 2021-05-18    27
107 2021-05-19    25
108 2021-05-20   580
109 2021-05-21   242
110 2021-05-22   332
111 2021-05-23   542
112 2021-05-24   650
113 2021-05-25   259
114 2021-05-26   170
115 2021-05-27   264
116 2021-05-28   207
117 2021-05-29   229
118 2021-05-30   117
119 2021-05-31   132
120 2021-06-01    72
121 2021-06-02    30
122 2021-06-03    57
123 2021-06-04   102
124 2021-06-05   170
125 2021-06-06   114
126 2021-06-07   914
127 2021-06-08  2612
128 2021-06-09  1235
129 2021-06-10   497
130 2021-06-11  5177
131 2021-06-12   722
132 2021-06-13   467
133 2021-06-14   385
134 2021-06-15   397
135 2021-06-16   545
136 2021-06-17   334
137 2021-06-18   407
138 2021-06-19   479
139 2021-06-20   447
140 2021-06-21   395
141 2021-06-22   259
142 2021-06-23   275
143 2021-06-24   570
144 2021-06-25   157
145 2021-06-26   122
146 2021-06-27    65
147 2021-06-28    62
148 2021-06-29    67
149 2021-06-30   107
150 2021-07-01   327
151 2021-07-02   732
152 2021-07-03   982
153 2021-07-04   790
154 2021-07-05   467
155 2021-07-06   404
156 2021-07-07   227
157 2021-07-08   172
158 2021-07-09   232
159 2021-07-10   157
160 2021-07-11   137
161 2021-07-12   142
162 2021-07-13   100
163 2021-07-14    74
164 2021-07-15   102
