          date data
0   2021-02-01   20
1   2021-02-02   27
2   2021-02-03   32
3   2021-02-04    8
4   2021-02-05    4
5   2021-02-06    2
6   2021-02-07    2
7   2021-02-08    2
8   2021-02-09   12
9   2021-02-10   32
10  2021-02-11   32
11  2021-02-12   22
12  2021-02-13   15
13  2021-02-14    4
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18   17
18  2021-02-19   17
19  2021-02-20   22
20  2021-02-21    9
21  2021-02-22   12
22  2021-02-23   25
23  2021-02-24    4
24  2021-02-25    2
25  2021-02-26    7
26  2021-02-27    2
27  2021-02-28    4
28  2021-03-01    7
29  2021-03-02   15
30  2021-03-03   12
31  2021-03-04    2
32  2021-03-05    7
33  2021-03-06    9
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09   35
37  2021-03-10   37
38  2021-03-11   25
39  2021-03-12   37
40  2021-03-13   17
41  2021-03-14   52
42  2021-03-15    4
43  2021-03-16   20
44  2021-03-17   32
45  2021-03-18   57
46  2021-03-19   32
47  2021-03-20   52
48  2021-03-21   37
49  2021-03-22   27
50  2021-03-23   25
51  2021-03-24   27
52  2021-03-25   88
53  2021-03-26    7
54  2021-03-27   17
55  2021-03-28    9
56  2021-03-29   65
57  2021-03-30   22
58  2021-03-31   30
59  2021-04-01   17
60  2021-04-02    7
61  2021-04-03    4
62  2021-04-04   15
63  2021-04-05   12
64  2021-04-06   12
65  2021-04-07   15
66  2021-04-08    4
67  2021-04-09   15
68  2021-04-10   22
69  2021-04-11   15
70  2021-04-12   17
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15    4
74  2021-04-16    7
75  2021-04-17    7
76  2021-04-18    7
77  2021-04-19   15
78  2021-04-20   20
79  2021-04-21    2
80  2021-04-22    9
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27   27
86  2021-04-28   30
87  2021-04-29   32
88  2021-04-30   35
89  2021-05-01   30
90  2021-05-02    9
91  2021-05-03   20
92  2021-05-04   37
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    7
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    4
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  227
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    9
107 2021-05-19    7
108 2021-05-20   39
109 2021-05-21   15
110 2021-05-22   32
111 2021-05-23   79
112 2021-05-24   72
113 2021-05-25   42
114 2021-05-26   35
115 2021-05-27   27
116 2021-05-28   44
117 2021-05-29   42
118 2021-05-30   25
119 2021-05-31   20
120 2021-06-01   12
121 2021-06-02    2
122 2021-06-03   12
123 2021-06-04    2
124 2021-06-05   27
125 2021-06-06   17
126 2021-06-07  165
127 2021-06-08  385
128 2021-06-09  207
129 2021-06-10  100
130 2021-06-11  682
131 2021-06-12  157
132 2021-06-13   87
133 2021-06-14   72
134 2021-06-15   72
135 2021-06-16   79
136 2021-06-17   44
137 2021-06-18   52
138 2021-06-19   77
139 2021-06-20   39
140 2021-06-21   49
141 2021-06-22   39
142 2021-06-23   30
143 2021-06-24   85
144 2021-06-25   30
145 2021-06-26   25
146 2021-06-27    7
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30   17
150 2021-07-01   60
151 2021-07-02   97
152 2021-07-03  159
153 2021-07-04  142
154 2021-07-05   57
155 2021-07-06   57
156 2021-07-07   20
157 2021-07-08   22
158 2021-07-09   37
159 2021-07-10   22
160 2021-07-11   15
161 2021-07-12   20
162 2021-07-13   20
163 2021-07-14   17
164 2021-07-15   15
