          date data
0   2021-02-01   15
1   2021-02-02   20
2   2021-02-03   20
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10    7
10  2021-02-11   20
11  2021-02-12   25
12  2021-02-13    7
13  2021-02-14    7
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18    9
18  2021-02-19    9
19  2021-02-20    7
20  2021-02-21    9
21  2021-02-22   15
22  2021-02-23   12
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    4
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09    4
37  2021-03-10    2
38  2021-03-11    9
39  2021-03-12   15
40  2021-03-13   15
41  2021-03-14    7
42  2021-03-15    4
43  2021-03-16   25
44  2021-03-17   42
45  2021-03-18   25
46  2021-03-19   20
47  2021-03-20   15
48  2021-03-21   17
49  2021-03-22   15
50  2021-03-23   15
51  2021-03-24    7
52  2021-03-25   18
53  2021-03-26   15
54  2021-03-27    9
55  2021-03-28    4
56  2021-03-29   20
57  2021-03-30    9
58  2021-03-31   12
59  2021-04-01    7
60  2021-04-02    4
61  2021-04-03    0
62  2021-04-04    9
63  2021-04-05    9
64  2021-04-06   12
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    7
68  2021-04-10    4
69  2021-04-11    9
70  2021-04-12    2
71  2021-04-13    2
72  2021-04-14    0
73  2021-04-15    7
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24   15
83  2021-04-25    4
84  2021-04-26    0
85  2021-04-27   25
86  2021-04-28   44
87  2021-04-29   15
88  2021-04-30   17
89  2021-05-01   22
90  2021-05-02   12
91  2021-05-03    9
92  2021-05-04    4
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    4
103 2021-05-15  140
104 2021-05-16    0
105 2021-05-17    4
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   15
109 2021-05-21   12
110 2021-05-22   17
111 2021-05-23   37
112 2021-05-24   52
113 2021-05-25   17
114 2021-05-26   20
115 2021-05-27   17
116 2021-05-28   22
117 2021-05-29   15
118 2021-05-30    2
119 2021-05-31    0
120 2021-06-01    7
121 2021-06-02    4
122 2021-06-03    0
123 2021-06-04    4
124 2021-06-05   12
125 2021-06-06   27
126 2021-06-07  107
127 2021-06-08  327
128 2021-06-09  102
129 2021-06-10   67
130 2021-06-11  377
131 2021-06-12   70
132 2021-06-13   44
133 2021-06-14   72
134 2021-06-15   27
135 2021-06-16   55
136 2021-06-17   35
137 2021-06-18   22
138 2021-06-19   52
139 2021-06-20   49
140 2021-06-21   32
141 2021-06-22   32
142 2021-06-23   22
143 2021-06-24   20
144 2021-06-25    9
145 2021-06-26    2
146 2021-06-27    0
147 2021-06-28    9
148 2021-06-29    0
149 2021-06-30   12
150 2021-07-01   60
151 2021-07-02   77
152 2021-07-03   92
153 2021-07-04  102
154 2021-07-05   60
155 2021-07-06   25
156 2021-07-07    2
157 2021-07-08   20
158 2021-07-09   20
159 2021-07-10   17
160 2021-07-11    0
161 2021-07-12   12
162 2021-07-13   20
163 2021-07-14    0
164 2021-07-15    9
