          date data
0   2021-02-01    4
1   2021-02-02   12
2   2021-02-03   15
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    0
10  2021-02-11    9
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    7
18  2021-02-19    9
19  2021-02-20    4
20  2021-02-21   15
21  2021-02-22    7
22  2021-02-23    4
23  2021-02-24   20
24  2021-02-25    9
25  2021-02-26    2
26  2021-02-27    0
27  2021-02-28    7
28  2021-03-01    0
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    7
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09    9
37  2021-03-10    7
38  2021-03-11    9
39  2021-03-12   15
40  2021-03-13    4
41  2021-03-14    9
42  2021-03-15    7
43  2021-03-16    7
44  2021-03-17   20
45  2021-03-18   30
46  2021-03-19   22
47  2021-03-20   17
48  2021-03-21    0
49  2021-03-22   12
50  2021-03-23    4
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26    4
54  2021-03-27   15
55  2021-03-28    7
56  2021-03-29   12
57  2021-03-30   12
58  2021-03-31   15
59  2021-04-01    2
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04    4
63  2021-04-05    0
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    7
68  2021-04-10   12
69  2021-04-11    9
70  2021-04-12   15
71  2021-04-13    7
72  2021-04-14    9
73  2021-04-15    0
74  2021-04-16    7
75  2021-04-17    4
76  2021-04-18    2
77  2021-04-19    9
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   12
86  2021-04-28   15
87  2021-04-29   25
88  2021-04-30   15
89  2021-05-01    7
90  2021-05-02   12
91  2021-05-03   15
92  2021-05-04   15
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  130
104 2021-05-16    2
105 2021-05-17    7
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   27
109 2021-05-21    7
110 2021-05-22   22
111 2021-05-23   47
112 2021-05-24   47
113 2021-05-25   15
114 2021-05-26    9
115 2021-05-27    9
116 2021-05-28   12
117 2021-05-29   17
118 2021-05-30    9
119 2021-05-31    9
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    7
123 2021-06-04    2
124 2021-06-05   12
125 2021-06-06   12
126 2021-06-07   70
127 2021-06-08  237
128 2021-06-09  102
129 2021-06-10   42
130 2021-06-11  299
131 2021-06-12   39
132 2021-06-13   35
133 2021-06-14   39
134 2021-06-15   35
135 2021-06-16   35
136 2021-06-17   22
137 2021-06-18   30
138 2021-06-19   25
139 2021-06-20   12
140 2021-06-21   27
141 2021-06-22   12
142 2021-06-23   25
143 2021-06-24   37
144 2021-06-25    4
145 2021-06-26    9
146 2021-06-27    0
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30    7
150 2021-07-01   22
151 2021-07-02   42
152 2021-07-03   77
153 2021-07-04   85
154 2021-07-05   49
155 2021-07-06   39
156 2021-07-07    9
157 2021-07-08    4
158 2021-07-09   35
159 2021-07-10   12
160 2021-07-11    4
161 2021-07-12   15
162 2021-07-13   12
163 2021-07-14    2
164 2021-07-15    4
