          date data
0   2021-02-01    9
1   2021-02-02   17
2   2021-02-03    4
3   2021-02-04    4
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    4
10  2021-02-11   15
11  2021-02-12    9
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18    2
18  2021-02-19    4
19  2021-02-20    4
20  2021-02-21    2
21  2021-02-22   12
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    7
35  2021-03-08    4
36  2021-03-09    2
37  2021-03-10   12
38  2021-03-11    0
39  2021-03-12    7
40  2021-03-13    7
41  2021-03-14    2
42  2021-03-15   15
43  2021-03-16    7
44  2021-03-17   20
45  2021-03-18    9
46  2021-03-19    4
47  2021-03-20    7
48  2021-03-21   15
49  2021-03-22   37
50  2021-03-23    7
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26    0
54  2021-03-27    9
55  2021-03-28    9
56  2021-03-29   35
57  2021-03-30   15
58  2021-03-31   12
59  2021-04-01    7
60  2021-04-02    0
61  2021-04-03    2
62  2021-04-04    2
63  2021-04-05    2
64  2021-04-06    7
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10    7
69  2021-04-11    9
70  2021-04-12   15
71  2021-04-13    7
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    4
75  2021-04-17    9
76  2021-04-18    0
77  2021-04-19    4
78  2021-04-20    4
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27   15
86  2021-04-28   30
87  2021-04-29    7
88  2021-04-30   12
89  2021-05-01   15
90  2021-05-02    9
91  2021-05-03    9
92  2021-05-04   27
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15  132
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   17
109 2021-05-21    2
110 2021-05-22   27
111 2021-05-23   44
112 2021-05-24   17
113 2021-05-25   25
114 2021-05-26    4
115 2021-05-27    9
116 2021-05-28    9
117 2021-05-29   32
118 2021-05-30   32
119 2021-05-31    2
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    9
124 2021-06-05    4
125 2021-06-06    9
126 2021-06-07   82
127 2021-06-08  239
128 2021-06-09   82
129 2021-06-10   49
130 2021-06-11  272
131 2021-06-12   42
132 2021-06-13   20
133 2021-06-14   30
134 2021-06-15   22
135 2021-06-16   22
136 2021-06-17   20
137 2021-06-18   15
138 2021-06-19   30
139 2021-06-20   22
140 2021-06-21    7
141 2021-06-22    9
142 2021-06-23   17
143 2021-06-24   12
144 2021-06-25   15
145 2021-06-26   15
146 2021-06-27    9
147 2021-06-28    2
148 2021-06-29    0
149 2021-06-30    9
150 2021-07-01   17
151 2021-07-02   67
152 2021-07-03   65
153 2021-07-04   35
154 2021-07-05   49
155 2021-07-06   20
156 2021-07-07   22
157 2021-07-08   12
158 2021-07-09   27
159 2021-07-10   15
160 2021-07-11    4
161 2021-07-12    2
162 2021-07-13    9
163 2021-07-14    7
164 2021-07-15    9
