          date data
0   2021-02-01    9
1   2021-02-02    9
2   2021-02-03   17
3   2021-02-04    8
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10   17
10  2021-02-11   32
11  2021-02-12   17
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    4
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18   12
18  2021-02-19    7
19  2021-02-20    7
20  2021-02-21   12
21  2021-02-22   15
22  2021-02-23    7
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    9
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07   12
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   25
38  2021-03-11    9
39  2021-03-12    0
40  2021-03-13    7
41  2021-03-14   17
42  2021-03-15    4
43  2021-03-16    7
44  2021-03-17    7
45  2021-03-18   15
46  2021-03-19   22
47  2021-03-20   27
48  2021-03-21   12
49  2021-03-22   15
50  2021-03-23   25
51  2021-03-24    9
52  2021-03-25    8
53  2021-03-26    0
54  2021-03-27   17
55  2021-03-28    2
56  2021-03-29   37
57  2021-03-30    9
58  2021-03-31   12
59  2021-04-01    7
60  2021-04-02    2
61  2021-04-03    2
62  2021-04-04   15
63  2021-04-05    4
64  2021-04-06    9
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    4
68  2021-04-10    7
69  2021-04-11    2
70  2021-04-12   15
71  2021-04-13    4
72  2021-04-14   12
73  2021-04-15    4
74  2021-04-16    2
75  2021-04-17    0
76  2021-04-18    2
77  2021-04-19    2
78  2021-04-20    0
79  2021-04-21   12
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27    9
86  2021-04-28   15
87  2021-04-29   20
88  2021-04-30   15
89  2021-05-01    9
90  2021-05-02    0
91  2021-05-03   25
92  2021-05-04   39
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  152
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   32
109 2021-05-21    7
110 2021-05-22    4
111 2021-05-23   44
112 2021-05-24   20
113 2021-05-25    9
114 2021-05-26    9
115 2021-05-27   20
116 2021-05-28   27
117 2021-05-29   17
118 2021-05-30    0
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05    4
125 2021-06-06    7
126 2021-06-07  124
127 2021-06-08  285
128 2021-06-09  112
129 2021-06-10   49
130 2021-06-11  320
131 2021-06-12   89
132 2021-06-13   30
133 2021-06-14   49
134 2021-06-15   57
135 2021-06-16   52
136 2021-06-17   15
137 2021-06-18   17
138 2021-06-19   27
139 2021-06-20   44
140 2021-06-21   17
141 2021-06-22   15
142 2021-06-23   25
143 2021-06-24   47
144 2021-06-25   17
145 2021-06-26   22
146 2021-06-27    0
147 2021-06-28    9
148 2021-06-29    9
149 2021-06-30   12
150 2021-07-01   25
151 2021-07-02   60
152 2021-07-03   89
153 2021-07-04   77
154 2021-07-05   30
155 2021-07-06   25
156 2021-07-07   17
157 2021-07-08   12
158 2021-07-09   27
159 2021-07-10    7
160 2021-07-11    7
161 2021-07-12    9
162 2021-07-13    4
163 2021-07-14    0
164 2021-07-15    2
