          date data
0   2021-02-01    2
1   2021-02-02   12
2   2021-02-03    9
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    9
10  2021-02-11   12
11  2021-02-12    4
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    7
18  2021-02-19    4
19  2021-02-20    2
20  2021-02-21    2
21  2021-02-22   15
22  2021-02-23    0
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07   20
35  2021-03-08    4
36  2021-03-09    2
37  2021-03-10   12
38  2021-03-11    7
39  2021-03-12    2
40  2021-03-13    7
41  2021-03-14    2
42  2021-03-15    7
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18   17
46  2021-03-19    7
47  2021-03-20    4
48  2021-03-21   12
49  2021-03-22    4
50  2021-03-23    4
51  2021-03-24    0
52  2021-03-25   14
53  2021-03-26   12
54  2021-03-27    2
55  2021-03-28    4
56  2021-03-29   12
57  2021-03-30    2
58  2021-03-31   15
59  2021-04-01    0
60  2021-04-02    2
61  2021-04-03    4
62  2021-04-04    2
63  2021-04-05   15
64  2021-04-06    9
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09    4
68  2021-04-10    0
69  2021-04-11    9
70  2021-04-12    9
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    4
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    2
77  2021-04-19    0
78  2021-04-20    4
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    9
86  2021-04-28   12
87  2021-04-29    9
88  2021-04-30    0
89  2021-05-01    4
90  2021-05-02    2
91  2021-05-03    2
92  2021-05-04    2
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15   52
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   17
109 2021-05-21    4
110 2021-05-22    4
111 2021-05-23   27
112 2021-05-24   22
113 2021-05-25    7
114 2021-05-26    9
115 2021-05-27   22
116 2021-05-28    7
117 2021-05-29    9
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    4
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05   12
125 2021-06-06    4
126 2021-06-07   39
127 2021-06-08  157
128 2021-06-09   79
129 2021-06-10   15
130 2021-06-11  165
131 2021-06-12   47
132 2021-06-13   22
133 2021-06-14   32
134 2021-06-15   25
135 2021-06-16   20
136 2021-06-17    9
137 2021-06-18    7
138 2021-06-19   22
139 2021-06-20   17
140 2021-06-21   20
141 2021-06-22   17
142 2021-06-23    9
143 2021-06-24   17
144 2021-06-25    0
145 2021-06-26   15
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    0
149 2021-06-30    2
150 2021-07-01   22
151 2021-07-02   25
152 2021-07-03   60
153 2021-07-04   32
154 2021-07-05   22
155 2021-07-06   15
156 2021-07-07   15
157 2021-07-08    4
158 2021-07-09    9
159 2021-07-10   20
160 2021-07-11    4
161 2021-07-12   12
162 2021-07-13   12
163 2021-07-14    7
164 2021-07-15    7
