          date  data
0   2021-02-01   159
1   2021-02-02   397
2   2021-02-03   329
3   2021-02-04   234
4   2021-02-05    70
5   2021-02-06    17
6   2021-02-07     4
7   2021-02-08    12
8   2021-02-09    55
9   2021-02-10   322
10  2021-02-11   430
11  2021-02-12   310
12  2021-02-13   100
13  2021-02-14    42
14  2021-02-15    25
15  2021-02-16     7
16  2021-02-17    77
17  2021-02-18   217
18  2021-02-19   167
19  2021-02-20   249
20  2021-02-21   312
21  2021-02-22   299
22  2021-02-23   187
23  2021-02-24    85
24  2021-02-25    44
25  2021-02-26    22
26  2021-02-27    82
27  2021-02-28    42
28  2021-03-01    97
29  2021-03-02   149
30  2021-03-03   105
31  2021-03-04    49
32  2021-03-05    72
33  2021-03-06    85
34  2021-03-07   117
35  2021-03-08   105
36  2021-03-09   212
37  2021-03-10   519
38  2021-03-11   310
39  2021-03-12   235
40  2021-03-13   180
41  2021-03-14   322
42  2021-03-15   149
43  2021-03-16   259
44  2021-03-17   374
45  2021-03-18   552
46  2021-03-19   460
47  2021-03-20   460
48  2021-03-21   395
49  2021-03-22   269
50  2021-03-23   310
51  2021-03-24   189
52  2021-03-25   464
53  2021-03-26   212
54  2021-03-27   215
55  2021-03-28   167
56  2021-03-29   447
57  2021-03-30   302
58  2021-03-31   317
59  2021-04-01   194
60  2021-04-02   145
61  2021-04-03   152
62  2021-04-04   132
63  2021-04-05   199
64  2021-04-06   165
65  2021-04-07   100
66  2021-04-08    79
67  2021-04-09   334
68  2021-04-10   207
69  2021-04-11   292
70  2021-04-12   264
71  2021-04-13   182
72  2021-04-14   107
73  2021-04-15    79
74  2021-04-16   105
75  2021-04-17   142
76  2021-04-18    92
77  2021-04-19   140
78  2021-04-20   175
79  2021-04-21    70
80  2021-04-22    92
81  2021-04-23    12
82  2021-04-24    20
83  2021-04-25     9
84  2021-04-26   117
85  2021-04-27   395
86  2021-04-28   449
87  2021-04-29   369
88  2021-04-30   477
89  2021-05-01   332
90  2021-05-02   197
91  2021-05-03   294
92  2021-05-04   622
93  2021-05-05    22
94  2021-05-06     9
95  2021-05-07     9
96  2021-05-08    39
97  2021-05-09    39
98  2021-05-10    30
99  2021-05-11    22
100 2021-05-12    12
101 2021-05-13    37
102 2021-05-14   119
103 2021-05-15  3782
104 2021-05-16    20
105 2021-05-17    37
106 2021-05-18    55
107 2021-05-19    47
108 2021-05-20   809
109 2021-05-21   385
110 2021-05-22   527
111 2021-05-23   952
112 2021-05-24  1050
113 2021-05-25   474
114 2021-05-26   332
115 2021-05-27   457
116 2021-05-28   397
117 2021-05-29   472
118 2021-05-30   235
119 2021-05-31   199
120 2021-06-01   114
121 2021-06-02    74
122 2021-06-03    97
123 2021-06-04   147
124 2021-06-05   282
125 2021-06-06   237
126 2021-06-07  1842
127 2021-06-08  5342
128 2021-06-09  2407
129 2021-06-10  1052
130 2021-06-11  8759
131 2021-06-12  1457
132 2021-06-13   882
133 2021-06-14   844
134 2021-06-15   760
135 2021-06-16   997
136 2021-06-17   565
137 2021-06-18   670
138 2021-06-19   814
139 2021-06-20   784
140 2021-06-21   664
141 2021-06-22   449
142 2021-06-23   474
143 2021-06-24   997
144 2021-06-25   292
145 2021-06-26   242
146 2021-06-27   100
147 2021-06-28   100
148 2021-06-29   100
149 2021-06-30   215
150 2021-07-01   647
151 2021-07-02  1372
152 2021-07-03  1839
153 2021-07-04  1544
154 2021-07-05   914
155 2021-07-06   725
156 2021-07-07   397
157 2021-07-08   307
158 2021-07-09   494
159 2021-07-10   317
160 2021-07-11   237
161 2021-07-12   277
162 2021-07-13   207
163 2021-07-14   124
164 2021-07-15   177
