          date  data
0   2021-02-01    25
1   2021-02-02    89
2   2021-02-03    65
3   2021-02-04    24
4   2021-02-05    22
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    22
9   2021-02-10    82
10  2021-02-11   105
11  2021-02-12    70
12  2021-02-13    17
13  2021-02-14     2
14  2021-02-15     4
15  2021-02-16     9
16  2021-02-17    37
17  2021-02-18    67
18  2021-02-19    37
19  2021-02-20    52
20  2021-02-21    70
21  2021-02-22    52
22  2021-02-23    35
23  2021-02-24    32
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    25
27  2021-02-28     4
28  2021-03-01    25
29  2021-03-02    22
30  2021-03-03    22
31  2021-03-04    12
32  2021-03-05    12
33  2021-03-06    27
34  2021-03-07    44
35  2021-03-08    60
36  2021-03-09    72
37  2021-03-10   159
38  2021-03-11    72
39  2021-03-12    70
40  2021-03-13    60
41  2021-03-14   114
42  2021-03-15    47
43  2021-03-16    62
44  2021-03-17   122
45  2021-03-18   194
46  2021-03-19   130
47  2021-03-20   157
48  2021-03-21   122
49  2021-03-22   105
50  2021-03-23   170
51  2021-03-24    82
52  2021-03-25   204
53  2021-03-26   105
54  2021-03-27   119
55  2021-03-28    82
56  2021-03-29   307
57  2021-03-30   149
58  2021-03-31   184
59  2021-04-01   112
60  2021-04-02    89
61  2021-04-03    22
62  2021-04-04    39
63  2021-04-05    82
64  2021-04-06   100
65  2021-04-07    35
66  2021-04-08    62
67  2021-04-09   124
68  2021-04-10    95
69  2021-04-11    97
70  2021-04-12   109
71  2021-04-13    52
72  2021-04-14    39
73  2021-04-15    37
74  2021-04-16    47
75  2021-04-17    77
76  2021-04-18    57
77  2021-04-19    77
78  2021-04-20    87
79  2021-04-21    22
80  2021-04-22    22
81  2021-04-23     2
82  2021-04-24     7
83  2021-04-25     4
84  2021-04-26    35
85  2021-04-27   159
86  2021-04-28   172
87  2021-04-29   177
88  2021-04-30   277
89  2021-05-01   167
90  2021-05-02    85
91  2021-05-03   154
92  2021-05-04   299
93  2021-05-05    30
94  2021-05-06     2
95  2021-05-07    20
96  2021-05-08    17
97  2021-05-09    22
98  2021-05-10     9
99  2021-05-11     9
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    87
103 2021-05-15  1740
104 2021-05-16     4
105 2021-05-17    20
106 2021-05-18    30
107 2021-05-19    12
108 2021-05-20   524
109 2021-05-21   124
110 2021-05-22   165
111 2021-05-23   415
112 2021-05-24   512
113 2021-05-25   210
114 2021-05-26   140
115 2021-05-27   232
116 2021-05-28   194
117 2021-05-29   210
118 2021-05-30   114
119 2021-05-31    60
120 2021-06-01    32
121 2021-06-02   105
122 2021-06-03    67
123 2021-06-04    77
124 2021-06-05   162
125 2021-06-06   157
126 2021-06-07   739
127 2021-06-08  2915
128 2021-06-09  1107
129 2021-06-10   527
130 2021-06-11  5709
131 2021-06-12   784
132 2021-06-13   409
133 2021-06-14   454
134 2021-06-15   277
135 2021-06-16   435
136 2021-06-17   272
137 2021-06-18   360
138 2021-06-19   500
139 2021-06-20   580
140 2021-06-21   424
141 2021-06-22   329
142 2021-06-23   272
143 2021-06-24   725
144 2021-06-25   207
145 2021-06-26   184
146 2021-06-27    97
147 2021-06-28    79
148 2021-06-29    70
149 2021-06-30   157
150 2021-07-01   329
151 2021-07-02   727
152 2021-07-03   987
153 2021-07-04  1232
154 2021-07-05   612
155 2021-07-06   465
156 2021-07-07   219
157 2021-07-08   175
158 2021-07-09   275
159 2021-07-10   264
160 2021-07-11   219
161 2021-07-12   207
162 2021-07-13   127
163 2021-07-14    89
164 2021-07-15   135
