          date  data
0   2021-02-01    15
1   2021-02-02    12
2   2021-02-03     4
3   2021-02-04     8
4   2021-02-05     2
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10     0
10  2021-02-11    15
11  2021-02-12     2
12  2021-02-13     2
13  2021-02-14     0
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     4
17  2021-02-18    17
18  2021-02-19     9
19  2021-02-20     7
20  2021-02-21     7
21  2021-02-22    12
22  2021-02-23     4
23  2021-02-24     0
24  2021-02-25     4
25  2021-02-26     0
26  2021-02-27     4
27  2021-02-28     0
28  2021-03-01     4
29  2021-03-02     2
30  2021-03-03     0
31  2021-03-04     7
32  2021-03-05     2
33  2021-03-06     2
34  2021-03-07     4
35  2021-03-08     7
36  2021-03-09    22
37  2021-03-10     9
38  2021-03-11    37
39  2021-03-12    15
40  2021-03-13     7
41  2021-03-14    20
42  2021-03-15     9
43  2021-03-16     4
44  2021-03-17    30
45  2021-03-18    25
46  2021-03-19    25
47  2021-03-20    49
48  2021-03-21    30
49  2021-03-22    20
50  2021-03-23    25
51  2021-03-24    15
52  2021-03-25    24
53  2021-03-26     4
54  2021-03-27    12
55  2021-03-28     4
56  2021-03-29    60
57  2021-03-30    25
58  2021-03-31    27
59  2021-04-01    15
60  2021-04-02     7
61  2021-04-03     7
62  2021-04-04    22
63  2021-04-05     9
64  2021-04-06     4
65  2021-04-07     0
66  2021-04-08     2
67  2021-04-09    15
68  2021-04-10     7
69  2021-04-11    27
70  2021-04-12    15
71  2021-04-13    17
72  2021-04-14     4
73  2021-04-15     4
74  2021-04-16     4
75  2021-04-17     9
76  2021-04-18     7
77  2021-04-19     7
78  2021-04-20     4
79  2021-04-21     2
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    22
85  2021-04-27    32
86  2021-04-28    25
87  2021-04-29    35
88  2021-04-30    67
89  2021-05-01    25
90  2021-05-02    20
91  2021-05-03    12
92  2021-05-04    97
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     0
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14     9
103 2021-05-15   269
104 2021-05-16     2
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19     2
108 2021-05-20    77
109 2021-05-21    27
110 2021-05-22    22
111 2021-05-23    89
112 2021-05-24   112
113 2021-05-25    32
114 2021-05-26    17
115 2021-05-27    35
116 2021-05-28    42
117 2021-05-29    32
118 2021-05-30     4
119 2021-05-31     7
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03     7
123 2021-06-04     4
124 2021-06-05    32
125 2021-06-06    22
126 2021-06-07   215
127 2021-06-08   822
128 2021-06-09   367
129 2021-06-10   105
130 2021-06-11  1095
131 2021-06-12   147
132 2021-06-13   140
133 2021-06-14   112
134 2021-06-15    77
135 2021-06-16    87
136 2021-06-17    47
137 2021-06-18    67
138 2021-06-19   107
139 2021-06-20    82
140 2021-06-21    72
141 2021-06-22    47
142 2021-06-23    39
143 2021-06-24   112
144 2021-06-25    52
145 2021-06-26    52
146 2021-06-27    22
147 2021-06-28     9
148 2021-06-29    17
149 2021-06-30    25
150 2021-07-01    74
151 2021-07-02   105
152 2021-07-03   215
153 2021-07-04   269
154 2021-07-05   140
155 2021-07-06   105
156 2021-07-07    37
157 2021-07-08    32
158 2021-07-09    74
159 2021-07-10    52
160 2021-07-11    32
161 2021-07-12    47
162 2021-07-13    35
163 2021-07-14    25
164 2021-07-15    25
