          date  data
0   2021-02-01    15
1   2021-02-02    22
2   2021-02-03    20
3   2021-02-04     0
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    22
10  2021-02-11     9
11  2021-02-12    49
12  2021-02-13     4
13  2021-02-14     0
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17    15
17  2021-02-18     7
18  2021-02-19    17
19  2021-02-20     7
20  2021-02-21     9
21  2021-02-22    27
22  2021-02-23    12
23  2021-02-24    12
24  2021-02-25     4
25  2021-02-26     0
26  2021-02-27     4
27  2021-02-28     4
28  2021-03-01     2
29  2021-03-02     4
30  2021-03-03     7
31  2021-03-04     2
32  2021-03-05     0
33  2021-03-06     9
34  2021-03-07     0
35  2021-03-08     7
36  2021-03-09    12
37  2021-03-10    37
38  2021-03-11    12
39  2021-03-12    15
40  2021-03-13    12
41  2021-03-14     4
42  2021-03-15     9
43  2021-03-16    15
44  2021-03-17    35
45  2021-03-18    25
46  2021-03-19    27
47  2021-03-20    32
48  2021-03-21    25
49  2021-03-22    49
50  2021-03-23    30
51  2021-03-24    22
52  2021-03-25    24
53  2021-03-26    22
54  2021-03-27    32
55  2021-03-28    27
56  2021-03-29    47
57  2021-03-30    15
58  2021-03-31    67
59  2021-04-01    17
60  2021-04-02    15
61  2021-04-03     9
62  2021-04-04     9
63  2021-04-05     7
64  2021-04-06    17
65  2021-04-07    12
66  2021-04-08     9
67  2021-04-09    27
68  2021-04-10    22
69  2021-04-11    35
70  2021-04-12    17
71  2021-04-13    20
72  2021-04-14    12
73  2021-04-15     7
74  2021-04-16     4
75  2021-04-17    17
76  2021-04-18    20
77  2021-04-19    17
78  2021-04-20    22
79  2021-04-21     7
80  2021-04-22     9
81  2021-04-23     4
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    55
86  2021-04-28    42
87  2021-04-29    82
88  2021-04-30    52
89  2021-05-01    65
90  2021-05-02    39
91  2021-05-03    32
92  2021-05-04   105
93  2021-05-05    12
94  2021-05-06     0
95  2021-05-07    15
96  2021-05-08     7
97  2021-05-09     0
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     4
101 2021-05-13     0
102 2021-05-14     9
103 2021-05-15   452
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18     7
107 2021-05-19     0
108 2021-05-20   130
109 2021-05-21    20
110 2021-05-22    42
111 2021-05-23   147
112 2021-05-24   105
113 2021-05-25    57
114 2021-05-26    47
115 2021-05-27    55
116 2021-05-28    44
117 2021-05-29    47
118 2021-05-30    20
119 2021-05-31    20
120 2021-06-01    15
121 2021-06-02     7
122 2021-06-03    15
123 2021-06-04    12
124 2021-06-05    42
125 2021-06-06    42
126 2021-06-07   317
127 2021-06-08  1227
128 2021-06-09   454
129 2021-06-10   177
130 2021-06-11  1642
131 2021-06-12   210
132 2021-06-13   212
133 2021-06-14   154
134 2021-06-15   114
135 2021-06-16   132
136 2021-06-17    89
137 2021-06-18   100
138 2021-06-19   149
139 2021-06-20   152
140 2021-06-21    82
141 2021-06-22   114
142 2021-06-23    95
143 2021-06-24   215
144 2021-06-25    70
145 2021-06-26    62
146 2021-06-27    15
147 2021-06-28    32
148 2021-06-29     4
149 2021-06-30    49
150 2021-07-01   124
151 2021-07-02   210
152 2021-07-03   382
153 2021-07-04   400
154 2021-07-05   217
155 2021-07-06   124
156 2021-07-07    62
157 2021-07-08    87
158 2021-07-09   122
159 2021-07-10   107
160 2021-07-11    65
161 2021-07-12    65
162 2021-07-13    55
163 2021-07-14    42
164 2021-07-15    67
