          date data
0   2021-02-01   25
1   2021-02-02   12
2   2021-02-03   20
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   20
10  2021-02-11    9
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    7
17  2021-02-18    4
18  2021-02-19   17
19  2021-02-20   15
20  2021-02-21    4
21  2021-02-22    9
22  2021-02-23   12
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    4
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08   12
36  2021-03-09   22
37  2021-03-10   30
38  2021-03-11   30
39  2021-03-12   25
40  2021-03-13   15
41  2021-03-14   17
42  2021-03-15   15
43  2021-03-16   12
44  2021-03-17    7
45  2021-03-18   20
46  2021-03-19    4
47  2021-03-20   30
48  2021-03-21   20
49  2021-03-22   17
50  2021-03-23   32
51  2021-03-24    4
52  2021-03-25   50
53  2021-03-26   15
54  2021-03-27   20
55  2021-03-28    9
56  2021-03-29   32
57  2021-03-30    9
58  2021-03-31   30
59  2021-04-01   15
60  2021-04-02    7
61  2021-04-03   12
62  2021-04-04   12
63  2021-04-05    9
64  2021-04-06   39
65  2021-04-07    7
66  2021-04-08    2
67  2021-04-09    4
68  2021-04-10    7
69  2021-04-11    4
70  2021-04-12    2
71  2021-04-13    4
72  2021-04-14    0
73  2021-04-15    4
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    7
77  2021-04-19    2
78  2021-04-20    9
79  2021-04-21    4
80  2021-04-22    7
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   25
86  2021-04-28   20
87  2021-04-29   20
88  2021-04-30   49
89  2021-05-01   32
90  2021-05-02   20
91  2021-05-03   42
92  2021-05-04   37
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    7
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14   12
103 2021-05-15  237
104 2021-05-16    2
105 2021-05-17    2
106 2021-05-18    4
107 2021-05-19    2
108 2021-05-20   92
109 2021-05-21   12
110 2021-05-22   30
111 2021-05-23   49
112 2021-05-24   57
113 2021-05-25   37
114 2021-05-26   17
115 2021-05-27   25
116 2021-05-28   22
117 2021-05-29   77
118 2021-05-30   15
119 2021-05-31    9
120 2021-06-01    0
121 2021-06-02    7
122 2021-06-03    2
123 2021-06-04   17
124 2021-06-05   27
125 2021-06-06   37
126 2021-06-07  267
127 2021-06-08  847
128 2021-06-09  350
129 2021-06-10  130
130 2021-06-11  879
131 2021-06-12  140
132 2021-06-13  159
133 2021-06-14  132
134 2021-06-15   67
135 2021-06-16   44
136 2021-06-17   35
137 2021-06-18   32
138 2021-06-19  107
139 2021-06-20   92
140 2021-06-21   67
141 2021-06-22   47
142 2021-06-23   49
143 2021-06-24  140
144 2021-06-25   65
145 2021-06-26   57
146 2021-06-27   35
147 2021-06-28   17
148 2021-06-29    9
149 2021-06-30   35
150 2021-07-01   55
151 2021-07-02  114
152 2021-07-03  192
153 2021-07-04  325
154 2021-07-05  117
155 2021-07-06   82
156 2021-07-07   37
157 2021-07-08   67
158 2021-07-09   32
159 2021-07-10   89
160 2021-07-11   44
161 2021-07-12   52
162 2021-07-13   42
163 2021-07-14   52
164 2021-07-15   20
