          date data
0   2021-02-01    9
1   2021-02-02    4
2   2021-02-03    2
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09   15
9   2021-02-10    9
10  2021-02-11   25
11  2021-02-12   15
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    7
18  2021-02-19    0
19  2021-02-20    4
20  2021-02-21    7
21  2021-02-22   12
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02   12
30  2021-03-03    7
31  2021-03-04    0
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09   15
37  2021-03-10   27
38  2021-03-11   17
39  2021-03-12    4
40  2021-03-13   12
41  2021-03-14   15
42  2021-03-15    2
43  2021-03-16    4
44  2021-03-17    9
45  2021-03-18   22
46  2021-03-19    2
47  2021-03-20   20
48  2021-03-21   39
49  2021-03-22   17
50  2021-03-23   15
51  2021-03-24    0
52  2021-03-25   30
53  2021-03-26    9
54  2021-03-27   12
55  2021-03-28   15
56  2021-03-29   44
57  2021-03-30   25
58  2021-03-31   22
59  2021-04-01    9
60  2021-04-02    7
61  2021-04-03    2
62  2021-04-04    0
63  2021-04-05   17
64  2021-04-06    2
65  2021-04-07    4
66  2021-04-08   12
67  2021-04-09   15
68  2021-04-10    4
69  2021-04-11    4
70  2021-04-12    9
71  2021-04-13   12
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    7
75  2021-04-17    2
76  2021-04-18    7
77  2021-04-19    7
78  2021-04-20   12
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26    4
85  2021-04-27   12
86  2021-04-28   17
87  2021-04-29   12
88  2021-04-30   35
89  2021-05-01   22
90  2021-05-02   25
91  2021-05-03   15
92  2021-05-04   25
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  222
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   89
109 2021-05-21   15
110 2021-05-22   15
111 2021-05-23   42
112 2021-05-24   52
113 2021-05-25   32
114 2021-05-26   20
115 2021-05-27   32
116 2021-05-28   25
117 2021-05-29   22
118 2021-05-30   17
119 2021-05-31    7
120 2021-06-01    7
121 2021-06-02    7
122 2021-06-03    4
123 2021-06-04    7
124 2021-06-05    9
125 2021-06-06    4
126 2021-06-07  175
127 2021-06-08  587
128 2021-06-09  212
129 2021-06-10   82
130 2021-06-11  547
131 2021-06-12   87
132 2021-06-13   85
133 2021-06-14   72
134 2021-06-15   49
135 2021-06-16   65
136 2021-06-17   17
137 2021-06-18   55
138 2021-06-19   79
139 2021-06-20   60
140 2021-06-21   55
141 2021-06-22   22
142 2021-06-23   39
143 2021-06-24   87
144 2021-06-25   39
145 2021-06-26   12
146 2021-06-27    2
147 2021-06-28    9
148 2021-06-29    7
149 2021-06-30   22
150 2021-07-01   49
151 2021-07-02  114
152 2021-07-03  122
153 2021-07-04  157
154 2021-07-05   95
155 2021-07-06  105
156 2021-07-07   47
157 2021-07-08   47
158 2021-07-09   47
159 2021-07-10   44
160 2021-07-11   25
161 2021-07-12   30
162 2021-07-13   49
163 2021-07-14   22
164 2021-07-15   15
