          date   data
0   2021-02-01    207
1   2021-02-02    489
2   2021-02-03    417
3   2021-02-04    204
4   2021-02-05     72
5   2021-02-06     22
6   2021-02-07      4
7   2021-02-08     15
8   2021-02-09    157
9   2021-02-10    385
10  2021-02-11    505
11  2021-02-12    310
12  2021-02-13    109
13  2021-02-14     39
14  2021-02-15     55
15  2021-02-16     22
16  2021-02-17    132
17  2021-02-18    280
18  2021-02-19    269
19  2021-02-20    299
20  2021-02-21    342
21  2021-02-22    327
22  2021-02-23    177
23  2021-02-24    114
24  2021-02-25     72
25  2021-02-26     55
26  2021-02-27    132
27  2021-02-28     55
28  2021-03-01    119
29  2021-03-02    124
30  2021-03-03    107
31  2021-03-04    102
32  2021-03-05    109
33  2021-03-06    107
34  2021-03-07    177
35  2021-03-08    202
36  2021-03-09    347
37  2021-03-10    792
38  2021-03-11    532
39  2021-03-12    412
40  2021-03-13    239
41  2021-03-14    462
42  2021-03-15    229
43  2021-03-16    292
44  2021-03-17    562
45  2021-03-18    877
46  2021-03-19    542
47  2021-03-20    714
48  2021-03-21    747
49  2021-03-22    640
50  2021-03-23    709
51  2021-03-24    379
52  2021-03-25    758
53  2021-03-26    489
54  2021-03-27    557
55  2021-03-28    404
56  2021-03-29   1157
57  2021-03-30    604
58  2021-03-31    835
59  2021-04-01    482
60  2021-04-02    350
61  2021-04-03    222
62  2021-04-04    242
63  2021-04-05    409
64  2021-04-06    415
65  2021-04-07    149
66  2021-04-08    197
67  2021-04-09    545
68  2021-04-10    407
69  2021-04-11    432
70  2021-04-12    435
71  2021-04-13    345
72  2021-04-14    175
73  2021-04-15    137
74  2021-04-16    197
75  2021-04-17    299
76  2021-04-18    282
77  2021-04-19    310
78  2021-04-20    329
79  2021-04-21    165
80  2021-04-22    109
81  2021-04-23     55
82  2021-04-24     17
83  2021-04-25     17
84  2021-04-26    235
85  2021-04-27    854
86  2021-04-28    952
87  2021-04-29    897
88  2021-04-30   1437
89  2021-05-01    817
90  2021-05-02    500
91  2021-05-03    812
92  2021-05-04   1839
93  2021-05-05    102
94  2021-05-06     20
95  2021-05-07     57
96  2021-05-08     77
97  2021-05-09    127
98  2021-05-10     72
99  2021-05-11     37
100 2021-05-12     30
101 2021-05-13     72
102 2021-05-14    372
103 2021-05-15   8807
104 2021-05-16     44
105 2021-05-17     67
106 2021-05-18    117
107 2021-05-19     87
108 2021-05-20   2964
109 2021-05-21    774
110 2021-05-22   1010
111 2021-05-23   2292
112 2021-05-24   2374
113 2021-05-25   1177
114 2021-05-26    755
115 2021-05-27    962
116 2021-05-28    964
117 2021-05-29   1200
118 2021-05-30    565
119 2021-05-31    362
120 2021-06-01    242
121 2021-06-02    350
122 2021-06-03    264
123 2021-06-04    385
124 2021-06-05    852
125 2021-06-06    767
126 2021-06-07   5069
127 2021-06-08  18172
128 2021-06-09   7542
129 2021-06-10   2870
130 2021-06-11  28959
131 2021-06-12   4034
132 2021-06-13   2797
133 2021-06-14   2507
134 2021-06-15   1705
135 2021-06-16   2177
136 2021-06-17   1345
137 2021-06-18   1815
138 2021-06-19   2627
139 2021-06-20   2742
140 2021-06-21   1965
141 2021-06-22   1445
142 2021-06-23   1627
143 2021-06-24   3502
144 2021-06-25   1397
145 2021-06-26   1125
146 2021-06-27    444
147 2021-06-28    390
148 2021-06-29    327
149 2021-06-30    800
150 2021-07-01   1565
151 2021-07-02   3667
152 2021-07-03   5432
153 2021-07-04   6344
154 2021-07-05   3430
155 2021-07-06   2419
156 2021-07-07   1205
157 2021-07-08   1169
158 2021-07-09   1532
159 2021-07-10   1352
160 2021-07-11   1167
161 2021-07-12   1162
162 2021-07-13    809
163 2021-07-14    599
164 2021-07-15    714
