          date data
0   2021-02-01   12
1   2021-02-02   17
2   2021-02-03   15
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    4
10  2021-02-11    7
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18    0
18  2021-02-19    9
19  2021-02-20    9
20  2021-02-21    2
21  2021-02-22    4
22  2021-02-23    2
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    9
28  2021-03-01    4
29  2021-03-02    0
30  2021-03-03    4
31  2021-03-04    0
32  2021-03-05    9
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    2
36  2021-03-09    7
37  2021-03-10   22
38  2021-03-11    9
39  2021-03-12    4
40  2021-03-13    9
41  2021-03-14    9
42  2021-03-15    4
43  2021-03-16    9
44  2021-03-17    9
45  2021-03-18    9
46  2021-03-19   15
47  2021-03-20    7
48  2021-03-21    2
49  2021-03-22   12
50  2021-03-23   12
51  2021-03-24    2
52  2021-03-25    0
53  2021-03-26    7
54  2021-03-27    0
55  2021-03-28    2
56  2021-03-29   15
57  2021-03-30   12
58  2021-03-31   22
59  2021-04-01    4
60  2021-04-02    0
61  2021-04-03    2
62  2021-04-04    2
63  2021-04-05    4
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    4
67  2021-04-09    7
68  2021-04-10    9
69  2021-04-11    7
70  2021-04-12    2
71  2021-04-13    9
72  2021-04-14    9
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    4
76  2021-04-18    7
77  2021-04-19    0
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    7
86  2021-04-28    7
87  2021-04-29    9
88  2021-04-30    7
89  2021-05-01    9
90  2021-05-02    2
91  2021-05-03    7
92  2021-05-04   20
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    2
103 2021-05-15  130
104 2021-05-16    0
105 2021-05-17   15
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   27
109 2021-05-21    7
110 2021-05-22   12
111 2021-05-23   27
112 2021-05-24   27
113 2021-05-25   44
114 2021-05-26    2
115 2021-05-27   22
116 2021-05-28   15
117 2021-05-29   22
118 2021-05-30    7
119 2021-05-31    9
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05   17
125 2021-06-06    0
126 2021-06-07   52
127 2021-06-08  207
128 2021-06-09   60
129 2021-06-10   30
130 2021-06-11  259
131 2021-06-12   32
132 2021-06-13   32
133 2021-06-14   27
134 2021-06-15   27
135 2021-06-16   27
136 2021-06-17   17
137 2021-06-18   17
138 2021-06-19   32
139 2021-06-20   47
140 2021-06-21   17
141 2021-06-22   15
142 2021-06-23   17
143 2021-06-24   32
144 2021-06-25    4
145 2021-06-26    4
146 2021-06-27    4
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   12
150 2021-07-01   15
151 2021-07-02   25
152 2021-07-03   37
153 2021-07-04   49
154 2021-07-05   42
155 2021-07-06   25
156 2021-07-07   20
157 2021-07-08   17
158 2021-07-09   12
159 2021-07-10   15
160 2021-07-11    2
161 2021-07-12    9
162 2021-07-13    4
163 2021-07-14    7
164 2021-07-15    7
