          date  data
0   2021-02-01    55
1   2021-02-02   299
2   2021-02-03   264
3   2021-02-04    84
4   2021-02-05    22
5   2021-02-06    22
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    52
9   2021-02-10   172
10  2021-02-11   184
11  2021-02-12    95
12  2021-02-13    37
13  2021-02-14    17
14  2021-02-15    12
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18   119
18  2021-02-19   147
19  2021-02-20   159
20  2021-02-21   165
21  2021-02-22   135
22  2021-02-23    60
23  2021-02-24    49
24  2021-02-25    12
25  2021-02-26    22
26  2021-02-27    52
27  2021-02-28     9
28  2021-03-01    49
29  2021-03-02    52
30  2021-03-03    65
31  2021-03-04    65
32  2021-03-05    47
33  2021-03-06    42
34  2021-03-07    92
35  2021-03-08    57
36  2021-03-09    95
37  2021-03-10   272
38  2021-03-11   192
39  2021-03-12   127
40  2021-03-13   127
41  2021-03-14   237
42  2021-03-15   109
43  2021-03-16    87
44  2021-03-17   259
45  2021-03-18   277
46  2021-03-19   252
47  2021-03-20   197
48  2021-03-21   212
49  2021-03-22   105
50  2021-03-23   180
51  2021-03-24   112
52  2021-03-25   244
53  2021-03-26   159
54  2021-03-27   170
55  2021-03-28   145
56  2021-03-29   159
57  2021-03-30   117
58  2021-03-31   177
59  2021-04-01   107
60  2021-04-02   102
61  2021-04-03    95
62  2021-04-04    62
63  2021-04-05   119
64  2021-04-06   132
65  2021-04-07    57
66  2021-04-08    42
67  2021-04-09   207
68  2021-04-10   122
69  2021-04-11   152
70  2021-04-12   207
71  2021-04-13   149
72  2021-04-14    47
73  2021-04-15    52
74  2021-04-16    32
75  2021-04-17    79
76  2021-04-18    62
77  2021-04-19   119
78  2021-04-20   102
79  2021-04-21    60
80  2021-04-22    32
81  2021-04-23    12
82  2021-04-24     2
83  2021-04-25     4
84  2021-04-26    47
85  2021-04-27   177
86  2021-04-28   385
87  2021-04-29   212
88  2021-04-30   397
89  2021-05-01   189
90  2021-05-02    95
91  2021-05-03   184
92  2021-05-04   360
93  2021-05-05    35
94  2021-05-06     4
95  2021-05-07     4
96  2021-05-08    22
97  2021-05-09    32
98  2021-05-10    15
99  2021-05-11     4
100 2021-05-12    22
101 2021-05-13     9
102 2021-05-14   122
103 2021-05-15  3264
104 2021-05-16    25
105 2021-05-17    20
106 2021-05-18    27
107 2021-05-19    27
108 2021-05-20  1012
109 2021-05-21   210
110 2021-05-22   264
111 2021-05-23   624
112 2021-05-24   620
113 2021-05-25   407
114 2021-05-26   262
115 2021-05-27   239
116 2021-05-28   257
117 2021-05-29   255
118 2021-05-30   149
119 2021-05-31    85
120 2021-06-01    35
121 2021-06-02    49
122 2021-06-03    67
123 2021-06-04    55
124 2021-06-05   154
125 2021-06-06   147
126 2021-06-07   902
127 2021-06-08  2569
128 2021-06-09  1347
129 2021-06-10   524
130 2021-06-11  6349
131 2021-06-12   924
132 2021-06-13   437
133 2021-06-14   382
134 2021-06-15   502
135 2021-06-16   580
136 2021-06-17   245
137 2021-06-18   392
138 2021-06-19   535
139 2021-06-20   527
140 2021-06-21   489
141 2021-06-22   264
142 2021-06-23   275
143 2021-06-24   559
144 2021-06-25   255
145 2021-06-26   159
146 2021-06-27    95
147 2021-06-28    67
148 2021-06-29    70
149 2021-06-30   149
150 2021-07-01   404
151 2021-07-02   935
152 2021-07-03  1079
153 2021-07-04  1010
154 2021-07-05   709
155 2021-07-06   655
156 2021-07-07   334
157 2021-07-08   187
158 2021-07-09   315
159 2021-07-10   159
160 2021-07-11   197
161 2021-07-12   199
162 2021-07-13   149
163 2021-07-14    95
164 2021-07-15    82
