          date data
0   2021-02-01    9
1   2021-02-02   42
2   2021-02-03   39
3   2021-02-04   18
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    7
10  2021-02-11   25
11  2021-02-12    9
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   17
18  2021-02-19    2
19  2021-02-20   22
20  2021-02-21    4
21  2021-02-22   17
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    9
27  2021-02-28    2
28  2021-03-01    4
29  2021-03-02   15
30  2021-03-03    9
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07   15
35  2021-03-08    2
36  2021-03-09   17
37  2021-03-10   27
38  2021-03-11   17
39  2021-03-12    4
40  2021-03-13    7
41  2021-03-14   15
42  2021-03-15    9
43  2021-03-16    7
44  2021-03-17   15
45  2021-03-18   22
46  2021-03-19   17
47  2021-03-20   17
48  2021-03-21   17
49  2021-03-22   12
50  2021-03-23   17
51  2021-03-24    2
52  2021-03-25    4
53  2021-03-26    0
54  2021-03-27    7
55  2021-03-28    9
56  2021-03-29   17
57  2021-03-30    9
58  2021-03-31   17
59  2021-04-01    7
60  2021-04-02    9
61  2021-04-03    0
62  2021-04-04    2
63  2021-04-05    9
64  2021-04-06    7
65  2021-04-07    9
66  2021-04-08    2
67  2021-04-09   12
68  2021-04-10    2
69  2021-04-11    9
70  2021-04-12    9
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    9
77  2021-04-19    7
78  2021-04-20    2
79  2021-04-21    9
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    7
86  2021-04-28   25
87  2021-04-29   20
88  2021-04-30   32
89  2021-05-01   15
90  2021-05-02   17
91  2021-05-03   25
92  2021-05-04   57
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    7
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  237
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   67
109 2021-05-21   20
110 2021-05-22   27
111 2021-05-23   72
112 2021-05-24   74
113 2021-05-25   44
114 2021-05-26   17
115 2021-05-27   30
116 2021-05-28   17
117 2021-05-29   15
118 2021-05-30    2
119 2021-05-31    4
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    9
123 2021-06-04    7
124 2021-06-05   20
125 2021-06-06   27
126 2021-06-07  102
127 2021-06-08  332
128 2021-06-09  219
129 2021-06-10   60
130 2021-06-11  477
131 2021-06-12   85
132 2021-06-13   47
133 2021-06-14   65
134 2021-06-15   44
135 2021-06-16   47
136 2021-06-17   30
137 2021-06-18   55
138 2021-06-19   55
139 2021-06-20   52
140 2021-06-21   20
141 2021-06-22   22
142 2021-06-23   27
143 2021-06-24   70
144 2021-06-25    9
145 2021-06-26   27
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   20
150 2021-07-01   42
151 2021-07-02   82
152 2021-07-03  100
153 2021-07-04  142
154 2021-07-05   87
155 2021-07-06   49
156 2021-07-07   20
157 2021-07-08   35
158 2021-07-09   22
159 2021-07-10   37
160 2021-07-11   22
161 2021-07-12   17
162 2021-07-13   15
163 2021-07-14   12
164 2021-07-15    7
