          date data
0   2021-02-01   12
1   2021-02-02   22
2   2021-02-03   32
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   15
10  2021-02-11   30
11  2021-02-12   20
12  2021-02-13    7
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    4
16  2021-02-17    0
17  2021-02-18   20
18  2021-02-19   12
19  2021-02-20   17
20  2021-02-21   32
21  2021-02-22   22
22  2021-02-23   15
23  2021-02-24   12
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27   15
27  2021-02-28    2
28  2021-03-01    9
29  2021-03-02    7
30  2021-03-03    2
31  2021-03-04    7
32  2021-03-05    7
33  2021-03-06    4
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09    9
37  2021-03-10   39
38  2021-03-11   25
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    9
42  2021-03-15    9
43  2021-03-16   20
44  2021-03-17   12
45  2021-03-18   30
46  2021-03-19   15
47  2021-03-20   30
48  2021-03-21   32
49  2021-03-22   27
50  2021-03-23   20
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26   15
54  2021-03-27   25
55  2021-03-28    9
56  2021-03-29   57
57  2021-03-30   49
58  2021-03-31   39
59  2021-04-01   15
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04    7
63  2021-04-05   15
64  2021-04-06   15
65  2021-04-07    7
66  2021-04-08    7
67  2021-04-09   32
68  2021-04-10   12
69  2021-04-11   17
70  2021-04-12   17
71  2021-04-13   12
72  2021-04-14   12
73  2021-04-15    4
74  2021-04-16    7
75  2021-04-17   12
76  2021-04-18    2
77  2021-04-19    2
78  2021-04-20    9
79  2021-04-21    7
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26    7
85  2021-04-27   20
86  2021-04-28   57
87  2021-04-29   17
88  2021-04-30   25
89  2021-05-01   30
90  2021-05-02   20
91  2021-05-03   20
92  2021-05-04   42
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    9
103 2021-05-15  362
104 2021-05-16    7
105 2021-05-17    4
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   42
109 2021-05-21   32
110 2021-05-22   15
111 2021-05-23   60
112 2021-05-24  102
113 2021-05-25   52
114 2021-05-26   20
115 2021-05-27   35
116 2021-05-28   27
117 2021-05-29   27
118 2021-05-30   12
119 2021-05-31   12
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    7
123 2021-06-04    9
124 2021-06-05   25
125 2021-06-06   30
126 2021-06-07  109
127 2021-06-08  334
128 2021-06-09  202
129 2021-06-10   72
130 2021-06-11  730
131 2021-06-12   97
132 2021-06-13   67
133 2021-06-14   74
134 2021-06-15   72
135 2021-06-16   97
136 2021-06-17   35
137 2021-06-18   44
138 2021-06-19   57
139 2021-06-20   82
140 2021-06-21   52
141 2021-06-22   35
142 2021-06-23   47
143 2021-06-24  100
144 2021-06-25   39
145 2021-06-26   32
146 2021-06-27    9
147 2021-06-28    0
148 2021-06-29    7
149 2021-06-30   17
150 2021-07-01   55
151 2021-07-02  132
152 2021-07-03  135
153 2021-07-04  119
154 2021-07-05   79
155 2021-07-06   92
156 2021-07-07   37
157 2021-07-08   22
158 2021-07-09   49
159 2021-07-10   27
160 2021-07-11   39
161 2021-07-12   32
162 2021-07-13   22
163 2021-07-14   15
164 2021-07-15   17
