          date   data
0   2021-02-01    145
1   2021-02-02    589
2   2021-02-03    527
3   2021-02-04    194
4   2021-02-05     37
5   2021-02-06     30
6   2021-02-07      4
7   2021-02-08      4
8   2021-02-09    119
9   2021-02-10    317
10  2021-02-11    377
11  2021-02-12    224
12  2021-02-13    100
13  2021-02-14     32
14  2021-02-15     22
15  2021-02-16     20
16  2021-02-17     49
17  2021-02-18    247
18  2021-02-19    239
19  2021-02-20    282
20  2021-02-21    362
21  2021-02-22    277
22  2021-02-23    122
23  2021-02-24     85
24  2021-02-25     35
25  2021-02-26     30
26  2021-02-27    130
27  2021-02-28     65
28  2021-03-01    119
29  2021-03-02    114
30  2021-03-03    114
31  2021-03-04    100
32  2021-03-05    135
33  2021-03-06     67
34  2021-03-07    170
35  2021-03-08    102
36  2021-03-09    217
37  2021-03-10    552
38  2021-03-11    409
39  2021-03-12    245
40  2021-03-13    217
41  2021-03-14    357
42  2021-03-15    257
43  2021-03-16    217
44  2021-03-17    402
45  2021-03-18    567
46  2021-03-19    447
47  2021-03-20    409
48  2021-03-21    397
49  2021-03-22    269
50  2021-03-23    362
51  2021-03-24    159
52  2021-03-25    444
53  2021-03-26    307
54  2021-03-27    299
55  2021-03-28    245
56  2021-03-29    554
57  2021-03-30    337
58  2021-03-31    447
59  2021-04-01    245
60  2021-04-02    177
61  2021-04-03    175
62  2021-04-04    130
63  2021-04-05    237
64  2021-04-06    245
65  2021-04-07    105
66  2021-04-08     77
67  2021-04-09    409
68  2021-04-10    259
69  2021-04-11    320
70  2021-04-12    379
71  2021-04-13    239
72  2021-04-14    100
73  2021-04-15     77
74  2021-04-16     72
75  2021-04-17    147
76  2021-04-18    135
77  2021-04-19    204
78  2021-04-20    202
79  2021-04-21    100
80  2021-04-22     70
81  2021-04-23     27
82  2021-04-24      4
83  2021-04-25      7
84  2021-04-26    107
85  2021-04-27    337
86  2021-04-28    702
87  2021-04-29    415
88  2021-04-30    702
89  2021-05-01    407
90  2021-05-02    269
91  2021-05-03    397
92  2021-05-04    699
93  2021-05-05     37
94  2021-05-06      9
95  2021-05-07     12
96  2021-05-08     44
97  2021-05-09     85
98  2021-05-10     37
99  2021-05-11      9
100 2021-05-12     27
101 2021-05-13     17
102 2021-05-14    184
103 2021-05-15   6064
104 2021-05-16     42
105 2021-05-17     52
106 2021-05-18     47
107 2021-05-19     52
108 2021-05-20   1602
109 2021-05-21    392
110 2021-05-22    482
111 2021-05-23   1332
112 2021-05-24   1352
113 2021-05-25    849
114 2021-05-26    497
115 2021-05-27    517
116 2021-05-28    479
117 2021-05-29    552
118 2021-05-30    280
119 2021-05-31    192
120 2021-06-01     79
121 2021-06-02     89
122 2021-06-03    152
123 2021-06-04    114
124 2021-06-05    332
125 2021-06-06    299
126 2021-06-07   1949
127 2021-06-08   5609
128 2021-06-09   2964
129 2021-06-10   1137
130 2021-06-11  12142
131 2021-06-12   1790
132 2021-06-13   1020
133 2021-06-14    962
134 2021-06-15    954
135 2021-06-16   1195
136 2021-06-17    479
137 2021-06-18    782
138 2021-06-19   1087
139 2021-06-20   1142
140 2021-06-21    879
141 2021-06-22    540
142 2021-06-23    622
143 2021-06-24   1300
144 2021-06-25    540
145 2021-06-26    387
146 2021-06-27    159
147 2021-06-28    145
148 2021-06-29    130
149 2021-06-30    297
150 2021-07-01    800
151 2021-07-02   1705
152 2021-07-03   2072
153 2021-07-04   2262
154 2021-07-05   1484
155 2021-07-06   1227
156 2021-07-07    612
157 2021-07-08    444
158 2021-07-09    604
159 2021-07-10    422
160 2021-07-11    457
161 2021-07-12    387
162 2021-07-13    329
163 2021-07-14    219
164 2021-07-15    189
