          date data
0   2021-02-01   39
1   2021-02-02   35
2   2021-02-03   17
3   2021-02-04   24
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   15
10  2021-02-11   25
11  2021-02-12   12
12  2021-02-13    9
13  2021-02-14    2
14  2021-02-15    7
15  2021-02-16    9
16  2021-02-17    2
17  2021-02-18   12
18  2021-02-19   22
19  2021-02-20   30
20  2021-02-21   25
21  2021-02-22   35
22  2021-02-23    9
23  2021-02-24    7
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01   12
29  2021-03-02    7
30  2021-03-03   20
31  2021-03-04   15
32  2021-03-05    7
33  2021-03-06   15
34  2021-03-07    9
35  2021-03-08    7
36  2021-03-09   17
37  2021-03-10   37
38  2021-03-11   12
39  2021-03-12   17
40  2021-03-13   17
41  2021-03-14   32
42  2021-03-15    9
43  2021-03-16   17
44  2021-03-17   25
45  2021-03-18   35
46  2021-03-19   25
47  2021-03-20   52
48  2021-03-21   20
49  2021-03-22    9
50  2021-03-23   15
51  2021-03-24    9
52  2021-03-25   60
53  2021-03-26   27
54  2021-03-27   47
55  2021-03-28   12
56  2021-03-29   65
57  2021-03-30   55
58  2021-03-31   49
59  2021-04-01   12
60  2021-04-02   12
61  2021-04-03   27
62  2021-04-04    4
63  2021-04-05   20
64  2021-04-06   17
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   25
68  2021-04-10   20
69  2021-04-11   17
70  2021-04-12   20
71  2021-04-13   17
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18   17
77  2021-04-19   12
78  2021-04-20    7
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   42
86  2021-04-28   30
87  2021-04-29   30
88  2021-04-30   39
89  2021-05-01   17
90  2021-05-02   25
91  2021-05-03   35
92  2021-05-04   49
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    7
102 2021-05-14    9
103 2021-05-15  357
104 2021-05-16    4
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20  182
109 2021-05-21   30
110 2021-05-22   32
111 2021-05-23   62
112 2021-05-24   62
113 2021-05-25   17
114 2021-05-26   22
115 2021-05-27   22
116 2021-05-28   20
117 2021-05-29   22
118 2021-05-30    9
119 2021-05-31   12
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    9
123 2021-06-04    7
124 2021-06-05   37
125 2021-06-06   22
126 2021-06-07  122
127 2021-06-08  505
128 2021-06-09  204
129 2021-06-10  100
130 2021-06-11  852
131 2021-06-12  114
132 2021-06-13   77
133 2021-06-14   30
134 2021-06-15   74
135 2021-06-16   62
136 2021-06-17   42
137 2021-06-18   47
138 2021-06-19   20
139 2021-06-20   55
140 2021-06-21   32
141 2021-06-22   27
142 2021-06-23   30
143 2021-06-24   60
144 2021-06-25   20
145 2021-06-26    9
146 2021-06-27    4
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30   35
150 2021-07-01   55
151 2021-07-02  127
152 2021-07-03  194
153 2021-07-04  184
154 2021-07-05   79
155 2021-07-06   47
156 2021-07-07   32
157 2021-07-08   27
158 2021-07-09   32
159 2021-07-10   30
160 2021-07-11   22
161 2021-07-12   30
162 2021-07-13   17
163 2021-07-14    9
164 2021-07-15    7
