          date   data
0   2021-02-01    167
1   2021-02-02    524
2   2021-02-03    259
3   2021-02-04    158
4   2021-02-05     87
5   2021-02-06     37
6   2021-02-07      4
7   2021-02-08      9
8   2021-02-09    109
9   2021-02-10    242
10  2021-02-11    320
11  2021-02-12    152
12  2021-02-13     67
13  2021-02-14     30
14  2021-02-15     15
15  2021-02-16      4
16  2021-02-17     35
17  2021-02-18    189
18  2021-02-19    397
19  2021-02-20    577
20  2021-02-21    452
21  2021-02-22    262
22  2021-02-23    194
23  2021-02-24     70
24  2021-02-25     42
25  2021-02-26     27
26  2021-02-27     70
27  2021-02-28     52
28  2021-03-01    102
29  2021-03-02    109
30  2021-03-03    102
31  2021-03-04    102
32  2021-03-05    109
33  2021-03-06    140
34  2021-03-07    124
35  2021-03-08     74
36  2021-03-09    167
37  2021-03-10    465
38  2021-03-11    325
39  2021-03-12    272
40  2021-03-13    170
41  2021-03-14    347
42  2021-03-15    212
43  2021-03-16    127
44  2021-03-17    310
45  2021-03-18    717
46  2021-03-19    554
47  2021-03-20    517
48  2021-03-21    510
49  2021-03-22    280
50  2021-03-23    379
51  2021-03-24    170
52  2021-03-25    550
53  2021-03-26    332
54  2021-03-27    285
55  2021-03-28    239
56  2021-03-29    419
57  2021-03-30    232
58  2021-03-31    285
59  2021-04-01    325
60  2021-04-02    192
61  2021-04-03    180
62  2021-04-04    177
63  2021-04-05    189
64  2021-04-06    182
65  2021-04-07    105
66  2021-04-08     95
67  2021-04-09    365
68  2021-04-10    275
69  2021-04-11    390
70  2021-04-12    297
71  2021-04-13    267
72  2021-04-14    114
73  2021-04-15     74
74  2021-04-16    175
75  2021-04-17    145
76  2021-04-18    147
77  2021-04-19    219
78  2021-04-20    170
79  2021-04-21     85
80  2021-04-22     57
81  2021-04-23     32
82  2021-04-24      4
83  2021-04-25      2
84  2021-04-26    122
85  2021-04-27    387
86  2021-04-28    465
87  2021-04-29    342
88  2021-04-30    592
89  2021-05-01    259
90  2021-05-02    242
91  2021-05-03    304
92  2021-05-04   1024
93  2021-05-05     17
94  2021-05-06     12
95  2021-05-07     25
96  2021-05-08     47
97  2021-05-09     62
98  2021-05-10     57
99  2021-05-11     15
100 2021-05-12     20
101 2021-05-13     35
102 2021-05-14    242
103 2021-05-15   6334
104 2021-05-16     37
105 2021-05-17     35
106 2021-05-18     60
107 2021-05-19    117
108 2021-05-20   3449
109 2021-05-21    549
110 2021-05-22    694
111 2021-05-23    975
112 2021-05-24    857
113 2021-05-25    477
114 2021-05-26    312
115 2021-05-27    387
116 2021-05-28    299
117 2021-05-29    332
118 2021-05-30    239
119 2021-05-31    202
120 2021-06-01    109
121 2021-06-02    140
122 2021-06-03    135
123 2021-06-04    135
124 2021-06-05    355
125 2021-06-06    262
126 2021-06-07   1702
127 2021-06-08   6059
128 2021-06-09   2655
129 2021-06-10   1342
130 2021-06-11  15497
131 2021-06-12   1667
132 2021-06-13    802
133 2021-06-14    737
134 2021-06-15    749
135 2021-06-16    877
136 2021-06-17    524
137 2021-06-18    674
138 2021-06-19    954
139 2021-06-20    802
140 2021-06-21    634
141 2021-06-22    439
142 2021-06-23    457
143 2021-06-24    852
144 2021-06-25    435
145 2021-06-26    287
146 2021-06-27    157
147 2021-06-28    135
148 2021-06-29    122
149 2021-06-30    204
150 2021-07-01    547
151 2021-07-02   2207
152 2021-07-03   2312
153 2021-07-04   1762
154 2021-07-05   1177
155 2021-07-06    790
156 2021-07-07    497
157 2021-07-08    357
158 2021-07-09    467
159 2021-07-10    357
160 2021-07-11    325
161 2021-07-12    337
162 2021-07-13    224
163 2021-07-14    152
164 2021-07-15    157
